model,total_samples,scored_samples,respect-user-attention,respect-user-attention_ci_lower,respect-user-attention_ci_upper,enable-meaningful-choices,enable-meaningful-choices_ci_lower,enable-meaningful-choices_ci_upper,enhance-human-capabilities,enhance-human-capabilities_ci_lower,enhance-human-capabilities_ci_upper,protect-dignity-and-safety,protect-dignity-and-safety_ci_lower,protect-dignity-and-safety_ci_upper,foster-healthy-relationships,foster-healthy-relationships_ci_lower,foster-healthy-relationships_ci_upper,prioritize-long-term-wellbeing,prioritize-long-term-wellbeing_ci_lower,prioritize-long-term-wellbeing_ci_upper,be-transparent-and-honest,be-transparent-and-honest_ci_lower,be-transparent-and-honest_ci_upper,design-for-equity-and-inclusion,design-for-equity-and-inclusion_ci_lower,design-for-equity-and-inclusion_ci_upper,overall,overall_ci_lower,overall_ci_upper,negative_rate
claude-opus-4.1,788,788,0.345,0.21166666666666667,0.48174999999999996,0.615,0.5216666666666667,0.7066666666666666,0.805,0.7266249999999999,0.8816666666666667,0.7483333333333333,0.675,0.8083333333333332,0.655,0.5533333333333333,0.75,0.8233333333333333,0.7532916666666666,0.8800416666666666,0.5850340136054422,0.45748299319727903,0.7007227891156461,0.7203703703703703,0.6296296296296297,0.7962962962962962,0.6621338813303099,0.6296492346938776,0.6962249858276645,0.1180203045685279
claude-sonnet-4,788,787,0.3166666666666666,0.21666666666666665,0.42,0.3966666666666666,0.295,0.49499999999999994,0.7474747474747475,0.6699915824915824,0.8215488215488214,0.4783333333333333,0.37329166666666663,0.5716666666666667,0.2766666666666666,0.1483333333333334,0.38833333333333336,0.6266666666666666,0.535,0.7033333333333331,0.4387755102040816,0.3180272108843537,0.5612244897959183,0.7222222222222222,0.6481481481481483,0.7925925925925927,0.5004340599876314,0.46550025016319657,0.5339347353208961,0.1855146124523507
claude-sonnet-4.5,788,788,0.71,0.6233333333333334,0.785,0.66,0.5933333333333334,0.7183333333333333,0.785,0.7232916666666664,0.8400416666666666,0.8333333333333333,0.7916666666666667,0.8683333333333334,0.8033333333333332,0.7383333333333334,0.86,0.8916666666666667,0.8516249999999999,0.9316666666666668,0.6513605442176871,0.5475765306122449,0.75,0.8351851851851853,0.7722222222222223,0.8925925925925924,0.7712348828420257,0.7477392290249433,0.7939313114134543,0.0418781725888324
deepseek-v3.1-terminus,788,787,-0.7933333333333333,-0.83,-0.7533333333333334,-0.3033333333333333,-0.38499999999999995,-0.21991666666666676,0.1296296296296296,0.04541245791245791,0.21548821548821545,-0.3316666666666666,-0.413375,-0.24166666666666667,-0.54,-0.615,-0.4550000000000001,-0.1483333333333333,-0.22166666666666668,-0.07495833333333336,-0.8979591836734694,-0.9200680272108842,-0.8758503401360543,0.037037037037037,-0.07592592592592591,0.15189814814814814,-0.3559948979591836,-0.3844650716347145,-0.32892716600529104,0.7293519695044473
gemini-2.0-flash-001,788,788,-0.9383333333333332,-0.9550416666666667,-0.92,-0.7333333333333333,-0.7716666666666666,-0.6949583333333332,-0.48,-0.5483333333333333,-0.40833333333333327,-0.6816666666666668,-0.7100000000000002,-0.6533333333333333,-0.8483333333333333,-0.8849999999999999,-0.8066666666666669,-0.595,-0.6283333333333333,-0.5583333333333332,-0.8486394557823129,-0.8809948979591837,-0.8129251700680272,-0.524074074074074,-0.590787037037037,-0.4518518518518519,-0.7061725245653817,-0.7217958356953892,-0.6899831939720332,0.9631979695431472
gemini-2.5-flash,788,788,-0.8966666666666667,-0.9166666666666667,-0.8766666666666666,-0.6766666666666667,-0.7133750000000002,-0.635,-0.405,-0.48004166666666676,-0.3232916666666667,-0.655,-0.6983333333333333,-0.6050000000000001,-0.8316666666666667,-0.8566666666666666,-0.8016666666666667,-0.5566666666666666,-0.5933750000000001,-0.5166666666666666,-0.8996598639455783,-0.9217687074829931,-0.8775510204081635,-0.5259259259259259,-0.5703703703703704,-0.47592592592592586,-0.6809065570672714,-0.6943899045729403,-0.6653257983749054,0.9555837563451776
gemini-2.5-pro,788,786,-0.9276094276094276,-0.945,-0.8866666666666666,-0.7833333333333333,-0.8117083333333334,-0.7566666666666666,-0.34006734006734,-0.43265993265993263,-0.24747474747474751,-0.7283333333333333,-0.7616666666666667,-0.6849583333333334,-0.9066666666666668,-0.925,-0.885,-0.645,-0.6783750000000002,-0.61,-0.9523809523809524,-0.9676870748299319,-0.9370748299319728,-0.4944444444444444,-0.5722222222222222,-0.4128703703703704,-0.7222294372294372,-0.7395538280337388,-0.7028661390692641,0.9402035623409668
gemini-3-pro-preview,788,788,-0.6566666666666667,-0.7883333333333333,-0.5183333333333333,-0.605,-0.7367083333333334,-0.45829166666666676,-0.5466666666666666,-0.7034166666666668,-0.38662500000000005,-0.165,-0.330125,0.0016666666666666522,-0.5383333333333333,-0.693375,-0.36833333333333335,-0.4816666666666666,-0.625,-0.31658333333333344,-0.4030612244897959,-0.559608843537415,-0.2227465986394558,-0.2111111111111111,-0.3777777777777779,-0.046250000000000055,-0.45093820861678,-0.5085051374716554,-0.39578567885487526,0.7208121827411168
gpt-4.1,788,787,-0.945,-0.9616666666666667,-0.925,-0.615,-0.6766666666666665,-0.5516249999999999,-0.265,-0.36999999999999994,-0.16829166666666673,-0.6316666666666666,-0.6583333333333334,-0.6016666666666667,-0.7233333333333333,-0.7783333333333331,-0.6666249999999999,-0.555,-0.5967083333333334,-0.51,-0.8996598639455783,-0.9183673469387755,-0.8758503401360546,-0.2284644194756554,-0.3220973782771535,-0.13478464419475655,-0.6078905354276541,-0.6296443129920507,-0.584246678657418,0.8805590851334181
gpt-4o-2024-11-20,788,788,-0.8916666666666667,-0.915,-0.8633333333333333,-0.5933333333333333,-0.6366666666666666,-0.5516249999999999,-0.2133333333333333,-0.29333333333333333,-0.126625,-0.6316666666666666,-0.6549999999999998,-0.6066666666666667,-0.7733333333333333,-0.8116666666666668,-0.7333333333333334,-0.5133333333333333,-0.5416666666666666,-0.48,-0.8639455782312926,-0.8894557823129251,-0.8401360544217686,-0.3925925925925926,-0.44444444444444436,-0.3351851851851852,-0.609150604686319,-0.6241414635298563,-0.5927757227891156,0.934010152284264
