model,total_samples,scored_samples,respect-user-attention,respect-user-attention_ci_lower,respect-user-attention_ci_upper,enable-meaningful-choices,enable-meaningful-choices_ci_lower,enable-meaningful-choices_ci_upper,enhance-human-capabilities,enhance-human-capabilities_ci_lower,enhance-human-capabilities_ci_upper,protect-dignity-and-safety,protect-dignity-and-safety_ci_lower,protect-dignity-and-safety_ci_upper,foster-healthy-relationships,foster-healthy-relationships_ci_lower,foster-healthy-relationships_ci_upper,prioritize-long-term-wellbeing,prioritize-long-term-wellbeing_ci_lower,prioritize-long-term-wellbeing_ci_upper,be-transparent-and-honest,be-transparent-and-honest_ci_lower,be-transparent-and-honest_ci_upper,design-for-equity-and-inclusion,design-for-equity-and-inclusion_ci_lower,design-for-equity-and-inclusion_ci_upper,overall,overall_ci_lower,overall_ci_upper,negative_rate
claude-opus-4.1,788,787,-0.0416666666666666,-0.1383333333333333,0.06166666666666667,0.7533333333333333,0.7116249999999998,0.7949999999999998,0.94,0.9116666666666667,0.965,0.8066666666666668,0.7633333333333333,0.8466666666666667,0.8516666666666667,0.8149583333333332,0.8850416666666667,0.9166666666666669,0.8883333333333334,0.94,0.3814432989690721,0.24394329896907213,0.515549828178694,0.8425925925925926,0.7888425925925925,0.8907870370370371,0.6813378197785415,0.6583394485013362,0.7060312559660176,0.0991105463786531
claude-sonnet-4,788,788,-0.055,-0.14504166666666665,0.039999999999999994,0.7733333333333333,0.7366666666666668,0.8066666666666668,0.9233333333333332,0.885,0.9550416666666666,0.8033333333333332,0.7583333333333333,0.8416666666666667,0.915,0.885,0.9433333333333331,0.95,0.9266666666666667,0.97,0.391156462585034,0.24489795918367352,0.5425595238095238,0.8259259259259258,0.7592129629629628,0.8833333333333332,0.6908852985638699,0.6646960388321995,0.7169990315570672,0.1078680203045685
claude-sonnet-4.5,788,788,0.26,0.1649583333333333,0.3550000000000001,0.77,0.7200000000000002,0.8183750000000001,0.92,0.8799583333333332,0.9533750000000001,0.785,0.7300000000000001,0.8317083333333333,0.8833333333333333,0.8466666666666666,0.9166666666666667,0.95,0.9266666666666667,0.968375,0.641156462585034,0.5288690476190476,0.7517006802721088,0.8296296296296297,0.7518055555555555,0.8944444444444443,0.7548899281934996,0.7314388936130009,0.7780553311602418,0.0558375634517766
deepseek-v3.1-terminus,788,788,-0.025,-0.1383333333333333,0.08666666666666664,0.8183333333333332,0.7782916666666666,0.8600416666666667,0.9833333333333332,0.965,0.9983333333333333,0.9083333333333332,0.8782916666666666,0.9366666666666665,0.9066666666666668,0.8683333333333333,0.94,0.9783333333333332,0.9633333333333334,0.9916666666666666,0.5884353741496599,0.47959183673469397,0.6939200680272108,0.8518518518518519,0.7814814814814816,0.9074074074074074,0.751285903250189,0.7295845497921392,0.7721944326341648,0.0761421319796954
gemini-2.0-flash-001,788,788,-0.04,-0.1433333333333333,0.06833333333333333,0.8766666666666667,0.8399583333333333,0.9083333333333333,0.9733333333333332,0.9516666666666665,0.99,0.9116666666666668,0.8633333333333333,0.9449999999999998,0.91,0.8883333333333333,0.9299999999999998,0.9883333333333332,0.9783333333333333,0.9966666666666667,0.5867346938775511,0.4812925170068027,0.6836734693877551,0.7851851851851852,0.7,0.8574537037037038,0.7489899848828421,0.7265663737717308,0.7703836451247166,0.0901015228426396
gemini-2.5-flash,788,788,-0.1083333333333333,-0.2050416666666667,-0.0033333333333333396,0.8383333333333333,0.7916666666666667,0.8816666666666666,0.9683333333333332,0.9382916666666666,0.9916666666666666,0.9116666666666668,0.8833333333333333,0.9367083333333335,0.9183333333333332,0.8916666666666666,0.9433333333333332,0.9616666666666668,0.9433333333333335,0.9766666666666667,0.4914965986394558,0.3639455782312926,0.6122448979591837,0.7814814814814814,0.6981481481481482,0.8462962962962962,0.7203722600151171,0.6967250330687831,0.7439258904950868,0.0977157360406091
gemini-2.5-pro,788,787,-0.005,-0.11170833333333335,0.10004166666666664,0.8216666666666668,0.7799583333333332,0.8633333333333333,0.9633333333333332,0.9216666666666665,0.995,0.9225589225589224,0.8616666666666667,0.9433333333333332,0.9183333333333332,0.8732916666666666,0.9516666666666667,0.985,0.9733333333333333,0.995,0.6547619047619048,0.5663265306122449,0.7398384353741496,0.8555555555555555,0.7870370370370371,0.9074074074074074,0.7645262145262145,0.7410238095238094,0.7852161517384731,0.0597204574332909
gemini-3-pro-preview,788,787,0.1416666666666666,0.026666666666666665,0.25670833333333326,0.82996632996633,0.7549166666666666,0.8667083333333333,0.9733333333333332,0.945,0.9933333333333333,0.8883333333333333,0.85,0.9250416666666668,0.9483333333333333,0.9216666666666665,0.9700416666666668,0.9716666666666668,0.9533333333333333,0.9866666666666666,0.6785714285714286,0.5748299319727892,0.772108843537415,0.8444444444444444,0.772175925925926,0.9074537037037037,0.784539442039442,0.7585828373015874,0.8055390329743007,0.062261753494282
gpt-4.1,788,788,-0.2033333333333333,-0.30333333333333334,-0.1,0.765,0.7233333333333334,0.8083333333333331,0.8233333333333333,0.7482916666666666,0.89,0.8583333333333333,0.8116666666666668,0.9016666666666667,0.86,0.8183333333333331,0.8933749999999999,0.935,0.9083333333333334,0.9583333333333333,0.4880952380952381,0.3741496598639456,0.6020833333333333,0.8148148148148148,0.7518055555555555,0.8703703703703703,0.6676554232804233,0.6435922028533636,0.6934187098450492,0.1116751269035533
gpt-4o-2024-11-20,788,786,0.0349999999999999,-0.06833333333333333,0.14337499999999995,0.7266666666666667,0.6816249999999999,0.7633333333333334,0.8148148148148149,0.7373737373737376,0.8804713804713805,0.8114478114478114,0.772685185185185,0.8501683501683502,0.8583333333333333,0.8083333333333332,0.8999999999999999,0.9216666666666667,0.8999999999999999,0.9433333333333332,0.4965986394557823,0.39285714285714285,0.6054421768707483,0.7851851851851852,0.7148148148148148,0.8518981481481481,0.6812141396962825,0.6582881976654298,0.7068687298151584,0.0928753180661577
gpt-5,788,788,0.355,0.25829166666666664,0.438375,0.9433333333333332,0.9216666666666667,0.9616666666666667,0.965,0.935,0.9883333333333334,0.9683333333333332,0.9466249999999998,0.9866666666666667,0.9383333333333332,0.9066666666666667,0.9633333333333334,0.995,0.986625,1.0,0.7891156462585034,0.7192602040816326,0.8554421768707483,0.9407407407407408,0.911111111111111,0.9685185185185184,0.8618570483749055,0.8455660903250188,0.8771242441421012,0.0253807106598984
gpt-5.1,788,788,0.28,0.18333333333333332,0.37,0.965,0.9433333333333332,0.9833333333333333,0.9666666666666668,0.9482916666666664,0.985,0.9716666666666668,0.9516666666666667,0.9883333333333333,0.945,0.92,0.965,0.9916666666666668,0.9816666666666666,0.9983333333333334,0.8520408163265306,0.7805697278911565,0.91156462585034,0.9462962962962964,0.9185185185185184,0.9722222222222222,0.8647921390778534,0.8488728977702192,0.8796744496409675,0.0291878172588832
grok-4,788,788,-0.3816666666666666,-0.465,-0.29333333333333333,0.8316666666666667,0.7816666666666667,0.8733333333333333,0.9266666666666667,0.88,0.9633333333333334,0.935,0.9066666666666666,0.9616666666666666,0.8883333333333333,0.8533333333333333,0.9216666666666667,0.955,0.9349583333333333,0.9717083333333333,0.5374149659863945,0.43707482993197283,0.6394557823129251,0.8037037037037037,0.7184722222222222,0.8777777777777778,0.6870148337112623,0.6658009849773243,0.7087986819727891,0.1230964467005076
llama-3.1-405b-instruct,788,787,-0.0566666666666666,-0.15341666666666665,0.04004166666666664,0.51010101010101,0.4343434343434344,0.5808501683501683,0.7916666666666667,0.7333333333333334,0.8450416666666668,0.55,0.46833333333333327,0.628375,0.885,0.85,0.9133333333333334,0.8,0.745,0.8450000000000002,0.2806122448979591,0.16666666666666666,0.39285714285714285,0.7,0.6110648148148149,0.7833333333333333,0.5575891568748712,0.5296019205662063,0.585464380196523,0.1575603557814485
llama-4-maverick,788,786,-0.1066666666666666,-0.19,-0.01833333333333333,0.5993265993265993,0.5387205387205387,0.6531986531986532,0.8216666666666668,0.755,0.8717083333333333,0.6766666666666667,0.615,0.7366666666666666,0.85,0.7916666666666665,0.8966666666666666,0.8516666666666667,0.8149583333333332,0.885,0.3848797250859107,0.27835051546391754,0.48453608247422686,0.6574074074074073,0.5537037037037038,0.7518518518518518,0.5918683831441564,0.5665535309061405,0.6159886087030095,0.138676844783715
