model,total_samples,scored_samples,respect-user-attention,respect-user-attention_ci_lower,respect-user-attention_ci_upper,enable-meaningful-choices,enable-meaningful-choices_ci_lower,enable-meaningful-choices_ci_upper,enhance-human-capabilities,enhance-human-capabilities_ci_lower,enhance-human-capabilities_ci_upper,protect-dignity-and-safety,protect-dignity-and-safety_ci_lower,protect-dignity-and-safety_ci_upper,foster-healthy-relationships,foster-healthy-relationships_ci_lower,foster-healthy-relationships_ci_upper,prioritize-long-term-wellbeing,prioritize-long-term-wellbeing_ci_lower,prioritize-long-term-wellbeing_ci_upper,be-transparent-and-honest,be-transparent-and-honest_ci_lower,be-transparent-and-honest_ci_upper,design-for-equity-and-inclusion,design-for-equity-and-inclusion_ci_lower,design-for-equity-and-inclusion_ci_upper,overall,overall_ci_lower,overall_ci_upper,negative_rate
claude-opus-4.1,788,785,0.5168350168350168,0.4225589225589226,0.6061026936026935,0.8535353535353535,0.8198653198653197,0.8855218855218856,0.9716666666666668,0.956625,0.985,0.8566666666666667,0.82,0.8916666666666666,0.8821548821548821,0.8468013468013469,0.9107744107744108,0.9716666666666668,0.955,0.9850416666666666,0.7891156462585034,0.7125850340136054,0.8605442176870749,0.8962962962962964,0.862962962962963,0.9277777777777778,0.8422421493850065,0.8263027608139215,0.8591625438054009,0.0254777070063694
claude-sonnet-4,788,787,0.5966666666666667,0.5182916666666666,0.6716666666666667,0.8616666666666667,0.83,0.89,0.97,0.9516666666666667,0.985,0.8316666666666667,0.7916666666666665,0.8683333333333332,0.88,0.84,0.9166666666666665,0.9444444444444444,0.9175084175084176,0.9663299663299663,0.7772108843537415,0.7023809523809523,0.8435374149659864,0.8944444444444445,0.8611111111111109,0.9241203703703704,0.8445124716553288,0.8277571870920085,0.8598557202552738,0.0216010165184243
claude-sonnet-4.5,788,788,0.715,0.6399583333333333,0.7816666666666666,0.9283333333333332,0.885,0.96,0.9783333333333332,0.96,0.9916666666666666,0.89,0.8599583333333333,0.9183333333333334,0.9033333333333332,0.8716666666666666,0.9316666666666668,0.9383333333333332,0.9133333333333333,0.9617083333333333,0.8843537414965987,0.826530612244898,0.9319727891156464,0.8777777777777778,0.8295833333333332,0.9185185185185186,0.8894331065759638,0.8747988473167043,0.9040504771352985,0.0114213197969543
deepseek-v3.1-terminus,788,785,0.5583333333333333,0.48333333333333334,0.6333333333333333,0.8762886597938144,0.8402061855670103,0.9072164948453608,0.9766666666666668,0.9616666666666666,0.99,0.88,0.8466666666666667,0.9116666666666667,0.895,0.8616666666666666,0.9249999999999998,0.9516666666666668,0.9283333333333332,0.9700000000000002,0.6972789115646258,0.6156037414965987,0.784013605442177,0.8925925925925925,0.857361111111111,0.9241203703703704,0.8409783538272124,0.824467802377251,0.8572718534005813,0.0178343949044585
gemini-2.0-flash-001,788,784,0.6116666666666667,0.5332916666666666,0.6849999999999998,0.8616666666666667,0.8266666666666665,0.895,0.9183333333333332,0.8783333333333334,0.95,0.8680555555555555,0.8280815972222222,0.904513888888889,0.91,0.8833333333333333,0.935,0.9466666666666668,0.925,0.9666666666666666,0.6309523809523809,0.5271683673469388,0.7346938775510202,0.8148148148148148,0.772222222222222,0.8555555555555554,0.8202695105820106,0.8008230775817272,0.8394567817578421,0.0293367346938775
gemini-2.5-flash,788,782,0.4629629629629629,0.37878787878787884,0.5454545454545454,0.8033333333333332,0.7583333333333334,0.8433333333333334,0.8854166666666666,0.8472222222222223,0.9201822916666667,0.7416666666666667,0.6916249999999998,0.7899999999999998,0.8716666666666667,0.8283333333333335,0.9116666666666667,0.9216666666666667,0.8833333333333334,0.9516666666666667,0.6907216494845361,0.5944587628865979,0.7749570446735394,0.7666666666666667,0.7074074074074074,0.8185648148148148,0.7680126598892707,0.747468625527179,0.7883975715461098,0.0345268542199488
gemini-2.5-pro,788,787,0.7716666666666667,0.7150000000000002,0.8199999999999998,0.9191919191919192,0.8871632996632995,0.9461279461279462,0.9883333333333332,0.9783333333333334,0.9966666666666666,0.8966666666666667,0.865,0.925,0.955,0.9216666666666667,0.9816666666666667,0.995,0.9883333333333334,1.0,0.8061224489795918,0.7227891156462586,0.8775510204081632,0.8981481481481481,0.8611111111111112,0.9315277777777778,0.9037661478732908,0.8891800391242356,0.9177817170428777,0.0127064803049555
gemini-3-pro-preview,788,786,0.7861952861952861,0.73,0.835,0.9616666666666668,0.9416249999999999,0.9783333333333333,0.99,0.9816666666666666,0.9966666666666667,0.93,0.9033333333333334,0.955,0.9696969696969696,0.91,0.9816666666666667,0.9933333333333332,0.985,1.0,0.9166666666666666,0.8656462585034013,0.9574829931972788,0.8962962962962964,0.8555555555555555,0.9314814814814812,0.9304819023569024,0.9161487859032502,0.9392925406273622,0.0025445292620865
gpt-4.1,788,788,0.65,0.5849583333333334,0.7133749999999998,0.8266666666666667,0.7933333333333333,0.8583333333333332,0.8766666666666667,0.8332916666666665,0.9149999999999998,0.8,0.755,0.8449999999999999,0.89,0.8533333333333334,0.9233333333333333,0.9216666666666667,0.8899999999999999,0.9483333333333333,0.7551020408163265,0.66828231292517,0.8214285714285714,0.8481481481481481,0.8074074074074074,0.8889351851851851,0.8210312736205594,0.8034029195011338,0.8372014006991687,0.0126903553299492
gpt-4o-2024-11-20,788,788,0.6116666666666667,0.5449583333333333,0.675,0.79,0.75,0.8300416666666668,0.915,0.8866666666666667,0.9400000000000002,0.7433333333333333,0.6883333333333332,0.7933333333333333,0.86,0.8099166666666667,0.9033333333333333,0.9033333333333332,0.8716666666666667,0.9316666666666668,0.5493197278911565,0.4472363945578231,0.6411989795918367,0.8185185185185185,0.7647685185185185,0.8666666666666667,0.773896447467876,0.7547585506424791,0.7936308460884354,0.031725888324873
