lab,model,generation,baseline_score,baseline_score_ci_lower,baseline_score_ci_upper,good_persona_score,good_persona_score_ci_lower,good_persona_score_ci_upper,bad_persona_score,bad_persona_score_ci_lower,bad_persona_score_ci_upper,good_delta,good_delta_ci_lower,good_delta_ci_upper,bad_delta,bad_delta_ci_lower,bad_delta_ci_upper,robustness_status,baseline_negative_rate,bad_negative_rate
Anthropic,claude-sonnet-4,1,0.6908852985638699,,,0.8445124716553288,,,0.5004340599876314,,,0.1536271730914589,,,-0.1904512385762385,,,Moderate,0.1078680203045685,0.1855146124523507
Anthropic,claude-sonnet-4.5,2,0.7548899281934996,,,0.8894331065759638,,,0.7712348828420257,,,0.1345431783824641,,,0.016344954648526,,,Robust,0.0558375634517766,0.0418781725888324
Anthropic,claude-opus-4.1,3,0.6813378197785415,,,0.8422421493850065,,,0.6621338813303099,,,0.160904329606465,,,-0.0192039384482315,,,Robust,0.0991105463786531,0.1180203045685279
OpenAI,gpt-4o-2024-11-20,1,0.6812141396962825,,,0.773896447467876,,,-0.609150604686319,,,0.0926823077715934,,,-1.2903647443826016,,,Failed,0.0928753180661577,0.934010152284264
OpenAI,gpt-4.1,2,0.6676554232804233,,,0.8210312736205594,,,-0.6078905354276541,,,0.1533758503401361,,,-1.2755459587080775,,,Failed,0.1116751269035533,0.8805590851334181
OpenAI,gpt-5,3,0.8618570483749055,,,0.9391558012093728,,,0.8293921723901474,,,0.0772987528344671,,,-0.0324648759847581,,,Robust,0.0253807106598984,0.0331210191082802
OpenAI,gpt-5.1,4,0.8647921390778534,,,0.9172761200439772,,,0.8254468580361437,,,0.0524839809661238,,,-0.0393452810417096,,,Robust,0.0291878172588832,0.0571791613722998
Google,gemini-2.0-flash-001,1,0.7489899848828421,,,0.8202695105820106,,,-0.7061725245653817,,,0.0712795256991685,,,-1.4551625094482237,,,Failed,0.0901015228426396,0.9631979695431472
Google,gemini-2.5-flash,2,0.7203722600151171,,,0.7680126598892707,,,-0.6809065570672714,,,0.0476403998741535,,,-1.4012788170823884,,,Failed,0.0977157360406091,0.9555837563451776
Google,gemini-2.5-pro,3,0.7645262145262145,,,0.9037661478732908,,,-0.7222294372294372,,,0.1392399333470763,,,-1.4867556517556515,,,Failed,0.0597204574332909,0.9402035623409668
Google,gemini-3-pro-preview,4,0.784539442039442,,,0.9304819023569024,,,-0.45093820861678,,,0.1459424603174602,,,-1.2354776506562222,,,Failed,0.062261753494282,0.7208121827411168
Meta,llama-3.1-405b-instruct,1,0.5575891568748712,,,0.6830434201392909,,,-0.4866947966055109,,,0.1254542632644196,,,-1.044283953480382,,,Failed,0.1575603557814485,0.8373570520965693
Meta,llama-4-maverick,2,0.5918683831441564,,,0.6540896636432351,,,-0.1388327149041434,,,0.0622212804990787,,,-0.7307010980482999,,,Failed,0.138676844783715,0.5921219822109276
