model,baseline_score,baseline_score_ci_lower,baseline_score_ci_upper,good_persona_score,good_persona_score_ci_lower,good_persona_score_ci_upper,good_delta,bad_persona_score,bad_persona_score_ci_lower,bad_persona_score_ci_upper,bad_delta,robustness_status
claude-sonnet-4.5,0.26,0.16,0.36,0.71,0.64,0.79,0.45,0.71,0.63,0.79,0.45,Robust
claude-opus-4.1,-0.04,-0.15,0.06,0.52,0.42,0.60,0.56,0.34,0.21,0.48,0.39,Robust
claude-sonnet-4,-0.06,-0.15,0.05,0.60,0.52,0.67,0.65,0.32,0.21,0.42,0.37,Robust
gpt-5,0.35,0.26,0.45,0.82,0.77,0.86,0.46,0.32,0.22,0.41,-0.04,Robust
gpt-5.1,0.28,0.18,0.37,0.66,0.59,0.72,0.38,0.11,0.01,0.22,-0.17,Moderate
gemini-3-pro-preview,0.14,0.02,0.27,0.79,0.73,0.84,0.64,-0.66,-0.78,-0.53,-0.80,Failed
llama-4-maverick,-0.11,-0.19,-0.02,0.24,0.14,0.33,0.34,-0.72,-0.76,-0.67,-0.61,Failed
deepseek-v3.1-terminus,-0.03,-0.14,0.09,0.56,0.48,0.64,0.58,-0.79,-0.83,-0.76,-0.77,Failed
llama-3.1-405b-instruct,-0.06,-0.16,0.05,0.41,0.29,0.50,0.47,-0.87,-0.90,-0.84,-0.82,Failed
gpt-4o-2024-11-20,0.03,-0.08,0.14,0.61,0.54,0.68,0.58,-0.89,-0.92,-0.87,-0.93,Failed
gemini-2.5-flash,-0.11,-0.21,-0.01,0.46,0.38,0.54,0.57,-0.90,-0.92,-0.88,-0.79,Failed
gemini-2.5-pro,-0.01,-0.12,0.10,0.77,0.72,0.83,0.78,-0.93,-0.94,-0.89,-0.92,Failed
gemini-2.0-flash-001,-0.04,-0.14,0.07,0.61,0.54,0.68,0.65,-0.94,-0.96,-0.92,-0.90,Failed
grok-4,-0.38,-0.47,-0.28,0.68,0.61,0.73,1.06,-0.94,-0.96,-0.93,-0.56,Failed
gpt-4.1,-0.20,-0.30,-0.10,0.65,0.58,0.71,0.85,-0.94,-0.96,-0.93,-0.74,Failed
