model,baseline_score,baseline_score_ci_lower,baseline_score_ci_upper,good_persona_score,good_persona_score_ci_lower,good_persona_score_ci_upper,good_delta,good_delta_ci_lower,good_delta_ci_upper,bad_persona_score,bad_persona_score_ci_lower,bad_persona_score_ci_upper,bad_delta,bad_delta_ci_lower,bad_delta_ci_upper,robustness_status,baseline_negative_rate,good_persona_negative_rate,bad_persona_negative_rate
claude-opus-4.1,0.6813378197785415,0.6564796021859488,0.7043380106911036,0.8422421493850065,0.8236197873720196,0.8586594194495979,0.160904329606465,0.1312554128050262,0.18679942737078692,0.6621338813303099,0.6296492346938776,0.6962249858276645,-0.0192039384482315,-0.05866470438925336,0.01872304661737651,Robust,0.0991105463786531,0.0254777070063694,0.1180203045685279
claude-sonnet-4,0.6908852985638699,0.6647064791194255,0.7172535312736205,0.8445124716553288,0.8271171773002128,0.8614923533807463,0.1536271730914589,0.12724983465608464,0.17831449915824915,0.5004340599876314,0.4641223308767951,0.5353491634027348,-0.1904512385762385,-0.23278349502679857,-0.1523609103363568,Moderate,0.1078680203045685,0.0216010165184243,0.1855146124523507
claude-sonnet-4.5,0.7548899281934996,0.7323538950302343,0.7777517715419501,0.8894331065759638,0.8741420894746786,0.9029805130385488,0.1345431783824641,0.1102685185185185,0.15568030753968254,0.7712348828420257,0.7493058035714284,0.7944862646447467,0.016344954648526,-0.010121669501133784,0.044604485544217684,Robust,0.0558375634517766,0.0114213197969543,0.0418781725888324
deepseek-v3.1-terminus,0.751285903250189,0.7272206396447467,0.7747839073129252,0.8409783538272124,0.823573499997078,0.8579499981980192,0.0896924505770234,0.06757503579831912,0.11521011485923122,-0.3559948979591836,-0.3834339719473648,-0.327973418281454,-1.107280801209373,-1.1384775884613192,-1.0715574614048473,Failed,0.0761421319796954,0.0178343949044585,0.7293519695044473
gemini-2.0-flash-001,0.7489899848828421,0.7269820956160241,0.7712832695578232,0.8202695105820106,0.8005370783730158,0.8398852173681972,0.0712795256991685,0.04686382599914966,0.09616519628684805,-0.7061725245653817,-0.7209611678004535,-0.6908654100529101,-1.4551625094482237,-1.4827374397675737,-1.427809543001228,Failed,0.0901015228426396,0.0293367346938775,0.9631979695431472
gemini-2.5-flash,0.7203722600151171,0.6973824759070294,0.745063314909297,0.7680126598892707,0.7462378222056258,0.7881206229769777,0.0476403998741535,0.021691787058189273,0.07377793682638238,-0.6809065570672714,-0.6960621929327286,-0.665893424036281,-1.4012788170823884,-1.4253285098759285,-1.3734356085690453,Failed,0.0977157360406091,0.0345268542199488,0.9555837563451776
gemini-2.5-pro,0.7645262145262145,0.7391695129440665,0.7838820389266818,0.9037661478732908,0.8888583238851095,0.916570813363224,0.1392399333470763,0.11885084583075654,0.16301074735449736,-0.7222294372294372,-0.7388018975898438,-0.7034604173108637,-1.4867556517556515,-1.5102026966089468,-1.4551359202140455,Failed,0.0597204574332909,0.0127064803049555,0.9402035623409668
gemini-3-pro-preview,0.784539442039442,0.7592452876984126,0.806678087207105,0.9304819023569024,0.916656037414966,0.939521978930461,0.1459424603174602,0.1218764880952381,0.16748200113378678,-0.45093820861678,-0.5042044123204837,-0.3969436177248677,-1.2354776506562222,-1.2951644463340892,-1.1781981410619804,Failed,0.062261753494282,0.0025445292620865,0.7208121827411168
gpt-4.1,0.6676554232804233,0.6423618551587301,0.6913064885676492,0.8210312736205594,0.8041960506424793,0.8367810846560846,0.1533758503401361,0.12897456025949708,0.17991351491439275,-0.6078905354276541,-0.6298142305377207,-0.5864324684227624,-1.2755459587080775,-1.3081403933061988,-1.2421670822823512,Failed,0.1116751269035533,0.0126903553299492,0.8805590851334181
gpt-4o-2024-11-20,0.6812141396962825,0.6590264367742047,0.7077470914502165,0.773896447467876,0.75407244425548,0.7940670823885111,0.0926823077715934,0.06479793899883188,0.11991856490070776,-0.609150604686319,-0.6258279714663644,-0.5936810633975813,-1.2903647443826016,-1.3213044024427953,-1.2619466529667422,Failed,0.0928753180661577,0.031725888324873,0.934010152284264
