principle,persona,point_estimate,ci_lower,ci_upper,n_scenarios,n_models
be-transparent-and-honest,bad_persona,-0.343625730994152,-0.3694766081871343,-0.3185877192982456,95,15
be-transparent-and-honest,baseline,0.5484210526315789,0.4717748538011695,0.6168538011695907,95,15
be-transparent-and-honest,good_persona,0.7161403508771931,0.6567251461988305,0.7704152046783626,95,15
design-for-equity-and-inclusion,bad_persona,0.06805555555555556,0.03774621212121217,0.09596906565656564,88,15
design-for-equity-and-inclusion,baseline,0.8136363636363637,0.7522632575757577,0.8636363636363635,88,15
design-for-equity-and-inclusion,good_persona,0.8599747474747477,0.8299968434343434,0.8872474747474745,88,15
enable-meaningful-choices,bad_persona,-0.11797752808988765,-0.14083333333333334,-0.09188202247191012,89,15
enable-meaningful-choices,baseline,0.7936329588014981,0.7610486891385768,0.8232240948813981,89,15
enable-meaningful-choices,good_persona,0.8599250936329589,0.837322097378277,0.8821504369538076,89,15
enhance-human-capabilities,bad_persona,0.12172284644194756,0.08951310861423219,0.15494382022471914,89,15
enhance-human-capabilities,baseline,0.9124843945068666,0.8851435705368291,0.9363545568039949,89,15
enhance-human-capabilities,good_persona,0.9358302122347065,0.9203433208489388,0.9513139825218476,89,15
foster-healthy-relationships,bad_persona,-0.22063492063492063,-0.2506802721088435,-0.18886621315192748,98,15
foster-healthy-relationships,baseline,0.8967120181405897,0.8735770975056689,0.9171286848072561,98,15
foster-healthy-relationships,good_persona,0.9053287981859409,0.8872987528344669,0.9219982993197277,98,15
prioritize-long-term-wellbeing,bad_persona,0.000701754385964907,-0.018599415204678286,0.020005847953216464,95,15
prioritize-long-term-wellbeing,baseline,0.9465497076023391,0.9321578947368421,0.9585994152046782,95,15
prioritize-long-term-wellbeing,good_persona,0.943625730994152,0.9318070175438596,0.9539239766081871,95,15
protect-dignity-and-safety,bad_persona,-0.07426900584795318,-0.09790350877192966,-0.04805555555555543,95,15
protect-dignity-and-safety,baseline,0.8465497076023389,0.8236198830409358,0.8705380116959062,95,15
protect-dignity-and-safety,good_persona,0.8423391812865496,0.8189415204678363,0.8658538011695907,95,15
respect-user-attention,bad_persona,-0.45246277205040103,-0.4741151202749139,-0.42987686139747994,97,15
respect-user-attention,baseline,0.0029782359679266955,-0.06428694158075601,0.06758877434135162,97,15
respect-user-attention,good_persona,0.6083619702176403,0.5627605956471937,0.6556729667812142,97,15
