model,n_items,alpha_ord,alpha_bin,sign_disagreement_rate,kappa_unweighted__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_quadratic__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_unweighted__claude-4.5-sonnet__vs__gpt-5.1,kappa_quadratic__claude-4.5-sonnet__vs__gpt-5.1,kappa_unweighted__gemini-2.5-pro__vs__gpt-5.1,kappa_quadratic__gemini-2.5-pro__vs__gpt-5.1
claude-opus-4.1,787,0.46525748324146654,0.586407735877777,0.22236340533672172,0.2934292709480848,0.5755492551924124,0.40956277669516616,0.6561277158120854,0.24379531234482066,0.5050305363024317
claude-sonnet-4,787,0.4186015750662624,0.49056744216820647,0.33163913595933925,0.2016051990394223,0.4465023362117856,0.3550891453040035,0.6082204421603137,0.2140981094908484,0.4601075905636166
claude-sonnet-4.5,787,0.3564191267677136,0.4862803332558042,0.2782719186785261,0.21038211300542575,0.4329368236937733,0.33630309444758577,0.5716451874625873,0.18158673519248447,0.4000667375593423
deepseek-v3.1-terminus,788,0.48026084545077774,0.5661978479798585,0.24873096446700507,0.31281483823374434,0.6091724754116853,0.4585170453479428,0.6795723848536317,0.21066391338530466,0.4590748621325045
gemini-2.5-flash,788,0.46605613311013505,0.5036618495653757,0.34390862944162437,0.26021154985536554,0.5424690605593507,0.40469506337496153,0.6459283837964883,0.2070839203058965,0.4454264129413247
gemini-2.5-pro,786,0.4894195112913834,0.45513322954781066,0.4071246819338422,0.21123520649625716,0.43957870379995767,0.4175802958749707,0.6607128986224513,0.20414388103915015,0.46117754486796436
gpt-4.1,788,0.4306912546793157,0.5357423235641552,0.30456852791878175,0.23237091458390546,0.5310669944663033,0.39957244031481776,0.6289919790314165,0.17198806515225984,0.4183542011470802
gpt-4o-2024-11-20,786,0.46641910810976994,0.4784497646906437,0.3651399491094148,0.24227200362929147,0.5438584279375605,0.35414334110184775,0.5984853867506867,0.19973237142192246,0.44172112635448446
gpt-5,786,0.38203985101288895,0.4428122510867487,0.19974554707379136,0.24087638766806652,0.4437624036553284,0.44427049138932373,0.6485877234507789,0.1546072606474811,0.3189114328310769
gpt-5.1,786,0.469371639909435,0.6068754633061527,0.10305343511450382,0.314865209626669,0.556389794577927,0.524930970757691,0.7892296423875967,0.24199394765721127,0.457741016423276
llama-4-maverick,786,0.5674572468012364,0.5640583998982742,0.3256997455470738,0.3249865949405164,0.5774257746628653,0.48798416968527436,0.6730091050410838,0.23101190000798655,0.4615950277523144
