model,n_items,alpha_ord,alpha_bin,sign_disagreement_rate,kappa_unweighted__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_quadratic__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_unweighted__claude-4.5-sonnet__vs__gpt-5.1,kappa_quadratic__claude-4.5-sonnet__vs__gpt-5.1,kappa_unweighted__gemini-2.5-pro__vs__gpt-5.1,kappa_quadratic__gemini-2.5-pro__vs__gpt-5.1
claude-opus-4.1,199,0.4560276285038477,0.48044102841146274,0.35678391959798994,0.18625511146286777,0.46091978160436786,0.4213013449654671,0.6476662018394622,0.21806106126990754,0.5011220948690159
claude-sonnet-4,200,0.42920983411019376,0.45512655038045013,0.37,0.24141602342294388,0.4530826252033989,0.349320076034508,0.561042524005487,0.21223045597169377,0.48869223205506396
claude-sonnet-4.5,200,0.2648185361345232,0.3750098432947476,0.265,0.18826405867970664,0.3931479489937011,0.332836230917154,0.47066783411605506,0.10006605019815051,0.24719021700713928
deepseek-v3.1-terminus,200,0.4435625835365751,0.46563024110573203,0.375,0.26544240400667785,0.5413271245634459,0.4857478695268881,0.6447050707140394,0.17190910258056213,0.3791281373844121
gemini-2.5-flash,200,0.5114754765932608,0.5261075949367089,0.355,0.330837777851393,0.587099877733459,0.39250759365507937,0.6589358799454297,0.18318620212999892,0.4104009273693888
gemini-2.5-pro,200,0.43526955581305526,0.4209666666666666,0.435,0.24227830218968738,0.3951612903225806,0.3394777265745007,0.6214099216710183,0.20574886535552184,0.42806508780409225
gpt-4.1,200,0.38504704025203185,0.444835203900259,0.365,0.21239170385928052,0.5160371987094325,0.33367883319760117,0.522151429841458,0.14638807491400174,0.4072079731708469
gpt-4o-2024-11-20,199,0.5135912186841063,0.5756597683690906,0.3015075376884422,0.264290454071476,0.5972242301575827,0.3573816579287288,0.6029212227631895,0.22112243247614427,0.47565639136314875
gpt-5,200,0.33379492896899376,0.45358801415302963,0.165,0.194655440651597,0.3514986376021798,0.43499813442780244,0.7035490605427974,0.1295309860984799,0.28848641655886154
gpt-5.1,199,0.49604882999185484,0.6237373737373737,0.11557788944723618,0.34955830388692577,0.5877071823204421,0.5361582596222807,0.7508839742604265,0.2697783648906502,0.5164547406166693
llama-4-maverick,200,0.4306266214584108,0.4795702345843684,0.355,0.21405455386037908,0.5022951157873021,0.3149642259095753,0.5248416138712904,0.13363251059586134,0.41594591907744316
