model,n_items,alpha_ord,alpha_bin,sign_disagreement_rate,kappa_unweighted__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_quadratic__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_unweighted__claude-4.5-sonnet__vs__gpt-5.1,kappa_quadratic__claude-4.5-sonnet__vs__gpt-5.1,kappa_unweighted__gemini-2.5-pro__vs__gpt-5.1,kappa_quadratic__gemini-2.5-pro__vs__gpt-5.1
claude-opus-4.1,200,0.41270868503924174,0.5916837082481254,0.185,0.25255871236250904,0.5832072871500118,0.4273934951901054,0.6304992109618568,0.16919881533905157,0.4319049509788949
claude-sonnet-4,200,0.3521542961210653,0.40208459074237424,0.43,0.1932881574701516,0.36166638669578366,0.34289127837514943,0.520316027088036,0.2047454533602765,0.41991017964071853
claude-sonnet-4.5,200,0.38553973874284686,0.4957912457912458,0.26,0.2297373317754987,0.46815286624203833,0.3798449612403101,0.5341842723004695,0.20130833301639206,0.4114942528735632
deepseek-v3.1-terminus,200,0.49292447006819196,0.5586664210720207,0.32,0.24548639180813792,0.5300751879699248,0.4589386302994366,0.675414364640884,0.1657257558650107,0.44763588157313305
gemini-2.5-flash,200,0.4457513747945362,0.4188746152816807,0.435,0.25825358455578007,0.5023253792324075,0.34180756098564313,0.5831830387559618,0.17565609402672677,0.3468111534672549
gemini-2.5-pro,198,0.45354490749642007,0.47737157769435024,0.3888888888888889,0.21042137445168152,0.4913332933485276,0.37669726162481987,0.6033023593215655,0.1637219499613104,0.407316588243091
gpt-4.1,199,0.4635505300504653,0.6237468750789121,0.25125628140703515,0.2832177161152615,0.6031614785992218,0.38984783102430154,0.6118717862842058,0.12658112103386276,0.40094028472397125
gpt-4o-2024-11-20,200,0.5128397913293016,0.5506223358908782,0.33,0.2437836452191745,0.5751068006003925,0.4294080108112166,0.6532012195121952,0.19524692716355985,0.43913121201287086
gpt-5,200,0.4578744450043787,0.4727990675325293,0.185,0.4063630460996197,0.6307105843111561,0.38264799911806857,0.5948331193838254,0.23038102447640663,0.39764041209704215
gpt-5.1,200,0.5048864161415355,0.6600839859266825,0.1,0.394263317299127,0.654334323521469,0.4920788487120571,0.7384601266403598,0.3172507965407375,0.5669487307117969
llama-4-maverick,200,0.4990885651978654,0.5593736864228667,0.315,0.21960252637148236,0.5109349919743178,0.5055342132288616,0.6647819063004847,0.18114703891163475,0.4172581247665298
