model,n_items,alpha_ord,alpha_bin,sign_disagreement_rate,kappa_unweighted__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_quadratic__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_unweighted__claude-4.5-sonnet__vs__gpt-5.1,kappa_quadratic__claude-4.5-sonnet__vs__gpt-5.1,kappa_unweighted__gemini-2.5-pro__vs__gpt-5.1,kappa_quadratic__gemini-2.5-pro__vs__gpt-5.1
claude-opus-4.1,200,0.428876745621421,0.6072741075587915,0.19,0.30218859033032774,0.5751830834099483,0.37133118727513736,0.6486130351049093,0.2467911766966412,0.4875936394775683
claude-sonnet-4,200,0.4342940382047886,0.5571932894816245,0.245,0.2565340691346669,0.5199628358324515,0.45058970038824986,0.6854418558930502,0.20535648590979327,0.47175832943571683
claude-sonnet-4.5,199,0.4615932283969384,0.615979381443299,0.17587939698492464,0.3334573874209156,0.5975054778358335,0.4699116115752513,0.7010515773660491,0.25667955703990153,0.5069681015794364
deepseek-v3.1-terminus,200,0.5143917397463922,0.508344733242134,0.3,0.35084872143515067,0.6076701643606649,0.3958803406361453,0.7050622050622051,0.20922078406505284,0.4672051381860647
gemini-2.5-flash,200,0.49692977300212104,0.5883522685733502,0.235,0.30784305549764424,0.6253457379934624,0.4363310274148092,0.6750071901064136,0.22058267120696162,0.5408608858390518
gemini-2.5-pro,200,0.45895083913232726,0.4694169196064768,0.375,0.23791048912290425,0.4937176644493718,0.35067201954965965,0.5971419884463363,0.23791378899738036,0.5261141359144988
gpt-4.1,200,0.5262112547198496,0.7422206038135593,0.13,0.3609406952965235,0.7128457571495546,0.49249944025673564,0.7116416309012876,0.23499702911467613,0.5584014131154781
gpt-4o-2024-11-20,200,0.47937887622084707,0.6575503329779508,0.185,0.29189917259957676,0.674871023215821,0.40878070143425416,0.622961956521739,0.17969571618874003,0.4988907738483622
gpt-5,200,0.44443981053006587,0.5378086419753086,0.125,0.25949434042103037,0.5171175633009348,0.500101330811322,0.682870026262326,0.2204110559886605,0.374569353898341
gpt-5.1,200,0.5329925222670132,0.6356336871559354,0.1,0.49823240962481463,0.7041582205664823,0.48614679536143324,0.6773720486874908,0.26983073348821773,0.5341026057749607
llama-4-maverick,200,0.4743546789148355,0.5988779594934448,0.225,0.3064288708509584,0.6164300815463606,0.4146196880441628,0.6169579769431015,0.22125828266958136,0.47265785932049775
