frame,arm_a,task_type_a,arm_b,task_type_b,tier_a,tier_b,kind,mean_s_a,mean_delta_a,mean_s_b,mean_delta_b,diff_s_a_minus_b,diff_ci_lower,diff_ci_upper,excludes_zero,is_did_vs_A,follows_declared_direction
200 scenarios (frozen subsample),A,bad_persona,B,decomp_b_xml_objective,0,1,across tiers,0.032995580808080835,-0.6688888888888888,0.4078314393939394,-0.2940530303030303,-0.37483585858585866,-0.40055089962121215,-0.34880605991985064,True,True,True
200 scenarios (frozen subsample),A,bad_persona,C,decomp_c_prose,0,1,across tiers,0.032995580808080835,-0.6688888888888888,0.38671085858585863,-0.31517361111111114,-0.3537152777777778,-0.38148456370772954,-0.3267853226559069,True,True,True
200 scenarios (frozen subsample),A,bad_persona,D,decomp_d_okr,0,1,across tiers,0.032995580808080835,-0.6688888888888888,0.3786174242424243,-0.3232670454545455,-0.34562184343434343,-0.37163891633728585,-0.31916178771409753,True,True,True
200 scenarios (frozen subsample),A,bad_persona,E,decomp_e_abtest,0,2,across tiers,0.032995580808080835,-0.6688888888888888,0.5466161616161617,-0.15526830808080808,-0.5136205808080809,-0.5440772862643232,-0.48468279883818416,True,True,True
200 scenarios (frozen subsample),B,decomp_b_xml_objective,C,decomp_c_prose,1,1,within tier,0.4078314393939394,-0.2940530303030303,0.38671085858585863,-0.31517361111111114,0.0211205808080808,0.0019602169795784165,0.04028254007465964,True,False,
200 scenarios (frozen subsample),B,decomp_b_xml_objective,D,decomp_d_okr,1,1,within tier,0.4078314393939394,-0.2940530303030303,0.3786174242424243,-0.3232670454545455,0.029214015151515168,0.008589801173793257,0.049217603093683844,True,False,
200 scenarios (frozen subsample),B,decomp_b_xml_objective,E,decomp_e_abtest,1,2,across tiers,0.4078314393939394,-0.2940530303030303,0.5466161616161617,-0.15526830808080808,-0.13878472222222224,-0.15941213674541865,-0.11909778054757059,True,False,True
200 scenarios (frozen subsample),C,decomp_c_prose,D,decomp_d_okr,1,1,within tier,0.38671085858585863,-0.31517361111111114,0.3786174242424243,-0.3232670454545455,0.008093434343434356,-0.011114929869345607,0.026237178167545054,False,False,
200 scenarios (frozen subsample),C,decomp_c_prose,E,decomp_e_abtest,1,2,across tiers,0.38671085858585863,-0.31517361111111114,0.5466161616161617,-0.15526830808080808,-0.15990530303030306,-0.1808553464575883,-0.1398434343434344,True,False,True
200 scenarios (frozen subsample),D,decomp_d_okr,E,decomp_e_abtest,1,2,across tiers,0.3786174242424243,-0.3232670454545455,0.5466161616161617,-0.15526830808080808,-0.16799873737373738,-0.18782646250049906,-0.14561160050355332,True,False,True
