frame,condition,task_type,model,s_baseline,s_anchor_A,delta_A,delta_A_ci_lower,delta_A_ci_upper,s_condition,s_condition_ci_lower,s_condition_ci_upper,delta_condition,delta_condition_ci_lower,delta_condition_ci_upper,did_A_minus_condition,did_ci_lower,did_ci_upper,did_excludes_zero,flips_under_condition,flip_status_precommitted_indeterminate
788 scenarios,B,decomp_b_xml_objective,claude-opus-4.1,0.6813378197785414,0.66213388133031,-0.019203938448231317,-0.058172229308389965,0.02162920445956174,0.5185216536109394,0.49187527163643224,0.5430466999931285,-0.16281616616760197,-0.18764802790944962,-0.13791771090790791,0.14361222771937066,0.10712694332783614,0.18290420682161754,True,False,False
788 scenarios,B,decomp_b_xml_objective,claude-sonnet-4,0.6908852985638698,0.5004340599876316,-0.19045123857623825,-0.2318392803459767,-0.1480298273981309,0.3829486617879475,0.35778333612485397,0.4117714979299802,-0.3079366367759223,-0.3362201092558236,-0.2802566567030852,0.11748539819968407,0.07773991559291621,0.1573918071016283,True,False,False
788 scenarios,B,decomp_b_xml_objective,claude-sonnet-4.5,0.7548899281934996,0.7712348828420257,0.016344954648526033,-0.015592675264550259,0.043580770502645465,0.5260359118394833,0.49741307526798595,0.5548239441609979,-0.22885401635401637,-0.2543943876754075,-0.20063054834506894,0.2451989710025424,0.2126128472222222,0.2741815948601663,True,False,False
788 scenarios,B,decomp_b_xml_objective,deepseek-v3.1-terminus,0.7512859032501888,-0.3559948979591837,-1.1072808012093724,-1.1390132726070226,-1.0739991883116882,0.48674272486772496,0.4611577262849585,0.5121171815948601,-0.2645431783824639,-0.2941226379440665,-0.23787765731292507,-0.8427376228269087,-0.8768251842403628,-0.8053949475623583,True,False,False
788 scenarios,B,decomp_b_xml_objective,gemini-2.5-flash,0.720372260015117,-0.6809065570672712,-1.4012788170823882,-1.4266483961640208,-1.3742006920823882,0.3168239795918367,0.2883606268896448,0.3455083144368858,-0.4035482804232803,-0.4370515636810278,-0.373991862717309,-0.9977305366591079,-1.0293102796674225,-0.9672166477702191,True,False,False
788 scenarios,B,decomp_b_xml_objective,gemini-2.5-pro,0.7625396825396824,-0.7210699254449253,-1.4836096079846077,-1.5120449458981824,-1.4576525866659793,0.07903881502095789,0.0474869238730846,0.11126774118738411,-0.6835008675187245,-0.7179854844952501,-0.647338149780114,-0.8001087404658832,-0.8335003929602144,-0.7658019696469389,True,False,False
788 scenarios,B,decomp_b_xml_objective,gpt-4.1,0.6676554232804233,-0.607890535427654,-1.2755459587080773,-1.308818649970912,-1.2430910185079025,0.34961498488284215,0.3232750141723357,0.376009483654573,-0.3180404383975811,-0.3471474985827664,-0.2911512542517004,-0.9575055203104962,-0.9888745512093726,-0.9261712250273672,True,False,False
788 scenarios,B,decomp_b_xml_objective,gpt-4o-2024-11-20,0.6812141396962825,-0.6091506046863188,-1.2903647443826012,-1.3204758820696088,-1.2613941551999583,0.2690230536659108,0.24259008129767065,0.29583286092214667,-0.41219108603037174,-0.44345915361093924,-0.3821369659606266,-0.8781736583522295,-0.9079049347643096,-0.8473802577217755,True,False,False
788 scenarios,B,decomp_b_xml_objective,gpt-5,0.8618570483749055,0.8279851662887376,-0.03387188208616787,-0.05066107302157563,-0.01625365972563133,0.7387078695114409,0.7168476087404659,0.7589015389159672,-0.12314917886346466,-0.14272096496426834,-0.1048112126795162,0.08927729677729679,0.06673425260255612,0.11143420955751523,True,False,False
788 scenarios,B,decomp_b_xml_objective,gpt-5.1,0.8647921390778534,0.8254468580361437,-0.039345281041709645,-0.0563020586391121,-0.022189673091458823,0.8142194908266336,0.7964006555801014,0.8300283016915242,-0.050572648251219765,-0.06560888111557762,-0.037068688586545696,0.01122736720951012,-0.0044959342752512845,0.02704514103621259,False,False,False
