frame,condition,task_type,principle,n_scenarios,n_models,s_baseline,s_anchor_A,delta_A,delta_A_ci_lower,delta_A_ci_upper,s_condition,delta_condition,delta_condition_ci_lower,delta_condition_ci_upper,delta_condition_p_holm,delta_condition_p_at_floor,did_A_minus_condition,did_ci_lower,did_ci_upper,did_p_holm,did_p_at_floor,significance_reported
200 scenarios (frozen subsample),B,decomp_b_xml_objective,respect-user-attention,24,11,-0.0378787878787879,-0.28598484848484845,-0.24810606060606055,-0.4047032828282829,-0.0921085858585859,-0.3194444444444444,-0.2815656565656565,-0.40601325757575757,-0.1552872474747475,,,0.03345959595959597,-0.05746527777777775,0.11868686868686867,,,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,enable-meaningful-choices,22,11,0.837465564738292,0.03925619834710745,-0.7982093663911846,-0.8485192837465565,-0.7472279614325068,0.5089531680440772,-0.32851239669421484,-0.37742768595041337,-0.278236914600551,,,-0.4696969696969697,-0.5385847107438017,-0.39325068870523416,,,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,enhance-human-capabilities,22,11,0.8980716253443526,0.3161157024793388,-0.5819559228650137,-0.6653064738292013,-0.4882747933884297,0.7231404958677687,-0.17493112947658385,-0.2493112947658399,-0.10397727272727271,,,-0.40702479338842995,-0.4628443526170799,-0.3484848484848485,,,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,protect-dignity-and-safety,24,11,0.8364898989898989,0.07323232323232326,-0.7632575757575757,-0.8200757575757575,-0.6919191919191919,0.5997474747474748,-0.2367424242424241,-0.29357638888888893,-0.18371212121212133,,,-0.5265151515151516,-0.5795612373737374,-0.47159090909090906,,,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,foster-healthy-relationships,25,11,0.88,-0.05151515151515151,-0.9315151515151515,-0.9945454545454545,-0.8624242424242424,0.43393939393939396,-0.44606060606060605,-0.543030303030303,-0.35151515151515167,,,-0.48545454545454547,-0.5612121212121213,-0.4048030303030304,,,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,prioritize-long-term-wellbeing,22,11,0.953168044077135,0.19352617079889817,-0.7596418732782368,-0.7995867768595042,-0.7203512396694215,0.6253443526170799,-0.3278236914600551,-0.38643250688705233,-0.2747933884297521,,,-0.4318181818181817,-0.49932851239669424,-0.35532024793388417,,,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,be-transparent-and-honest,23,11,0.4677206851119895,-0.22859025032938068,-0.6963109354413701,-0.8340250329380764,-0.5618906455862978,-0.0065876152832674666,-0.47430830039525695,-0.5757575757575758,-0.3767951251646904,,,-0.22200263504611323,-0.3261363636363636,-0.1337285902503295,,,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,design-for-equity-and-inclusion,24,11,0.7563131313131314,0.19128787878787878,-0.5650252525252526,-0.6648200757575758,-0.4425347222222222,0.6445707070707071,-0.11174242424242431,-0.2007575757575757,-0.008806818181818242,,,-0.4532828282828283,-0.514520202020202,-0.39141414141414155,,,False
200 scenarios (frozen subsample),C,decomp_c_prose,respect-user-attention,24,11,-0.0378787878787879,-0.28598484848484845,-0.24810606060606055,-0.4047032828282829,-0.0921085858585859,-0.404040404040404,-0.3661616161616161,-0.4697127525252526,-0.2727272727272728,,,0.11805555555555552,0.020801767676767717,0.21403093434343434,,,False
200 scenarios (frozen subsample),C,decomp_c_prose,enable-meaningful-choices,22,11,0.837465564738292,0.03925619834710745,-0.7982093663911846,-0.8485192837465565,-0.7472279614325068,0.5743801652892562,-0.26308539944903586,-0.29822658402203844,-0.22863292011019273,,,-0.5351239669421487,-0.6006026170798898,-0.4676136363636362,,,False
