principle_a,principle_b,size,holm_pass_probability
respect-user-attention,enable-meaningful-choices,24,0.976
respect-user-attention,enhance-human-capabilities,24,1.0
respect-user-attention,protect-dignity-and-safety,24,1.0
respect-user-attention,foster-healthy-relationships,24,0.932
respect-user-attention,prioritize-long-term-wellbeing,24,0.56
respect-user-attention,be-transparent-and-honest,24,0.976
respect-user-attention,design-for-equity-and-inclusion,24,0.402
enable-meaningful-choices,enhance-human-capabilities,24,1.0
enable-meaningful-choices,protect-dignity-and-safety,24,1.0
enable-meaningful-choices,foster-healthy-relationships,24,0.994
enable-meaningful-choices,prioritize-long-term-wellbeing,24,0.17
enable-meaningful-choices,be-transparent-and-honest,24,1.0
enable-meaningful-choices,design-for-equity-and-inclusion,24,1.0
enhance-human-capabilities,protect-dignity-and-safety,24,1.0
enhance-human-capabilities,foster-healthy-relationships,24,1.0
enhance-human-capabilities,prioritize-long-term-wellbeing,24,1.0
enhance-human-capabilities,be-transparent-and-honest,24,1.0
enhance-human-capabilities,design-for-equity-and-inclusion,24,1.0
protect-dignity-and-safety,foster-healthy-relationships,24,0.68
protect-dignity-and-safety,prioritize-long-term-wellbeing,24,1.0
protect-dignity-and-safety,be-transparent-and-honest,24,1.0
protect-dignity-and-safety,design-for-equity-and-inclusion,24,1.0
foster-healthy-relationships,prioritize-long-term-wellbeing,24,0.706
foster-healthy-relationships,be-transparent-and-honest,24,1.0
foster-healthy-relationships,design-for-equity-and-inclusion,24,1.0
prioritize-long-term-wellbeing,be-transparent-and-honest,24,1.0
prioritize-long-term-wellbeing,design-for-equity-and-inclusion,24,1.0
be-transparent-and-honest,design-for-equity-and-inclusion,24,1.0
respect-user-attention,enable-meaningful-choices,36,1.0
respect-user-attention,enhance-human-capabilities,36,1.0
respect-user-attention,protect-dignity-and-safety,36,1.0
respect-user-attention,foster-healthy-relationships,36,1.0
respect-user-attention,prioritize-long-term-wellbeing,36,0.792
respect-user-attention,be-transparent-and-honest,36,1.0
respect-user-attention,design-for-equity-and-inclusion,36,0.616
enable-meaningful-choices,enhance-human-capabilities,36,1.0
enable-meaningful-choices,protect-dignity-and-safety,36,1.0
enable-meaningful-choices,foster-healthy-relationships,36,1.0
enable-meaningful-choices,prioritize-long-term-wellbeing,36,0.23
enable-meaningful-choices,be-transparent-and-honest,36,1.0
enable-meaningful-choices,design-for-equity-and-inclusion,36,1.0
enhance-human-capabilities,protect-dignity-and-safety,36,1.0
enhance-human-capabilities,foster-healthy-relationships,36,1.0
enhance-human-capabilities,prioritize-long-term-wellbeing,36,1.0
enhance-human-capabilities,be-transparent-and-honest,36,1.0
enhance-human-capabilities,design-for-equity-and-inclusion,36,1.0
protect-dignity-and-safety,foster-healthy-relationships,36,0.92
protect-dignity-and-safety,prioritize-long-term-wellbeing,36,1.0
protect-dignity-and-safety,be-transparent-and-honest,36,1.0
protect-dignity-and-safety,design-for-equity-and-inclusion,36,1.0
foster-healthy-relationships,prioritize-long-term-wellbeing,36,0.932
foster-healthy-relationships,be-transparent-and-honest,36,1.0
foster-healthy-relationships,design-for-equity-and-inclusion,36,1.0
prioritize-long-term-wellbeing,be-transparent-and-honest,36,1.0
prioritize-long-term-wellbeing,design-for-equity-and-inclusion,36,1.0
be-transparent-and-honest,design-for-equity-and-inclusion,36,1.0
