designed_principle,contrast,ci_lower,ci_upper,estimable,excludes_zero,n_scenarios,n_rows_used,centered,source_model
respect-user-attention,-0.001984126984126977,-0.18849206349206346,0.18060515873015864,True,False,12,1,False,pooled
enable-meaningful-choices,0.4246031746031746,0.24796626984126985,0.5794146825396824,True,True,12,1,False,pooled
enhance-human-capabilities,0.9265873015873015,0.7737599206349206,1.0654761904761905,True,True,12,1,False,pooled
protect-dignity-and-safety,0.13888888888888895,0.041666666666666685,0.2540178571428571,True,True,12,1,False,pooled
foster-healthy-relationships,0.3511904761904762,0.21626984126984128,0.4722718253968254,True,True,12,1,False,pooled
prioritize-long-term-wellbeing,0.5952380952380953,0.48611111111111116,0.7063988095238095,True,True,12,1,False,pooled
be-transparent-and-honest,0.5595238095238095,0.2678571428571429,0.8273809523809523,True,True,12,1,False,pooled
design-for-equity-and-inclusion,0.4166666666666667,0.15669642857142857,0.648859126984127,True,True,12,1,False,pooled
pooled,0.42633928571428575,0.35837053571428573,0.4905877976190476,True,True,96,8,False,pooled
respect-user-attention,0.08159722222222227,-0.09648437500000004,0.251748511904762,True,False,12,1,True,pooled
enable-meaningful-choices,0.2641369047619047,0.10688864087301586,0.41075148809523804,True,True,12,1,True,pooled
enhance-human-capabilities,0.4327876984126984,0.2901785714285714,0.5625186011904761,True,True,12,1,True,pooled
protect-dignity-and-safety,0.3038194444444444,0.20831473214285712,0.42213541666666654,True,True,12,1,True,pooled
foster-healthy-relationships,0.3970734126984127,0.27107514880952377,0.5248015873015872,True,True,12,1,True,pooled
prioritize-long-term-wellbeing,0.26612103174603186,0.15819692460317458,0.3876798115079364,True,True,12,1,True,pooled
be-transparent-and-honest,1.115327380952381,0.8412636408730159,1.3581535218253966,True,True,12,1,True,pooled
design-for-equity-and-inclusion,0.5498511904761905,0.31545758928571427,0.7552207341269841,True,True,12,1,True,pooled
pooled,0.4263392857142857,0.35837053571428573,0.4905877976190476,True,True,96,8,True,pooled
respect-user-attention,-0.08928571428571426,-0.3633928571428572,0.16666666666666666,True,False,12,1,False,claude-sonnet-4.5
enable-meaningful-choices,0.41071428571428575,0.22023809523809526,0.5833333333333334,True,True,12,1,False,claude-sonnet-4.5
enhance-human-capabilities,0.8571428571428571,0.6011904761904762,1.0715773809523808,True,True,12,1,False,claude-sonnet-4.5
protect-dignity-and-safety,0.20238095238095233,0.0892857142857143,0.3154761904761904,True,True,12,1,False,claude-sonnet-4.5
foster-healthy-relationships,0.3392857142857142,0.08333333333333326,0.5476190476190477,True,True,12,1,False,claude-sonnet-4.5
prioritize-long-term-wellbeing,0.5654761904761905,0.4105654761904762,0.7142857142857143,True,True,12,1,False,claude-sonnet-4.5
be-transparent-and-honest,0.5595238095238095,0.12485119047619049,0.9226190476190476,True,True,12,1,False,claude-sonnet-4.5
design-for-equity-and-inclusion,0.5476190476190476,0.23809523809523808,0.8215773809523809,True,True,12,1,False,claude-sonnet-4.5
pooled,0.42410714285714285,0.3318452380952381,0.5148995535714285,True,True,96,8,False,claude-sonnet-4.5
respect-user-attention,0.14285714285714288,-0.10714285714285715,0.39880952380952384,True,False,12,1,False,gemini-2.5-pro
enable-meaningful-choices,0.6428571428571428,0.49404761904761907,0.7738095238095237,True,True,12,1,False,gemini-2.5-pro
enhance-human-capabilities,1.0535714285714286,0.8988095238095238,1.2144345238095235,True,True,12,1,False,gemini-2.5-pro
protect-dignity-and-safety,0.15476190476190477,-0.04166666666666663,0.3156249999999999,True,False,12,1,False,gemini-2.5-pro
foster-healthy-relationships,0.2738095238095238,0.0535714285714286,0.47619047619047605,True,True,12,1,False,gemini-2.5-pro
prioritize-long-term-wellbeing,0.6071428571428572,0.494047619047619,0.7321428571428572,True,True,12,1,False,gemini-2.5-pro
be-transparent-and-honest,0.6488095238095237,0.36294642857142856,0.8928571428571429,True,True,12,1,False,gemini-2.5-pro
design-for-equity-and-inclusion,0.38095238095238093,0.14270833333333333,0.6011904761904762,True,True,12,1,False,gemini-2.5-pro
pooled,0.4880952380952381,0.4203497023809523,0.5565476190476191,True,True,96,8,False,gemini-2.5-pro
respect-user-attention,-0.05952380952380948,-0.31547619047619047,0.18467261904761892,True,False,12,1,False,llama-4-maverick
enable-meaningful-choices,0.22023809523809526,-0.047767857142857154,0.4644345238095237,True,False,12,1,False,llama-4-maverick
enhance-human-capabilities,0.8690476190476191,0.6666666666666667,1.0416666666666665,True,True,12,1,False,llama-4-maverick
protect-dignity-and-safety,0.05952380952380948,-0.20238095238095236,0.2977678571428571,True,False,12,1,False,llama-4-maverick
foster-healthy-relationships,0.4404761904761904,0.16666666666666669,0.6607142857142857,True,True,12,1,False,llama-4-maverick
prioritize-long-term-wellbeing,0.6130952380952381,0.48809523809523814,0.7380952380952381,True,True,12,1,False,llama-4-maverick
be-transparent-and-honest,0.47023809523809523,0.14285714285714285,0.8095238095238095,True,True,12,1,False,llama-4-maverick
design-for-equity-and-inclusion,0.32142857142857145,0.041666666666666664,0.5892857142857143,True,True,12,1,False,llama-4-maverick
pooled,0.3668154761904762,0.273046875,0.4531436011904762,True,True,96,8,False,llama-4-maverick
