designed_principle,contrast,ci_lower,ci_upper,estimable,excludes_zero,n_scenarios,n_rows_used,centered,source_model
respect-user-attention,,,,False,False,8,0,False,pooled
enable-meaningful-choices,0.78125,0.35250000000000004,1.0625,True,True,10,1,False,pooled
enhance-human-capabilities,,,,False,False,8,0,False,pooled
protect-dignity-and-safety,0.3194444444444444,0.041666666666666685,0.6083333333333333,True,True,8,1,False,pooled
foster-healthy-relationships,0.36111111111111105,0.18656250000000002,0.635833333333331,True,True,8,1,False,pooled
prioritize-long-term-wellbeing,0.8333333333333334,0.5,1.5,True,True,4,1,False,pooled
be-transparent-and-honest,,,,False,False,9,0,False,pooled
design-for-equity-and-inclusion,0.9166666666666666,0.5,1.2,True,True,5,1,False,pooled
pooled,0.642361111111111,0.4485763888888889,0.8468836805555556,True,True,60,5,False,pooled
respect-user-attention,,,,False,False,8,0,True,pooled
enable-meaningful-choices,0.7211805555555556,0.20708333333333334,1.0228005952380952,True,True,10,1,True,pooled
enhance-human-capabilities,,,,False,False,8,0,True,pooled
protect-dignity-and-safety,0.45810185185185187,-0.008868055555555528,0.7723511904761905,True,False,8,1,True,pooled
foster-healthy-relationships,0.5627314814814814,0.215913244047619,0.8511388888888884,True,True,8,1,True,pooled
prioritize-long-term-wellbeing,0.31805555555555565,0.07464583333333334,0.7618824404761905,True,True,4,1,True,pooled
be-transparent-and-honest,,,,False,False,9,0,True,pooled
design-for-equity-and-inclusion,1.0162037037037037,0.4527232142857143,1.2471478174603172,True,True,5,1,True,pooled
pooled,0.6152546296296297,0.30600909391534387,0.7394446097883598,True,True,60,5,True,pooled
respect-user-attention,,,,False,False,1,0,False,claude-sonnet-4.5
enable-meaningful-choices,,,,False,False,5,0,False,claude-sonnet-4.5
enhance-human-capabilities,,,,False,False,3,0,False,claude-sonnet-4.5
protect-dignity-and-safety,,,,False,False,5,0,False,claude-sonnet-4.5
foster-healthy-relationships,,,,False,False,4,0,False,claude-sonnet-4.5
prioritize-long-term-wellbeing,,,,False,False,3,0,False,claude-sonnet-4.5
be-transparent-and-honest,,,,False,False,6,0,False,claude-sonnet-4.5
design-for-equity-and-inclusion,,,,False,False,2,0,False,claude-sonnet-4.5
pooled,,,,False,False,29,0,False,claude-sonnet-4.5
respect-user-attention,,,,False,False,5,0,False,gemini-2.5-pro
enable-meaningful-choices,0.75,0.0,1.5,True,False,4,1,False,gemini-2.5-pro
enhance-human-capabilities,,,,False,False,4,0,False,gemini-2.5-pro
protect-dignity-and-safety,0.25,0.0,0.25,True,False,2,1,False,gemini-2.5-pro
foster-healthy-relationships,0.5,0.0,1.5,True,False,5,1,False,gemini-2.5-pro
prioritize-long-term-wellbeing,0.5,0.5,0.5,True,True,1,1,False,gemini-2.5-pro
be-transparent-and-honest,,,,False,False,2,0,False,gemini-2.5-pro
design-for-equity-and-inclusion,1.5,1.5,1.5,True,True,2,1,False,gemini-2.5-pro
pooled,0.7,0.16666666666666666,0.9375,True,True,25,5,False,gemini-2.5-pro
respect-user-attention,,,,False,False,5,0,False,llama-4-maverick
enable-meaningful-choices,,,,False,False,3,0,False,llama-4-maverick
enhance-human-capabilities,,,,False,False,3,0,False,llama-4-maverick
protect-dignity-and-safety,,,,False,False,6,0,False,llama-4-maverick
foster-healthy-relationships,,,,False,False,2,0,False,llama-4-maverick
prioritize-long-term-wellbeing,,,,False,False,1,0,False,llama-4-maverick
be-transparent-and-honest,,,,False,False,3,0,False,llama-4-maverick
design-for-equity-and-inclusion,,,,False,False,3,0,False,llama-4-maverick
pooled,,,,False,False,26,0,False,llama-4-maverick
