designed_principle,contrast,ci_lower,ci_upper,estimable,excludes_zero,n_scenarios,n_rows_used,centered,source_model
respect-user-attention,-0.025793650793650785,-0.12403273809523808,0.07542162698412697,True,False,24,1,False,pooled
enable-meaningful-choices,0.34325396825396826,0.2162698412698413,0.4533730158730158,True,True,24,1,False,pooled
enhance-human-capabilities,0.8938492063492064,0.7598710317460318,1.0218253968253967,True,True,24,1,False,pooled
protect-dignity-and-safety,0.21924603174603174,0.14781746031746035,0.2867063492063492,True,True,24,1,False,pooled
foster-healthy-relationships,0.3700396825396825,0.28368055555555555,0.44446924603174603,True,True,24,1,False,pooled
prioritize-long-term-wellbeing,0.6369047619047619,0.5446428571428572,0.7182539682539681,True,True,24,1,False,pooled
be-transparent-and-honest,0.7103174603174603,0.5317212301587302,0.878968253968254,True,True,24,1,False,pooled
design-for-equity-and-inclusion,0.4910714285714285,0.3442212301587302,0.6220734126984127,True,True,24,1,False,pooled
pooled,0.45486111111111105,0.4100663442460318,0.4957930307539682,True,True,192,8,False,pooled
respect-user-attention,0.0848214285714286,-0.013185143849206354,0.18354104662698417,True,False,24,1,True,pooled
enable-meaningful-choices,0.18105158730158738,0.0642175099206349,0.279913814484127,True,True,24,1,True,pooled
enhance-human-capabilities,0.40128968253968245,0.2756448412698413,0.51824466765873,True,True,24,1,True,pooled
protect-dignity-and-safety,0.349702380952381,0.27403893849206346,0.41791294642857146,True,True,24,1,True,pooled
foster-healthy-relationships,0.4955357142857143,0.4062344990079365,0.5763888888888888,True,True,24,1,True,pooled
prioritize-long-term-wellbeing,0.36755952380952384,0.2778893849206349,0.4443297371031746,True,True,24,1,True,pooled
be-transparent-and-honest,1.2306547619047619,1.073809523809524,1.3820591517857141,True,True,24,1,True,pooled
design-for-equity-and-inclusion,0.5282738095238094,0.39610925099206346,0.6465773809523809,True,True,24,1,True,pooled
pooled,0.4548611111111111,0.4100663442460318,0.4957930307539682,True,True,192,8,True,pooled
respect-user-attention,-0.15476190476190477,-0.3601190476190476,0.03571428571428571,True,False,24,1,False,claude-sonnet-4.5
enable-meaningful-choices,0.34821428571428564,0.19940476190476192,0.4762648809523809,True,True,24,1,False,claude-sonnet-4.5
enhance-human-capabilities,0.9226190476190477,0.7857142857142857,1.0476190476190477,True,True,24,1,False,claude-sonnet-4.5
protect-dignity-and-safety,0.19940476190476186,0.0892857142857143,0.3005952380952381,True,True,24,1,False,claude-sonnet-4.5
foster-healthy-relationships,0.3988095238095238,0.2915922619047619,0.5059523809523809,True,True,24,1,False,claude-sonnet-4.5
prioritize-long-term-wellbeing,0.6517857142857143,0.5534970238095238,0.7500744047619047,True,True,24,1,False,claude-sonnet-4.5
be-transparent-and-honest,0.8630952380952381,0.6428571428571429,1.0566964285714284,True,True,24,1,False,claude-sonnet-4.5
design-for-equity-and-inclusion,0.3988095238095238,0.22023809523809523,0.5566220238095237,True,True,24,1,False,claude-sonnet-4.5
pooled,0.45349702380952384,0.4006696428571429,0.5033575148809524,True,True,192,8,False,claude-sonnet-4.5
respect-user-attention,0.07142857142857145,-0.10721726190476197,0.26785714285714285,True,False,24,1,False,gemini-2.5-pro
enable-meaningful-choices,0.4285714285714285,0.22001488095238095,0.5953125,True,True,24,1,False,gemini-2.5-pro
enhance-human-capabilities,0.9791666666666666,0.8392857142857143,1.1041666666666667,True,True,24,1,False,gemini-2.5-pro
protect-dignity-and-safety,0.25595238095238093,0.17559523809523825,0.32738095238095233,True,True,24,1,False,gemini-2.5-pro
foster-healthy-relationships,0.2708333333333332,0.06845238095238093,0.4196428571428571,True,True,24,1,False,gemini-2.5-pro
prioritize-long-term-wellbeing,0.6101190476190476,0.5119047619047619,0.6994047619047619,True,True,24,1,False,gemini-2.5-pro
be-transparent-and-honest,0.6041666666666666,0.3839285714285714,0.8035714285714286,True,True,24,1,False,gemini-2.5-pro
design-for-equity-and-inclusion,0.5238095238095237,0.318452380952381,0.7113839285714285,True,True,24,1,False,gemini-2.5-pro
pooled,0.46800595238095233,0.4054966517857143,0.5238188244047619,True,True,192,8,False,gemini-2.5-pro
respect-user-attention,0.005952380952380876,-0.13988095238095233,0.14583333333333331,True,False,24,1,False,llama-4-maverick
enable-meaningful-choices,0.25297619047619047,0.08311011904761904,0.401860119047619,True,True,24,1,False,llama-4-maverick
enhance-human-capabilities,0.7797619047619048,0.5952380952380952,0.9554315476190477,True,True,24,1,False,llama-4-maverick
protect-dignity-and-safety,0.20238095238095238,0.06845238095238099,0.32150297619047613,True,True,24,1,False,llama-4-maverick
foster-healthy-relationships,0.44047619047619047,0.3600446428571428,0.5267857142857143,True,True,24,1,False,llama-4-maverick
prioritize-long-term-wellbeing,0.6488095238095237,0.4850446428571428,0.7947172619047618,True,True,24,1,False,llama-4-maverick
be-transparent-and-honest,0.6636904761904762,0.398735119047619,0.9077380952380952,True,True,24,1,False,llama-4-maverick
design-for-equity-and-inclusion,0.5505952380952381,0.3183779761904762,0.7619047619047619,True,True,24,1,False,llama-4-maverick
pooled,0.4430803571428572,0.3816871279761905,0.5040922619047619,True,True,192,8,False,llama-4-maverick
