principle_a,principle_b,domain,interaction,ci_lower,ci_upper,n_scenarios_a,n_scenarios_b,feasible
respect-user-attention,protect-dignity-and-safety,technology-use,0.8333333333333334,0.41428571428571437,1.2523809523809524,5,7,True
respect-user-attention,prioritize-long-term-wellbeing,everyday-decisions,0.729166666666667,0.4666666666666667,0.9750000000000001,16,5,True
respect-user-attention,prioritize-long-term-wellbeing,mental-health,-0.022222222222222143,-0.4500000000000001,0.37222222222222234,6,5,True
respect-user-attention,be-transparent-and-honest,technology-use,1.0961538461538463,0.5987179487179488,1.5653846153846152,5,26,True
respect-user-attention,design-for-equity-and-inclusion,technology-use,0.6523809523809524,-0.07619047619047625,1.2428571428571427,5,7,True
enable-meaningful-choices,enhance-human-capabilities,financial-decisions,0.2666666666666669,-0.18484848484848487,0.6697727272727265,11,5,True
enable-meaningful-choices,prioritize-long-term-wellbeing,career,0.11640211640211617,-0.12169312169312169,0.3783068783068784,9,7,True
enable-meaningful-choices,design-for-equity-and-inclusion,career,0.8222222222222222,0.48518518518518544,1.1666666666666667,9,5,True
enhance-human-capabilities,protect-dignity-and-safety,health-wellness,0.6000000000000002,0.09999999999999992,1.0666666666666667,5,5,True
enhance-human-capabilities,prioritize-long-term-wellbeing,health-wellness,0.3047619047619047,0.00952380952380982,0.642857142857143,5,7,True
enhance-human-capabilities,design-for-equity-and-inclusion,education,0.7293233082706766,0.17293233082706772,1.2769423558897242,19,7,True
protect-dignity-and-safety,foster-healthy-relationships,parenting,0.0714285714285714,-0.19047619047619035,0.30952380952380953,7,7,True
protect-dignity-and-safety,foster-healthy-relationships,relationships,0.5407407407407405,0.21111111111111125,0.8814814814814815,5,18,True
protect-dignity-and-safety,prioritize-long-term-wellbeing,health-wellness,0.27142857142857146,0.06190476190476191,0.5142857142857142,5,7,True
protect-dignity-and-safety,be-transparent-and-honest,relationships,1.1333333333333333,0.7333333333333334,1.5666666666666664,5,5,True
protect-dignity-and-safety,be-transparent-and-honest,technology-use,1.6904761904761907,1.2664835164835164,2.0293269230769226,7,26,True
protect-dignity-and-safety,design-for-equity-and-inclusion,relationships,0.7333333333333334,0.4999999999999999,0.9999999999999998,5,5,True
protect-dignity-and-safety,design-for-equity-and-inclusion,technology-use,0.6666666666666667,0.35714285714285704,0.976190476190476,7,7,True
foster-healthy-relationships,be-transparent-and-honest,relationships,1.2925925925925925,1.0277777777777781,1.5722222222222222,18,5,True
foster-healthy-relationships,design-for-equity-and-inclusion,relationships,0.785185185185185,0.43148148148148147,1.1037499999999996,18,5,True
prioritize-long-term-wellbeing,design-for-equity-and-inclusion,career,1.7095238095238097,1.3095238095238095,2.095238095238095,7,5,True
be-transparent-and-honest,design-for-equity-and-inclusion,relationships,1.366666666666667,0.8333333333333334,1.8666666666666667,5,5,True
be-transparent-and-honest,design-for-equity-and-inclusion,technology-use,1.5906593406593408,1.1465201465201464,2.0238095238095237,26,7,True
