principle_a,principle_b,a_designed_a_scored,a_designed_b_scored,b_designed_a_scored,b_designed_b_scored,diff_within_a,diff_within_b,interaction,ci_lower,ci_upper,p_value,estimable,excludes_zero,n_scenarios_a,n_scenarios_b,p_holm,significant,failure_class,ci90_lower,ci90_upper,tost_bound,equivalent
respect-user-attention,enable-meaningful-choices,-0.2361111111111111,-0.18981481481481483,0.1111111111111111,0.5555555555555556,-0.04629629629629628,0.4444444444444445,0.3981481481481482,0.2175925925925926,0.5740740740740741,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.24999999999999997,0.5462962962962963,0.5,False
respect-user-attention,enhance-human-capabilities,-0.2361111111111111,0.041666666666666664,-0.046296296296296294,0.7824074074074074,-0.2777777777777778,0.8287037037037037,0.5509259259259259,0.3611111111111111,0.736111111111111,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.3935185185185185,0.7083333333333333,0.5,False
respect-user-attention,protect-dignity-and-safety,-0.2361111111111111,-0.3287037037037037,0.3888888888888889,0.6851851851851852,0.09259259259259262,0.29629629629629634,0.38888888888888895,0.25925925925925924,0.5277777777777778,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.27777777777777773,0.5046296296296297,0.5,False
respect-user-attention,foster-healthy-relationships,-0.2361111111111111,-0.28703703703703703,0.14814814814814814,0.7731481481481481,0.05092592592592593,0.625,0.6759259259259259,0.4907407407407407,0.8564814814814814,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.5231481481481483,0.8240740740740741,0.5,False
respect-user-attention,prioritize-long-term-wellbeing,-0.2361111111111111,0.032407407407407406,0.22685185185185186,0.8981481481481481,-0.2685185185185185,0.6712962962962963,0.4027777777777778,0.2314814814814815,0.5648148148148149,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.25925925925925924,0.5416666666666667,0.5,False
respect-user-attention,be-transparent-and-honest,-0.2361111111111111,-0.46296296296296297,-0.1111111111111111,0.4351851851851852,0.22685185185185186,0.5462962962962963,0.7731481481481481,0.5648148148148149,0.9768518518518519,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.5972222222222222,0.949074074074074,0.5,False
respect-user-attention,design-for-equity-and-inclusion,-0.2361111111111111,-0.3333333333333333,0.125,0.5416666666666666,0.09722222222222221,0.41666666666666663,0.5138888888888888,0.28240740740740744,0.7314814814814815,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.3194444444444444,0.6990740740740741,0.5,False
enable-meaningful-choices,enhance-human-capabilities,0.5555555555555556,0.8240740740740741,0.037037037037037035,0.7824074074074074,-0.2685185185185185,0.7453703703703705,0.47685185185185197,0.30555555555555547,0.6435185185185185,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.3333333333333333,0.6203703703703702,0.5,False
enable-meaningful-choices,protect-dignity-and-safety,0.5555555555555556,0.009259259259259259,0.6435185185185185,0.6851851851851852,0.5462962962962963,0.04166666666666674,0.587962962962963,0.4074074074074074,0.7685185185185185,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.43518518518518523,0.7407407407407406,0.5,False
enable-meaningful-choices,foster-healthy-relationships,0.5555555555555556,0.018518518518518517,0.7083333333333334,0.7731481481481481,0.5370370370370371,0.06481481481481477,0.6018518518518519,0.40740740740740733,0.7916666666666666,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.43958333333333344,0.7638888888888888,0.5,False
