principle_a,principle_b,a_designed_a_scored,a_designed_b_scored,b_designed_a_scored,b_designed_b_scored,diff_within_a,diff_within_b,interaction,ci_lower,ci_upper,p_value,estimable,excludes_zero,n_scenarios_a,n_scenarios_b,p_holm,significant,failure_class
respect-user-attention,enable-meaningful-choices,-0.18055555555555555,0.06944444444444445,-0.05555555555555555,0.5833333333333334,-0.25,0.638888888888889,0.38888888888888895,0.02777777777777768,0.763888888888889,0.039396060393960604,True,True,12,12,0.15758424157584242,False,"directional, uncorrected"
respect-user-attention,enhance-human-capabilities,-0.18055555555555555,0.2638888888888889,-0.08333333333333333,0.8472222222222222,-0.4444444444444444,0.9305555555555556,0.48611111111111116,0.16666666666666674,0.8055555555555556,0.0025997400259974,True,True,12,12,0.0207979202079792,True,
respect-user-attention,protect-dignity-and-safety,-0.18055555555555555,0.041666666666666664,0.027777777777777776,0.75,-0.2222222222222222,0.7222222222222222,0.5,0.23611111111111105,0.763888888888889,0.0005999400059994001,True,True,12,12,0.0065993400659934,True,
respect-user-attention,foster-healthy-relationships,-0.18055555555555555,-0.1388888888888889,0.05555555555555555,0.7222222222222222,-0.04166666666666666,0.6666666666666666,0.625,0.22222222222222218,1.0138888888888888,0.0047995200479952005,True,True,12,12,0.033596640335966405,True,
respect-user-attention,prioritize-long-term-wellbeing,-0.18055555555555555,0.375,-0.013888888888888888,0.9305555555555556,-0.5555555555555556,0.9444444444444444,0.38888888888888884,0.06944444444444442,0.6944444444444444,0.0217978202179782,True,True,12,12,0.1307869213078692,False,"directional, uncorrected"
respect-user-attention,be-transparent-and-honest,-0.18055555555555555,-0.4444444444444444,-0.19444444444444445,0.3472222222222222,0.26388888888888884,0.5416666666666666,0.8055555555555555,0.3055555555555556,1.2777777777777777,0.0017998200179982,True,True,12,12,0.0161983801619838,True,
respect-user-attention,design-for-equity-and-inclusion,-0.18055555555555555,-0.2777777777777778,-0.1111111111111111,0.3611111111111111,0.09722222222222224,0.4722222222222222,0.5694444444444444,0.013888888888888867,1.0833333333333335,0.04839516048395161,True,True,12,12,0.15758424157584242,False,"directional, uncorrected"
enable-meaningful-choices,enhance-human-capabilities,0.5833333333333334,0.8333333333333334,0.027777777777777776,0.8472222222222222,-0.25,0.8194444444444444,0.5694444444444444,0.29166666666666663,0.8472222222222221,0.00039996000399960006,True,True,12,12,0.005599440055994401,True,
enable-meaningful-choices,protect-dignity-and-safety,0.5833333333333334,0.09722222222222222,0.6388888888888888,0.75,0.48611111111111116,0.11111111111111116,0.5972222222222223,0.23611111111111116,0.9583333333333334,0.00039996000399960006,True,True,12,12,0.005599440055994401,True,
enable-meaningful-choices,foster-healthy-relationships,0.5833333333333334,-0.2361111111111111,0.6666666666666666,0.7222222222222222,0.8194444444444444,0.05555555555555558,0.875,0.48611111111111105,1.25,0.00019998000199980003,True,True,12,12,0.005599440055994401,True,
