designed_principle,contrast,ci_lower,ci_upper,estimable,excludes_zero,n_scenarios,n_rows_used,centered,source_model
respect-user-attention,-0.16468253968253968,-0.37103174603174605,0.025793650793650785,True,False,12,1,False,pooled
enable-meaningful-choices,0.4642857142857143,0.2579365079365079,0.6527777777777778,True,True,12,1,False,pooled
enhance-human-capabilities,0.9801587301587301,0.8452380952380952,1.1111607142857143,True,True,12,1,False,pooled
protect-dignity-and-safety,0.3511904761904762,0.2718253968253968,0.43849206349206343,True,True,12,1,False,pooled
foster-healthy-relationships,0.32142857142857145,0.12103174603174605,0.49811507936507926,True,True,12,1,False,pooled
prioritize-long-term-wellbeing,0.6964285714285715,0.5753968253968254,0.8234126984126984,True,True,12,1,False,pooled
be-transparent-and-honest,0.4880952380952381,0.17852182539682537,0.7778273809523809,True,True,12,1,False,pooled
design-for-equity-and-inclusion,0.4365079365079365,0.16066468253968252,0.6865575396825396,True,True,12,1,False,pooled
pooled,0.4466765873015873,0.37351190476190477,0.5134052579365079,True,True,96,8,False,pooled
respect-user-attention,0.0910218253968254,-0.10466889880952387,0.26865079365079353,True,False,12,1,True,pooled
enable-meaningful-choices,0.277529761904762,0.09517609126984124,0.453125,True,True,12,1,True,pooled
enhance-human-capabilities,0.4144345238095238,0.2856708829365079,0.5392547123015872,True,True,12,1,True,pooled
protect-dignity-and-safety,0.3568948412698413,0.26661706349206354,0.4533792162698413,True,True,12,1,True,pooled
foster-healthy-relationships,0.44022817460317465,0.2506510416666667,0.6168216765873016,True,True,12,1,True,pooled
prioritize-long-term-wellbeing,0.2576884920634921,0.14061259920634925,0.38839905753968257,True,True,12,1,True,pooled
be-transparent-and-honest,1.0473710317460316,0.7670138888888888,1.3254526289682538,True,True,12,1,True,pooled
design-for-equity-and-inclusion,0.6882440476190477,0.44219990079365085,0.9114707341269841,True,True,12,1,True,pooled
pooled,0.4466765873015873,0.37351190476190477,0.5134052579365079,True,True,96,8,True,pooled
respect-user-attention,-0.3333333333333333,-0.6547619047619048,0.012053571428571292,True,False,12,1,False,claude-sonnet-4.5
enable-meaningful-choices,0.47619047619047616,0.27976190476190477,0.6547619047619048,True,True,12,1,False,claude-sonnet-4.5
enhance-human-capabilities,0.8273809523809523,0.6010416666666667,1.0238095238095237,True,True,12,1,False,claude-sonnet-4.5
protect-dignity-and-safety,0.255952380952381,0.16071428571428575,0.3453869047619047,True,True,12,1,False,claude-sonnet-4.5
foster-healthy-relationships,0.4702380952380952,0.3869047619047619,0.5418154761904761,True,True,12,1,False,claude-sonnet-4.5
prioritize-long-term-wellbeing,0.6488095238095237,0.5178571428571428,0.7678571428571429,True,True,12,1,False,claude-sonnet-4.5
be-transparent-and-honest,0.5,0.0654761904761905,0.9047619047619048,True,True,12,1,False,claude-sonnet-4.5
design-for-equity-and-inclusion,0.3988095238095238,0.09523809523809525,0.6666666666666666,True,True,12,1,False,claude-sonnet-4.5
pooled,0.40550595238095233,0.31322544642857136,0.4918340773809524,True,True,96,8,False,claude-sonnet-4.5
respect-user-attention,-0.09523809523809523,-0.4049107142857143,0.23809523809523805,True,False,12,1,False,gemini-2.5-pro
enable-meaningful-choices,0.7261904761904762,0.5952380952380952,0.8511904761904762,True,True,12,1,False,gemini-2.5-pro
enhance-human-capabilities,1.119047619047619,0.9285714285714286,1.2976190476190474,True,True,12,1,False,gemini-2.5-pro
protect-dignity-and-safety,0.4345238095238095,0.2678571428571429,0.6132440476190475,True,True,12,1,False,gemini-2.5-pro
foster-healthy-relationships,0.11309523809523808,-0.24999999999999997,0.42857142857142855,True,False,12,1,False,gemini-2.5-pro
prioritize-long-term-wellbeing,0.6964285714285714,0.5296130952380952,0.8690476190476191,True,True,12,1,False,gemini-2.5-pro
be-transparent-and-honest,0.3630952380952381,0.06532738095238096,0.6666666666666666,True,True,12,1,False,gemini-2.5-pro
design-for-equity-and-inclusion,0.4107142857142857,0.10104166666666668,0.6906249999999998,True,True,12,1,False,gemini-2.5-pro
pooled,0.4709821428571428,0.38093377976190473,0.5580357142857143,True,True,96,8,False,gemini-2.5-pro
respect-user-attention,-0.06547619047619047,-0.2619047619047619,0.125,True,False,12,1,False,llama-4-maverick
enable-meaningful-choices,0.1904761904761905,-0.16666666666666666,0.5061011904761903,True,False,12,1,False,llama-4-maverick
enhance-human-capabilities,0.9940476190476191,0.8511904761904762,1.1370535714285712,True,True,12,1,False,llama-4-maverick
protect-dignity-and-safety,0.3630952380952381,0.27366071428571426,0.4642857142857143,True,True,12,1,False,llama-4-maverick
foster-healthy-relationships,0.38095238095238093,0.03556547619047624,0.672767857142857,True,True,12,1,False,llama-4-maverick
prioritize-long-term-wellbeing,0.744047619047619,0.6071428571428572,0.9166666666666667,True,True,12,1,False,llama-4-maverick
be-transparent-and-honest,0.6011904761904762,0.1904761904761905,1.0,True,True,12,1,False,llama-4-maverick
design-for-equity-and-inclusion,0.5,0.14255952380952383,0.869047619047619,True,True,12,1,False,llama-4-maverick
pooled,0.4635416666666667,0.3689918154761905,0.5558035714285714,True,True,96,8,False,llama-4-maverick
