model,s_emc,s_pltw,d_point,d_ci_lower,d_ci_upper,d_se,abs_d_gt_0.5,persona
claude-opus-4.1,0.7659176029962546,0.9245614035087719,-0.15864380051251736,-0.21377390104474642,-0.10715257244234244,0.027209084255495192,False,baseline
claude-sonnet-4,0.7715355805243447,0.9543859649122808,-0.1828503843879361,-0.22873841908141146,-0.1347348708850777,0.024167339746035493,False,baseline
claude-sonnet-4.5,0.7659176029962546,0.9508771929824561,-0.18495958998620154,-0.25320471121624266,-0.12419081411393616,0.033118675668169055,False,baseline
deepseek-v3.1-terminus,0.8164794007490636,0.9807017543859649,-0.1642223536369013,-0.21326631184703293,-0.11738862605953058,0.024810311789549996,False,baseline
gemini-2.0-flash-001,0.8857677902621723,0.9894736842105263,-0.10370589394835394,-0.14291346343386524,-0.06859846244825563,0.01846590479790858,False,baseline
gemini-2.5-flash,0.852059925093633,0.9701754385964911,-0.1181155135028581,-0.1650763847821803,-0.07538438793613221,0.023334137639483943,False,baseline
gemini-2.5-pro,0.8258426966292135,0.987719298245614,-0.1618766016164005,-0.2084565345949141,-0.11389118864577188,0.024329658588009603,False,baseline
gemini-3-pro-preview,0.8314606741573032,0.9719298245614034,-0.14046915040410024,-0.19842943031736646,-0.08522964715158649,0.029077974895981844,False,baseline
gpt-4.1,0.7790262172284643,0.9403508771929824,-0.16132465996451806,-0.2091917997240291,-0.11195298639858059,0.024427152522329378,False,baseline
gpt-4o-2024-11-20,0.7359550561797753,0.9228070175438597,-0.18685196136408444,-0.2385767790262171,-0.14213335304553537,0.024651794640162077,False,baseline
gpt-5,0.949438202247191,0.9947368421052631,-0.04529863985807214,-0.06928838951310867,-0.02365168539325859,0.010953143446542185,False,baseline
gpt-5.1,0.9625468164794007,0.9912280701754385,-0.0286812536960378,-0.0568894145476051,-0.004567317169327825,0.012943275671594813,False,baseline
grok-4,0.8426966292134831,0.9543859649122806,-0.11168933569879747,-0.16740193179578142,-0.05867731125566702,0.027225404116452537,False,baseline
llama-3.1-405b-instruct,0.5168539325842696,0.8017543859649122,-0.2849004533806426,-0.3821629213483144,-0.18552877981470564,0.050124352459754454,False,baseline
llama-4-maverick,0.6029962546816479,0.8631578947368421,-0.26016164005519427,-0.3320683027794203,-0.19036713975951175,0.036080311170336624,False,baseline
claude-opus-4.1,0.8614232209737827,0.9754385964912281,-0.11401537551744545,-0.1491257638478218,-0.07737827715355801,0.018013772178173536,False,good_persona
claude-sonnet-4,0.8651685393258428,0.9438596491228071,-0.07869110979696425,-0.11802237334910301,-0.038184999014389855,0.0201752369797415,False,good_persona
claude-sonnet-4.5,0.9382022471910112,0.9385964912280701,-0.00039424403705889954,-0.05209984230238506,0.04125763847821785,0.023898752194075057,False,good_persona
deepseek-v3.1-terminus,0.8801498127340823,0.9543859649122808,-0.07423615217819846,-0.1134698403311649,-0.032699093238714255,0.02125550545454422,False,good_persona
gemini-2.0-flash-001,0.8651685393258427,0.950877192982456,-0.08570865365661329,-0.12784545633747274,-0.046250246402523246,0.021305191727971084,False,good_persona
