model,persona,principle,point,ci_lower,ci_upper,se_boot,n_scenarios
claude-opus-4.1,baseline,respect-user-attention,-0.030927835051546393,-0.1392182130584192,0.07388316151202746,0.0538822070285151,97
claude-opus-4.1,good_persona,respect-user-attention,0.5257731958762886,0.43298969072164956,0.61516323024055,0.04689881661063257,97
claude-opus-4.1,bad_persona,respect-user-attention,0.3470790378006873,0.20618556701030938,0.47942439862542974,0.06931050661866214,97
claude-sonnet-4,baseline,respect-user-attention,-0.05154639175257732,-0.14776632302405496,0.03097079037800685,0.047197267061537734,97
claude-sonnet-4,good_persona,respect-user-attention,0.6013745704467354,0.5171821305841926,0.6752577319587632,0.040975335380638536,97
claude-sonnet-4,bad_persona,respect-user-attention,0.3178694158075602,0.21817010309278329,0.417568728522337,0.05240702685698907,97
claude-sonnet-4.5,baseline,respect-user-attention,0.25945017182130586,0.16666666666666682,0.36082474226804123,0.049066646899257306,97
claude-sonnet-4.5,good_persona,respect-user-attention,0.7182130584192439,0.6460481099656361,0.788659793814433,0.03628737166981099,97
claude-sonnet-4.5,bad_persona,respect-user-attention,0.7027491408934707,0.6168384879725087,0.7835481099656357,0.04312027385921166,97
deepseek-v3.1-terminus,baseline,respect-user-attention,-0.022336769759450183,-0.13406357388316148,0.08591065292096217,0.058108405149384375,97
deepseek-v3.1-terminus,good_persona,respect-user-attention,0.5601374570446735,0.4845360824742272,0.639175257731959,0.039036123012547184,97
deepseek-v3.1-terminus,bad_persona,respect-user-attention,-0.7989690721649485,-0.8333762886597937,-0.7628865979381445,0.01831215221241177,97
gemini-2.0-flash-001,baseline,respect-user-attention,-0.0429553264604811,-0.1460910652920962,0.06361683848797246,0.05519992752813156,97
gemini-2.0-flash-001,good_persona,respect-user-attention,0.6168384879725086,0.5395189003436429,0.6856099656357392,0.03720415131041462,97
gemini-2.0-flash-001,bad_persona,respect-user-attention,-0.9398625429553266,-0.9587628865979377,-0.9209621993127146,0.009379198234277653,97
gemini-2.5-flash,baseline,respect-user-attention,-0.1202749140893471,-0.22852233676975928,-0.022336769759450183,0.052447220950467485,97
gemini-2.5-flash,good_persona,respect-user-attention,0.4604810996563574,0.3728092783505153,0.5463917525773198,0.04430615250628306,97
gemini-2.5-flash,bad_persona,respect-user-attention,-0.8969072164948455,-0.9175257731958762,-0.8762886597938141,0.010777463852440178,97
gemini-2.5-pro,baseline,respect-user-attention,-0.003436426116838493,-0.12027491408934707,0.11000859106529205,0.05793715065202271,97
gemini-2.5-pro,good_persona,respect-user-attention,0.7766323024054982,0.7250429553264606,0.826503436426117,0.025531466582027096,97
gemini-2.5-pro,bad_persona,respect-user-attention,-0.9175257731958762,-0.945017182130584,-0.8831615120274915,0.015833687135834836,97
gemini-3-pro-preview,baseline,respect-user-attention,0.14432989690721648,0.015420962199312717,0.26288659793814423,0.06372233816348466,97
gemini-3-pro-preview,good_persona,respect-user-attention,0.790378006872852,0.7353092783505154,0.8487972508591065,0.028999124728809385,97
gemini-3-pro-preview,bad_persona,respect-user-attention,-0.6460481099656358,-0.7766752577319587,-0.5171391752577319,0.0660684267842471,97
gpt-4.1,baseline,respect-user-attention,-0.20962199312714774,-0.31451890034364277,-0.11164089347079036,0.052721621678160684,97
gpt-4.1,good_persona,respect-user-attention,0.6597938144329897,0.5962199312714779,0.7199312714776634,0.031821405880202235,97
gpt-4.1,bad_persona,respect-user-attention,-0.9467353951890035,-0.9639175257731956,-0.9312714776632297,0.008920537649325324,97
gpt-4o-2024-11-20,baseline,respect-user-attention,0.027491408934707893,-0.08251718213058419,0.14265463917525778,0.05803888100177758,97
gpt-4o-2024-11-20,good_persona,respect-user-attention,0.627147766323024,0.5584192439862544,0.6873711340206189,0.03357836910545906,97
gpt-4o-2024-11-20,bad_persona,respect-user-attention,-0.8900343642611684,-0.915807560137457,-0.8659793814432987,0.012952188525774516,97
gpt-5,baseline,respect-user-attention,0.3556701030927835,0.2646048109965636,0.4501718213058418,0.047780466420055595,97
gpt-5,good_persona,respect-user-attention,0.816151202749141,0.7662800687285223,0.8625429553264605,0.02510876210079131,97
gpt-5,bad_persona,respect-user-attention,0.3144329896907216,0.2130154639175256,0.4192439862542955,0.05268326837539869,97
gpt-5.1,baseline,respect-user-attention,0.27491408934707906,0.18036941580756,0.36941580756013725,0.04829961736507507,97
gpt-5.1,good_persona,respect-user-attention,0.6649484536082474,0.6048109965635742,0.7268041237113404,0.03176052014566188,97
gpt-5.1,bad_persona,respect-user-attention,0.10309278350515463,-0.001761168384879728,0.21481958762886597,0.05431683604166805,97
