model,table1_baseline,recon_baseline,table1_good,recon_good,table1_bad,recon_bad
claude-opus-4.1,0.681,0.6813378197785414,0.842,0.8422421493850065,0.662,0.6621338813303099
claude-sonnet-4,0.691,0.69088529856387,0.845,0.8445124716553287,0.5,0.5004340599876314
claude-sonnet-4.5,0.755,0.7548899281934996,0.889,0.8894331065759638,0.771,0.7712348828420257
deepseek-v3.1-terminus,0.751,0.7512859032501891,0.841,0.8409783538272124,-0.356,-0.35599489795918365
gemini-2.0-flash-001,0.749,0.748989984882842,0.82,0.8202695105820106,-0.706,-0.7061725245653817
gemini-2.5-flash,0.72,0.7203722600151172,0.768,0.7680126598892707,-0.681,-0.6809065570672714
gemini-2.5-pro,0.765,0.7625396825396826,0.904,0.9037661478732907,-0.722,-0.7210699254449255
gemini-3-pro-preview,0.785,0.7826686507936508,0.93,0.9280787037037037,-0.451,-0.4509382086167801
gpt-4.1,0.668,0.6676554232804233,0.821,0.8210312736205593,-0.608,-0.6078905354276541
gpt-4o-2024-11-20,0.681,0.6812141396962825,0.774,0.7738964474678761,-0.609,-0.609150604686319
gpt-5,0.862,0.8618570483749055,0.939,0.9391558012093726,0.829,0.8279851662887378
gpt-5.1,0.865,0.8647921390778534,0.917,0.9172761200439772,0.825,0.8254468580361438
grok-4,0.687,0.6870148337112623,0.893,0.8929885634028892,-0.726,-0.7264066687280972
llama-3.1-405b-instruct,0.558,0.5575891568748712,0.683,0.6721400226757369,-0.487,-0.48669479660551085
llama-4-maverick,0.592,0.5918683831441562,0.654,0.6540896636432351,-0.139,-0.13883271490414348
