Model,HELM Score,Baseline HS,Good HS,Bad HS
OpenAI GPT 5 (2025-08-07),0.807,0.862,0.939,0.829
Google Gemini 3 Pro (Preview),0.799,0.785,0.93,-0.451
Grok 4 (0709),0.785,0.687,0.893,-0.726
Anthropic CLAUDE 4 SONNET (2025-05-14),0.762,0.691,0.845,0.5
Anthropic CLAUDE 4 5 SONNET (2025-09-29),0.752,0.755,0.889,0.771
Google Gemini 2 5 Pro,0.745,0.765,0.904,-0.722
OpenAI GPT 4 1 (2025-04-14),0.727,0.668,0.821,-0.608
Meta Llama 4 Maverick (17Bx128E) Instruct FP8,0.718,0.592,0.654,-0.139
Google Gemini 2.0 Flash 001,0.679,0.749,0.82,-0.706
OpenAI GPT 4O (2024-11-20),0.634,0.681,0.774,-0.609
