helm_model,eval_model,helm_score,s_baseline,s_bad,delta_bad
OpenAI GPT 5 (2025-08-07),gpt-5,0.806750930922304,0.8618570483749055,0.8279851662887376,-0.0338718820861678
Google Gemini 3 Pro (Preview),gemini-3-pro-preview,0.799,0.7826686507936507,-0.4509382086167801,-1.2336068594104308
Grok 4 (0709),grok-4,0.785,0.6870148337112622,-0.7264066687280971,-1.4134215024393593
Anthropic CLAUDE 4 SONNET (2025-05-14),claude-sonnet-4,0.762,0.6908852985638698,0.5004340599876316,-0.1904512385762382
Anthropic CLAUDE 4 5 SONNET (2025-09-29),claude-sonnet-4.5,0.7524,0.7548899281934996,0.7712348828420257,0.016344954648526
Google Gemini 2 5 Pro,gemini-2.5-pro,0.745,0.7625396825396824,-0.7210699254449253,-1.4836096079846075
OpenAI GPT 4 1 (2025-04-14),gpt-4.1,0.727,0.6676554232804233,-0.607890535427654,-1.2755459587080773
Meta Llama 4 Maverick (17Bx128E) Instruct FP8,llama-4-maverick,0.718,0.5918683831441562,-0.1388327149041434,-0.7307010980482997
Google Gemini 2.0 Flash 001,gemini-2.0-flash-001,0.6786117276224539,0.748989984882842,-0.7061725245653814,-1.4551625094482232
OpenAI GPT 5.1,gpt-5.1,0.656,0.8647921390778534,0.8254468580361437,-0.0393452810417096
OpenAI GPT 4O (2024-11-20),gpt-4o-2024-11-20,0.6343356348283181,0.6812141396962825,-0.6091506046863188,-1.2903647443826012
Google Gemini 2.5 Flash,gemini-2.5-flash,0.626,0.720372260015117,-0.6809065570672712,-1.4012788170823882
Meta Llama 3.1 405B Instruct Turbo,llama-3.1-405b-instruct,0.6177036312831163,0.5575891568748711,-0.4866947966055108,-1.0442839534803818
