name,point_estimate,ci_lower,ci_upper,p_value_perm,n
spearman_rho,0.616231669626417,0.03953154425612054,0.8941573611939323,0.0268,13
pearson_r,0.6632780088045076,0.343736511352818,0.8887833245476445,0.0109,13
spearman_rho_loo_min,0.5253948512537597,,,,13
spearman_rho_loo_median,0.6199659244794364,,,,13
spearman_rho_loo_max,0.7145369977051133,,,,13
pearson_r_loo_min,0.6044709469017355,,,,13
pearson_r_loo_median,0.6662227655782786,,,,13
pearson_r_loo_max,0.7391073488790154,,,,13
spearman_rho_partial,0.5872515624817344,-0.11765474592931588,0.8927680130915275,0.0464,13
spearman_rho_partial_loo_min,0.45295366566289785,,,,13
spearman_rho_partial_loo_median,0.6048895808708978,,,,13
spearman_rho_partial_loo_max,0.6967728210921043,,,,13
