model,n_items,alpha_ord,alpha_bin,sign_disagreement_rate,kappa_unweighted__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_quadratic__claude-4.5-sonnet__vs__gemini-2.5-pro,kappa_unweighted__claude-4.5-sonnet__vs__gpt-5.1,kappa_quadratic__claude-4.5-sonnet__vs__gpt-5.1,kappa_unweighted__gemini-2.5-pro__vs__gpt-5.1,kappa_quadratic__gemini-2.5-pro__vs__gpt-5.1
claude-opus-4.1,2360,0.40541246113082086,0.5571937275838553,0.13432203389830508,0.30598011088090893,0.616811417905486,0.32356206415804856,0.5619994850369401,0.20624435650524497,0.49288553984706196
claude-sonnet-4,2362,0.4155086552569195,0.5049199541980757,0.18289585097375105,0.2889163247844079,0.5687809209723402,0.337650921092563,0.5381061928127958,0.19127224144581267,0.461444471687663
claude-sonnet-4.5,2364,0.2512217617538949,0.3454452547324929,0.14213197969543148,0.18530199600121622,0.3397384143387696,0.2640852067852061,0.38192552225249776,0.138625010481929,0.3216277361539591
deepseek-v3.1-terminus,2360,0.6872452157849497,0.6731080113160268,0.21228813559322035,0.5090073496107786,0.7712354298959911,0.42679257582135,0.7162698175965808,0.34084559983665275,0.6884075169900228
gemini-2.0-flash-001,2360,0.8064875320501056,0.8516987596307093,0.10466101694915254,0.55279182298373,0.872455186566194,0.5362146447369243,0.830377901544852,0.39522230705450434,0.8002143346046733
gemini-2.5-flash,2358,0.7919507146190112,0.8311769744657272,0.12086513994910941,0.5351706303283794,0.8464180764969863,0.5328248935568247,0.819974742970351,0.38004758338608025,0.776037273625098
gemini-2.5-pro,2362,0.8168474212689609,0.8332616577224609,0.11600338696020322,0.6495777591815892,0.8875878232294991,0.5267181740802072,0.828374326662481,0.4120582822355173,0.8045739636009608
gemini-3-pro-preview,2364,0.8199226028004769,0.8789883005527185,0.07402707275803723,0.7497822748517704,0.9268406807238376,0.5795767312268696,0.8912620168350684,0.5440109003238263,0.8728875302076524
gpt-4.1,2363,0.7432167113086783,0.7867102941788233,0.1493863732543377,0.49382650937525097,0.829155921642771,0.45408741112685336,0.7716162562793936,0.33230410731437654,0.7357619615077333
gpt-4o-2024-11-20,2362,0.7399674196428191,0.7882263932384997,0.14944961896697714,0.4647724865477715,0.8125396108393999,0.47757012873857574,0.7602664055549289,0.3328180641510132,0.7252167298678927
gpt-5,2362,0.28965070775627866,0.36253646510448045,0.09610499576629974,0.18889670054577734,0.36924597333781906,0.3090639905915503,0.5335523931885989,0.10260936763844042,0.2792887646144824
gpt-5.1,2362,0.40309846718126585,0.4306389193802411,0.09695173581710415,0.25496837318486787,0.4382376972436022,0.3806192059758492,0.6001814018904574,0.20858964860740437,0.4190920182689998
grok-4,2360,0.8474659080244618,0.879203953535152,0.08601694915254238,0.6338714409109122,0.9045605009094173,0.5731251093594515,0.8630239746373142,0.46273029615161276,0.8363953462916521
llama-3.1-405b-instruct,2358,0.6872038359350385,0.6849798616217662,0.226039016115352,0.4298887427720417,0.7454480505551933,0.4685578258282087,0.7260891153466631,0.33612320645749005,0.6555201466603906
llama-4-maverick,2359,0.5926469539561436,0.5929674478974616,0.2645188639253921,0.3729630483214259,0.67011885212872,0.3871417933160223,0.6385688375269398,0.28366325676751525,0.5873486653117068
