principle_a,principle_b,n_models,pearson_r,pearson_p,pearson_ci_lower,pearson_ci_upper,ci_width,spearman_rho,spearman_p,persona
respect-user-attention,enable-meaningful-choices,15,0.37821804853085705,0.1645171073054882,-0.1430112546054679,0.7470816224068848,0.8900928770123527,0.3285714285714285,0.23180969720615968,baseline
respect-user-attention,enhance-human-capabilities,15,0.3161226998962098,0.2510244538607393,-0.011059289538338186,0.631102951486728,0.6421622410250662,0.3074174596627434,0.2650235606897624,baseline
respect-user-attention,protect-dignity-and-safety,15,0.19094619804922805,0.4954359402103553,-0.341232409348522,0.6311645201079622,0.9723969294564843,0.23771233799502833,0.3935967795858245,baseline
respect-user-attention,foster-healthy-relationships,15,0.49814778983799024,0.058780379939570644,0.04915833507896064,0.780374610879696,0.7312162758007353,0.4486150138101662,0.09348820539341617,baseline
respect-user-attention,prioritize-long-term-wellbeing,15,0.3277444793756608,0.23305676462423258,0.01963130257137859,0.6554559028305453,0.6358246002591668,0.5379805544098011,0.03858106757493061,baseline
respect-user-attention,be-transparent-and-honest,15,0.6572242945541547,0.007760000283958862,0.2156145145936787,0.8805142254244563,0.6648997108307777,0.7464285714285712,0.001391411089063054,baseline
respect-user-attention,design-for-equity-and-inclusion,15,0.5850166125000875,0.021972443820857643,0.17577097701275637,0.8356649396191921,0.6598939626064357,0.6916892842411727,0.004281320498599921,baseline
enable-meaningful-choices,enhance-human-capabilities,15,0.8079765925855592,0.0002681771889271464,0.5559565354647565,0.9454949342091574,0.3895383987444009,0.7560324734729097,0.0011103912076250145,baseline
enable-meaningful-choices,protect-dignity-and-safety,15,0.9629028264380227,9.02300125012274e-09,0.8630032699412512,0.9868533388399456,0.12385006889869443,0.9276143114242085,6.383232035945118e-07,baseline
enable-meaningful-choices,foster-healthy-relationships,15,0.6642203230993411,0.0069181967980094725,0.40804503886077265,0.9014440434352402,0.49339900457446756,0.7721182707808439,0.0007434940632609764,baseline
enable-meaningful-choices,prioritize-long-term-wellbeing,15,0.9535256738951786,3.816375022703691e-08,0.8250144321359086,0.987682642986325,0.16266821085041638,0.9383381762961647,2.311039756125261e-07,baseline
enable-meaningful-choices,be-transparent-and-honest,15,0.837140162432902,9.905247417884185e-05,0.6157751714760556,0.9391730283794166,0.323397856903361,0.7392857142857142,0.0016355111435407642,baseline
enable-meaningful-choices,design-for-equity-and-inclusion,15,0.8453696627056821,7.220658942667258e-05,0.5050173419454729,0.9673272811079429,0.46230993916247,0.5361932435978083,0.03935706264230484,baseline
enhance-human-capabilities,protect-dignity-and-safety,15,0.7703365826322546,0.0007784603410246483,0.47777668524964223,0.9550140020808828,0.4772373168312406,0.6949910554561717,0.004027777411801253,baseline
enhance-human-capabilities,foster-healthy-relationships,15,0.7233361638780518,0.0023058133431650006,0.47335015082812654,0.919945602317704,0.4465954514895774,0.6815742397137745,0.005137806947637467,baseline
enhance-human-capabilities,prioritize-long-term-wellbeing,15,0.8364411871967339,0.00010166741507211896,0.6602274115235088,0.9733070521975893,0.31307964067408045,0.7942754919499104,0.0004051296827197236,baseline
enhance-human-capabilities,be-transparent-and-honest,15,0.637302126808535,0.010603321682959242,0.3666543247678294,0.8466295763378122,0.47997525156998283,0.5969618112055598,0.018798204867673713,baseline
enhance-human-capabilities,design-for-equity-and-inclusion,15,0.6738272601901212,0.00588117371498544,0.27479258258825984,0.8730331581921007,0.5982405756038409,0.5161001788908766,0.04890054519725494,baseline
protect-dignity-and-safety,foster-healthy-relationships,15,0.5795722601560235,0.023547924917701475,0.31528091411739995,0.8587206705412946,0.5434397564238946,0.648479427549195,0.008923028777055095,baseline
protect-dignity-and-safety,prioritize-long-term-wellbeing,15,0.9497427144734187,6.288792919952288e-08,0.7471391772611148,0.9877511853604075,0.24061200809929273,0.8568872987477639,4.495054628980466e-05,baseline
protect-dignity-and-safety,be-transparent-and-honest,15,0.7749721623153523,0.0006901499681730985,0.4844320833917045,0.8978731968142294,0.4134411134225249,0.6881146626171873,0.00456993346189079,baseline
protect-dignity-and-safety,design-for-equity-and-inclusion,15,0.7687566525098983,0.0008105724410425784,0.3383804960131227,0.9086404072925758,0.5702599112794531,0.4982110912343471,0.058743175141663106,baseline
foster-healthy-relationships,prioritize-long-term-wellbeing,15,0.6440386174397428,0.009563613442047545,0.4386468136912469,0.9118099108371277,0.4731630971458808,0.81216457960644,0.00023488669290419768,baseline
foster-healthy-relationships,be-transparent-and-honest,15,0.6994851273291105,0.003702009034850557,0.3594464443368524,0.9143055261946021,0.5548590818577497,0.7149243247970778,0.0027390115525208793,baseline
foster-healthy-relationships,design-for-equity-and-inclusion,15,0.6218383863002903,0.013323226746157454,0.17814883694560735,0.8540133164064144,0.6758644794608071,0.5688729874776386,0.026893007724265887,baseline
prioritize-long-term-wellbeing,be-transparent-and-honest,15,0.7968558995845885,0.00037572193717344906,0.6593174627348284,0.9163330724141163,0.25701560967928794,0.8668457438164567,2.8842770040918602e-05,baseline
prioritize-long-term-wellbeing,design-for-equity-and-inclusion,15,0.7954726546423747,0.00039126108858787917,0.391646175007965,0.9288333475805489,0.5371871725725839,0.6762075134168157,0.005644286430120826,baseline
be-transparent-and-honest,design-for-equity-and-inclusion,15,0.8034875359873289,0.0003080522683251421,0.47561567061060683,0.9600226456605304,0.4844069750499236,0.7470959194129462,0.0013701974632456442,baseline
respect-user-attention,enable-meaningful-choices,15,0.8760988671837013,1.848453011775032e-05,0.644653662413242,0.9544253942023074,0.3097717317890655,0.8220035778175313,0.0001698057271803174,good_persona
respect-user-attention,enhance-human-capabilities,15,0.7419307656331879,0.0015413986009991283,0.3919681612482441,0.913719558627564,0.52175139737932,0.7596070950968951,0.0010183491556960231,good_persona
respect-user-attention,protect-dignity-and-safety,15,0.8531269803539105,5.270132425158717e-05,0.5319367355541577,0.9526827278339298,0.42074599227977216,0.8471853248845371,6.717919780147615e-05,good_persona
