judge,family,is_own_family,relative_generosity,ci_lower,ci_upper
claude-4.5-sonnet,anthropic,True,-0.09638724244990121,-0.11500404108747003,-0.07848795200115112
claude-4.5-sonnet,openai,False,-0.062440469890993756,-0.07707914240338803,-0.04834514277083541
claude-4.5-sonnet,google,False,-0.05569673867005506,-0.06762180688689245,-0.044594436387029035
claude-4.5-sonnet,independent,False,-0.11001907385821766,-0.12283354301068204,-0.09781796991087104
gpt-5.1,anthropic,False,-0.06749223821620096,-0.08521658195479598,-0.04935559036093311
gpt-5.1,openai,True,-0.03950153455392105,-0.05337551203496037,-0.02623803337627272
gpt-5.1,google,False,-0.008047437526471834,-0.021541401090871576,0.004422518860375662
gpt-5.1,independent,False,-0.0027286213839143795,-0.01708811759109002,0.011864469634115244
gemini-2.5-pro,anthropic,False,0.16387948066610217,0.15110901326933937,0.17842194620234897
gemini-2.5-pro,openai,False,0.1019420044449148,0.08946248034649493,0.11529366968609986
gemini-2.5-pro,google,True,0.06374417619652689,0.05276840148327053,0.0748431871796035
gemini-2.5-pro,independent,False,0.11274769524213203,0.10120799701310496,0.1257464885062269
