model,config,s_baseline,s_baseline_ci_lower,s_baseline_ci_upper,s_good_persona,s_good_persona_ci_lower,s_good_persona_ci_upper,s_bad_persona,s_bad_persona_ci_lower,s_bad_persona_ci_upper,delta_bad,delta_bad_ci_lower,delta_bad_ci_upper,delta_good,delta_good_ci_lower,delta_good_ci_upper,flipped,robust_strict
claude-opus-4.1,ensemble3,0.6813378197785414,0.656696419196258,0.7061294852276534,0.8422421493850065,0.8253884305349235,0.857718901386312,0.66213388133031,0.6290270101095996,0.698683767951625,-0.019203938448231317,-0.058172229308389965,0.02162920445956174,0.16090432960646517,0.1350004085489914,0.18708086774098373,False,True
claude-sonnet-4,ensemble3,0.6908852985638698,0.6651659344293273,0.7174371929327286,0.8445124716553287,0.8280694798752836,0.8611968333419224,0.5004340599876316,0.46581459626376337,0.5351354875283447,-0.19045123857623825,-0.2318392803459767,-0.1480298273981309,0.1536271730914589,0.12616407484711054,0.17802806270077498,False,False
claude-sonnet-4.5,ensemble3,0.7548899281934996,0.7316182681405895,0.7767523856764926,0.8894331065759636,0.8743762164588056,0.9039254889455782,0.7712348828420257,0.7465118339002268,0.792686118197279,0.016344954648526033,-0.015592675264550259,0.043580770502645465,0.134543178382464,0.11170924272486778,0.15626867205215392,False,True
deepseek-v3.1-terminus,ensemble3,0.7512859032501888,0.7294789304610733,0.7726119378306877,0.8409783538272124,0.8233403250188964,0.8577671958889512,-0.3559948979591837,-0.3820577919930599,-0.329525498393802,-1.1072808012093724,-1.1390132726070226,-1.0739991883116882,0.08969245057702357,0.06521074705924035,0.11395842043414596,True,False
gemini-2.0-flash-001,ensemble3,0.748989984882842,0.7268893494897959,0.7726282714474679,0.8202695105820105,0.8012144523013883,0.8395944940476189,-0.7061725245653814,-0.7220453987150413,-0.6903658116024185,-1.4551625094482232,-1.4830285336356763,-1.4262626960506424,0.07127952569916851,0.047088778233185524,0.09648654513888878,True,False
gemini-2.5-flash,ensemble3,0.720372260015117,0.6956834726946333,0.7436447704081631,0.7680126598892707,0.7451147004842238,0.7895635650606451,-0.6809065570672712,-0.6964129818594103,-0.6656696192365834,-1.4012788170823882,-1.4266483961640208,-1.3742006920823882,0.047640399874153694,0.020648749896839968,0.07276268132732817,True,False
gemini-2.5-pro,ensemble3,0.7625396825396824,0.7397499173280423,0.7853526077097505,0.9037661478732906,0.8890547996976567,0.9184706085085549,-0.7210699254449253,-0.7388474466175358,-0.7034743296985564,-1.4836096079846077,-1.5120449458981824,-1.4576525866659793,0.14122646533360816,0.1189348040352507,0.16303180078849724,True,False
gemini-3-pro-preview,ensemble3,0.7826686507936507,0.7574009826152683,0.8076048516628872,0.9280787037037037,0.9152861040249431,0.9400526974678759,-0.45093820861678013,-0.5045042398904006,-0.39478084845049133,-1.2336068594104308,-1.2933947231670446,-1.1729682421579744,0.14541005291005304,0.12148474111866961,0.16890426587301582,True,False
gpt-4.1,ensemble3,0.6676554232804233,0.6443813303099017,0.6913601308578987,0.8210312736205593,0.8036134731670446,0.8382220450680272,-0.607890535427654,-0.629612315759637,-0.5863604251859919,-1.2755459587080773,-1.308818649970912,-1.2430910185079025,0.153375850340136,0.12934013605442177,0.17764688444822382,True,False
gpt-4o-2024-11-20,ensemble3,0.6812141396962825,0.6570221249484641,0.7071672689909297,0.773896447467876,0.7553679965041573,0.7933480017006804,-0.6091506046863188,-0.6250612599206347,-0.5930397061602418,-1.2903647443826012,-1.3204758820696088,-1.2613941551999583,0.09268230777159348,0.06699613374390163,0.11970306809592537,True,False
gpt-5,ensemble3,0.8618570483749055,0.8426750755857899,0.8777047902494332,0.9391558012093726,0.9291851025132274,0.9481920823885108,0.8279851662887376,0.8078339292156257,0.8461286622603585,-0.03387188208616787,-0.05066107302157563,-0.01625365972563133,0.07729875283446708,0.06062409060846543,0.09377646683673473,False,True
gpt-5.1,ensemble3,0.8647921390778534,0.8496065995842781,0.8800221442743763,0.9172761200439772,0.9036352405861334,0.9289269534202569,0.8254468580361437,0.8052485000944821,0.8450117039871504,-0.039345281041709645,-0.0563020586391121,-0.022189673091458823,0.05248398096612383,0.03764147534013608,0.06637362160643166,False,True
grok-4,ensemble3,0.6870148337112622,0.6653954435941042,0.7080298445767195,0.8929885634028891,0.8770072243082626,0.9086883947945594,-0.7264066687280971,-0.7400668322969695,-0.7116680271815522,-1.4134215024393593,-1.435969817219817,-1.3903758560626425,0.20597372969162697,0.18430547610458317,0.22762214947620746,True,False
llama-3.1-405b-instruct,ensemble3,0.5575891568748711,0.5287768929808464,0.5855933974293923,0.6721400226757369,0.6477041678244504,0.6966855548347632,-0.48669479660551085,-0.5117408298546692,-0.4621115885142717,-1.0442839534803818,-1.0794578429576818,-1.0071600368051261,0.11455086580086582,0.08193337353631631,0.1466267438522346,True,False
llama-4-maverick,ensemble3,0.5918683831441562,0.5667519936668012,0.6175868055555556,0.6540896636432351,0.6269864815244282,0.6789886713185221,-0.13883271490414345,-0.17117183713405187,-0.10765697042705975,-0.7307010980482997,-0.7685836780534808,-0.6940789684886242,0.062221280499078824,0.033265624999999986,0.09230259870963353,True,False
claude-opus-4.1,drop_claude,0.7041269329896906,0.6788723596719616,0.7302697996294738,0.857203282828283,0.839271613492515,0.8738894863816739,0.6813810941043085,0.6487953869047618,0.7181137507086167,-0.022745838885382175,-0.06200782966751997,0.02084790399192325,0.1530763498385923,0.12428953175730516,0.17946615388579665,False,True
claude-sonnet-4,drop_claude,0.7112932256235828,0.6850945294784581,0.739905966553288,0.8593046536796537,0.8413800344001237,0.8758389491213152,0.583009366625438,0.548279372165533,0.6178700509559885,-0.12828385899814476,-0.17073407383786846,-0.08673824662440724,0.14801142805607093,0.11847560103586889,0.1739829400510205,False,True
claude-sonnet-4.5,drop_claude,0.78265731292517,0.7573156001984127,0.8055690192743764,0.8953500566893424,0.8805878507653061,0.9099478635204081,0.8438024376417234,0.8202949971655329,0.8653877728174603,0.06114512471655331,0.03001489866780044,0.08856094104308397,0.11269274376417238,0.08869315121882092,0.13522130102040825,False,True
deepseek-v3.1-terminus,drop_claude,0.7881838151927438,0.7636040426587302,0.8124911600056689,0.8532933658858732,0.8364189076921381,0.869789032137232,-0.24422954030096888,-0.2770840548340548,-0.20827075602968462,-1.0324133554937127,-1.0707400190961265,-0.9900285395408164,0.0651095506931294,0.03913712173013533,0.09072227151730261,True,False
gemini-2.0-flash-001,drop_claude,0.7790490362811792,0.7551770833333333,0.8040562287414966,0.8277686543367346,0.8076133543261055,0.8479776206190335,-0.6945507369614512,-0.7147907454648526,-0.6744526821145125,-1.4735997732426305,-1.5056559134070295,-1.440737988945578,0.04871961805555547,0.021471692220702714,0.07452574279313,True,False
gemini-2.5-flash,drop_claude,0.7577494331065759,0.7310480442176871,0.7827978493480726,0.7821179416588566,0.758685385526222,0.8046350446640479,-0.6633425453514739,-0.6838433071145125,-0.6445138711734695,-1.4210919784580498,-1.4501160891439908,-1.3898033942743766,0.024368508552280677,-0.004016669085114513,0.05273964682112918,True,False
gemini-2.5-pro,drop_claude,0.800531462585034,0.7758375673185942,0.8252533836451247,0.8943281668728098,0.8785186913780664,0.9104231682256235,-0.6769584235209236,-0.6998161236085344,-0.6544885300711193,-1.4774898861059578,-1.5106795777374524,-1.4454112495503901,0.09379670428777576,0.07080184498041636,0.11589351261337871,True,False
gemini-3-pro-preview,drop_claude,0.803359552154195,0.7790042339852608,0.8287019380668934,0.9260423752834467,0.9134108737244897,0.9379843218537415,-0.4430342970521542,-0.49598522534013606,-0.3863852572278912,-1.246393849206349,-1.3057954046201814,-1.1857762719671203,0.12268282312925172,0.09894460388321998,0.14715733064058958,True,False
gpt-4.1,drop_claude,0.6946960034013605,0.6694533553004536,0.7208637152777778,0.8305860260770974,0.8114519026360545,0.848540267148526,-0.5658459212336621,-0.5931512890853907,-0.5382713397156617,-1.2605419246350227,-1.2993992448268938,-1.2221102849283654,0.1358900226757369,0.10792352253401363,0.16291138747165537,True,False
gpt-4o-2024-11-20,drop_claude,0.7247095315398887,0.697693449159967,0.7515559952034547,0.7783645124716554,0.7585952735260771,0.7997229662698412,-0.5854251700680273,-0.6068544501133788,-0.5656469494047619,-1.310134701607916,-1.3449020111832612,-1.2782094027004742,0.05365498093176668,0.02531347756905786,0.08206221836509227,True,False
