model,config,family,s_baseline,s_bad,s_bad_ci_lower,s_bad_ci_upper,bad_delta_marginal,bad_delta_paired,bad_delta_paired_ci_lower,bad_delta_paired_ci_upper,status_rule,status_strict
claude-opus-4.1,ensemble3,anthropic,0.6813378197785414,0.6621338813303099,0.6296492346938776,0.6962249858276645,-0.019203938448231428,-0.022198705265715657,-0.05866470438925336,0.01872304661737651,Robust,Robust
claude-sonnet-4,ensemble3,anthropic,0.69088529856387,0.5004340599876314,0.46550025016319657,0.5339347353208961,-0.1904512385762387,-0.191183561808562,-0.23312416791211432,-0.15275427317391604,Moderate,No
claude-sonnet-4.5,ensemble3,anthropic,0.7548899281934996,0.7712348828420257,0.7477392290249433,0.7939313114134543,0.016344954648526033,0.016344954648526033,-0.012661186696900981,0.044224489795918365,Robust,Robust
deepseek-v3.1-terminus,ensemble3,independent,0.7512859032501891,-0.35599489795918365,-0.3844650716347145,-0.32892716600529104,-1.1072808012093727,-1.106011905204652,-1.1405081502994567,-1.0713479520908644,Failed,No
gemini-2.0-flash-001,ensemble3,google,0.748989984882842,-0.7061725245653817,-0.7217958356953892,-0.6899831939720332,-1.4551625094482237,-1.4556486205593349,-1.4833417171556125,-1.4287429743598827,Failed,No
gemini-2.5-flash,ensemble3,google,0.7203722600151172,-0.6809065570672714,-0.6943899045729403,-0.6653257983749054,-1.4012788170823887,-1.3997796505649276,-1.4257052592071922,-1.3706354647337855,Failed,No
gemini-2.5-pro,ensemble3,google,0.7625396825396826,-0.7210699254449255,-0.7395538280337388,-0.7028661390692641,-1.4836096079846082,-1.4830645743145743,-1.51199179722394,-1.4552572847952312,Failed,No
gemini-3-pro-preview,ensemble3,google,0.7826686507936508,-0.4509382086167801,-0.5085051374716554,-0.39578567885487526,-1.2336068594104308,-1.2336068594104308,-1.290562263794407,-1.1746329837490552,Failed,No
gpt-4.1,ensemble3,openai,0.6676554232804233,-0.6078905354276541,-0.6296443129920507,-0.584246678657418,-1.2755459587080775,-1.275285867155851,-1.3062921228884814,-1.2430612794275013,Failed,No
gpt-4o-2024-11-20,ensemble3,openai,0.6812141396962825,-0.609150604686319,-0.6241414635298563,-0.5927757227891156,-1.2903647443826016,-1.2905899127327698,-1.319950537475091,-1.2603505698996769,Failed,No
gpt-5,ensemble3,openai,0.8618570483749055,0.8279851662887378,0.8081817365835222,0.8472699593726379,-0.03387188208616776,-0.03378259637188197,-0.0522687429138322,-0.016232272770219196,Robust,Robust
gpt-5.1,ensemble3,openai,0.8647921390778534,0.8254468580361438,0.8057350578488971,0.8430895670136743,-0.039345281041709534,-0.03928635848278694,-0.056184212447605304,-0.023848391439909303,Robust,Robust
grok-4,ensemble3,independent,0.6870148337112623,-0.7264066687280972,-0.7393523049371264,-0.7121033184738542,-1.4134215024393595,-1.4132037102663106,-1.439157159886143,-1.3878534724176528,Failed,No
llama-3.1-405b-instruct,ensemble3,independent,0.5575891568748712,-0.48669479660551085,-0.511780383554937,-0.46186125820277607,-1.044283953480382,-1.0431063883554486,-1.0806893740483965,-1.0053764009025992,Failed,No
llama-4-maverick,ensemble3,independent,0.5918683831441562,-0.13883271490414348,-0.17081549659005016,-0.10436034881124163,-0.7307010980482997,-0.730957318025617,-0.768961220343469,-0.6968868387483079,Failed,No
claude-opus-4.1,claude_only,anthropic,0.6357595933562428,0.623639455782313,0.5855748299319727,0.6613460175736962,-0.012120137573929823,-0.014210207747578862,-0.0562249036759346,0.030066889904196613,Robust,Robust
claude-sonnet-4,claude_only,anthropic,0.6500694444444444,0.33528344671201815,0.29095442627808693,0.38003957946815087,-0.3147859977324262,-0.31537311894454756,-0.36412034889713457,-0.2664718453669347,Moderate,No
claude-sonnet-4.5,claude_only,anthropic,0.6993551587301587,0.6260997732426303,0.5882420280612245,0.6658242630385487,-0.07325538548752841,-0.07325538548752841,-0.11558280187074829,-0.02603741496598643,Robust,Robust
deepseek-v3.1-terminus,claude_only,independent,0.6774900793650793,-0.5795256132756132,-0.6024629554473304,-0.555695591115234,-1.2570156926406926,-1.2565909555793575,-1.289876640975822,-1.2218582339410304,Failed,No
gemini-2.0-flash-001,claude_only,google,0.6888718820861679,-0.7294160997732426,-0.7449412556689342,-0.7146650722789116,-1.4182879818594105,-1.4189911068594103,-1.4510479334963153,-1.3891855778769842,Failed,No
gemini-2.5-flash,claude_only,google,0.6456179138321996,-0.7160345804988661,-0.7293976757369615,-0.7020227111678005,-1.3616524943310657,-1.3606941027543475,-1.391800580303681,-1.3304726473009738,Failed,No
gemini-2.5-pro,claude_only,google,0.6865561224489796,-0.8092929292929293,-0.8247809343434344,-0.7929453914141416,-1.4958490517419087,-1.4952493042671615,-1.5276066146155434,-1.4631963738146776,Failed,No
gemini-3-pro-preview,claude_only,google,0.7412868480725623,-0.46674603174603174,-0.5231339994331067,-0.4094113520408164,-1.208032879818594,-1.208032879818594,-1.2678509424603175,-1.1423658588435375,Failed,No
gpt-4.1,claude_only,openai,0.6135742630385488,-0.6919797638156386,-0.709202354677826,-0.6722467359837193,-1.3055540268541874,-1.305382366429718,-1.3369995593040584,-1.2712992110467782,Failed,No
gpt-4o-2024-11-20,claude_only,openai,0.5942233560090703,-0.6566014739229025,-0.6693992346938776,-0.6434750566893425,-1.2508248299319726,-1.250831143063286,-1.28233848368893,-1.2173236252834467,Failed,No
gpt-5,claude_only,openai,0.8377494331065759,0.7940844671201814,0.7695957341269841,0.8175546697845806,-0.043664965986394466,-0.043511904761904696,-0.06545553429705216,-0.0213373724489796,Robust,Robust
gpt-5.1,claude_only,openai,0.8291836734693878,0.7812206246134819,0.7555032370902907,0.803943049757782,-0.047963048855905965,-0.0485186044114615,-0.07177175131416202,-0.02539835214388786,Robust,Robust
grok-4,claude_only,independent,0.6367602040816327,-0.7577473716759431,-0.771966501752216,-0.742102159992785,-1.3945075757575758,-1.393998387914921,-1.4247390883149311,-1.3629883188975283,Failed,No
llama-3.1-405b-instruct,claude_only,independent,0.49959222325293756,-0.585572175840033,-0.6055772939857761,-0.5635477027932385,-1.0851643990929705,-1.0849939445475159,-1.1219542104720674,-1.0484512775106054,Failed,No
llama-4-maverick,claude_only,independent,0.5438301832760596,-0.303213641517213,-0.3365891794217687,-0.2693053945062874,-0.8470438247932726,-0.8466188951369364,-0.887574148378111,-0.8035550332578361,Failed,No
claude-opus-4.1,gpt_only,anthropic,0.5901560710194731,0.6257397959183674,0.5904026360544217,0.6595991000566893,0.035583724898894276,0.03140639643861287,-0.00894163770436322,0.0725100896204311,Robust,Robust
claude-sonnet-4,gpt_only,anthropic,0.6277905328798187,0.5610581581117295,0.5249667658730158,0.5948544501133788,-0.06673237476808913,-0.06810863739435169,-0.10628337585034014,-0.03070549886621317,Robust,Robust
claude-sonnet-4.5,gpt_only,anthropic,0.682531179138322,0.8019926303854875,0.7743887117346938,0.8294893707482993,0.11946145124716556,0.11946145124716556,0.08666404478458051,0.15584169501133785,Robust,Robust
deepseek-v3.1-terminus,gpt_only,independent,0.7031788548752834,-0.15607297464440323,-0.19503741818697176,-0.12018922322716968,-0.8592518295196867,-0.8570490022781997,-0.902768991627032,-0.8081518804178967,Failed,No
gemini-2.0-flash-001,gpt_only,google,0.7113732993197279,-0.5396896258503402,-0.5662305130385489,-0.5137399022108844,-1.2510629251700682,-1.2518181335034013,-1.2911281710600906,-1.2148034252763609,Failed,No
gemini-2.5-flash,gpt_only,google,0.6832851473922903,-0.5330300453514739,-0.5538769486961452,-0.5113351757369614,-1.2163151927437643,-1.2167356392533581,-1.2510318182631728,-1.180040226076812,Failed,No
gemini-2.5-pro,gpt_only,google,0.699859693877551,-0.5341504329004328,-0.5614626075809113,-0.5064222582972584,-1.2340101267779837,-1.233050530818388,-1.274016475340136,-1.1953132762574727,Failed,No
gemini-3-pro-preview,gpt_only,google,0.7086366213151928,-0.4337358276643991,-0.4869204577664399,-0.38245128259637184,-1.142372448979592,-1.142372448979592,-1.200236288265306,-1.084565511621315,Failed,No
gpt-4.1,gpt_only,openai,0.5793168934240362,-0.44267943132309107,-0.47132774163035995,-0.41125934060421926,-1.0219963247471273,-1.0214423297408852,-1.0646618213999084,-0.9789774421004357,Failed,No
gpt-4o-2024-11-20,gpt_only,openai,0.6242308286951144,-0.4275425170068027,-0.45562677154195014,-0.39951725481859407,-1.0517733457019172,-1.0511294063079777,-1.0925817937023294,-1.0099952587095444,Failed,No
gpt-5,gpt_only,openai,0.7993707482993198,0.7663095238095238,0.7405325609410431,0.7944361181972789,-0.03306122448979598,-0.0329464285714286,-0.05760994189342404,-0.007919394841269842,Robust,Robust
gpt-5.1,gpt_only,openai,0.8243183106575963,0.7962792465471036,0.7707672161667697,0.81950309858792,-0.02803906411049273,-0.027736033807462368,-0.05249334866522366,-0.00315624677901464,Robust,Robust
grok-4,gpt_only,independent,0.6455413832199546,-0.5633151669758812,-0.5835932893990929,-0.5402643398268399,-1.208856550195836,-1.2094231207975188,-1.2428411146911096,-1.1738541551217867,Failed,No
llama-3.1-405b-instruct,gpt_only,independent,0.4637555400948258,-0.3410669191919192,-0.37516897933415794,-0.3075029085497835,-0.804822459286745,-0.8036355905998763,-0.8563206526530068,-0.7522946911719233,Failed,No
llama-4-maverick,gpt_only,independent,0.5094486748932625,-0.01154774788703361,-0.05229034606266749,0.027451675556586255,-0.5209964227802961,-0.5214329506404248,-0.5692705111683849,-0.47659771197802764,Failed,No
