model,config,dropped_principle,s_baseline,s_baseline_ci_lower,s_baseline_ci_upper,s_good_persona,s_good_persona_ci_lower,s_good_persona_ci_upper,s_bad_persona,s_bad_persona_ci_lower,s_bad_persona_ci_upper,delta_bad,delta_bad_ci_lower,delta_bad_ci_upper,delta_good,delta_good_ci_lower,delta_good_ci_upper,flipped,robust_strict,flip_margin_s_bad,robust_margin,robustness_label_repo_artifact
claude-opus-4.1,all8,,0.6813378197785414,0.656696419196258,0.7061294852276534,0.8422421493850065,0.8253884305349235,0.857718901386312,0.66213388133031,0.6290270101095996,0.698683767951625,-0.019203938448231317,-0.058172229308389965,0.02162920445956174,0.16090432960646517,0.1350004085489914,0.18708086774098373,False,True,0.66213388133031,0.1290270101095996,Robust
claude-sonnet-4,all8,,0.6908852985638698,0.6651659344293273,0.7174371929327286,0.8445124716553287,0.8280694798752836,0.8611968333419224,0.5004340599876316,0.46581459626376337,0.5351354875283447,-0.19045123857623825,-0.2318392803459767,-0.1480298273981309,0.1536271730914589,0.12616407484711054,0.17802806270077498,False,False,0.5004340599876316,-0.03418540373623663,Moderate
claude-sonnet-4.5,all8,,0.7548899281934996,0.7316182681405895,0.7767523856764926,0.8894331065759636,0.8743762164588056,0.9039254889455782,0.7712348828420257,0.7465118339002268,0.792686118197279,0.016344954648526033,-0.015592675264550259,0.043580770502645465,0.134543178382464,0.11170924272486778,0.15626867205215392,False,True,0.7712348828420257,0.2465118339002268,Robust
deepseek-v3.1-terminus,all8,,0.7512859032501888,0.7294789304610733,0.7726119378306877,0.8409783538272124,0.8233403250188964,0.8577671958889512,-0.3559948979591837,-0.3820577919930599,-0.329525498393802,-1.1072808012093724,-1.1390132726070226,-1.0739991883116882,0.08969245057702357,0.06521074705924035,0.11395842043414596,True,False,-0.3559948979591837,-0.8820577919930599,Failed
gemini-2.0-flash-001,all8,,0.748989984882842,0.7268893494897959,0.7726282714474679,0.8202695105820105,0.8012144523013883,0.8395944940476189,-0.7061725245653814,-0.7220453987150413,-0.6903658116024185,-1.4551625094482232,-1.4830285336356763,-1.4262626960506424,0.07127952569916851,0.047088778233185524,0.09648654513888878,True,False,-0.7061725245653814,-1.2220453987150413,Failed
gemini-2.5-flash,all8,,0.720372260015117,0.6956834726946333,0.7436447704081631,0.7680126598892707,0.7451147004842238,0.7895635650606451,-0.6809065570672712,-0.6964129818594103,-0.6656696192365834,-1.4012788170823882,-1.4266483961640208,-1.3742006920823882,0.047640399874153694,0.020648749896839968,0.07276268132732817,True,False,-0.6809065570672712,-1.1964129818594103,Failed
gemini-2.5-pro,all8,,0.7625396825396824,0.7397499173280423,0.7853526077097505,0.9037661478732906,0.8890547996976567,0.9184706085085549,-0.7210699254449253,-0.7388474466175358,-0.7034743296985564,-1.4836096079846077,-1.5120449458981824,-1.4576525866659793,0.14122646533360816,0.1189348040352507,0.16303180078849724,True,False,-0.7210699254449253,-1.2388474466175357,Failed
gemini-3-pro-preview,all8,,0.7826686507936507,0.7574009826152683,0.8076048516628872,0.9280787037037037,0.9152861040249431,0.9400526974678759,-0.45093820861678013,-0.5045042398904006,-0.39478084845049133,-1.2336068594104308,-1.2933947231670446,-1.1729682421579744,0.14541005291005304,0.12148474111866961,0.16890426587301582,True,False,-0.45093820861678013,-1.0045042398904007,Failed
gpt-4.1,all8,,0.6676554232804233,0.6443813303099017,0.6913601308578987,0.8210312736205593,0.8036134731670446,0.8382220450680272,-0.607890535427654,-0.629612315759637,-0.5863604251859919,-1.2755459587080773,-1.308818649970912,-1.2430910185079025,0.153375850340136,0.12934013605442177,0.17764688444822382,True,False,-0.607890535427654,-1.129612315759637,Failed
gpt-4o-2024-11-20,all8,,0.6812141396962825,0.6570221249484641,0.7071672689909297,0.773896447467876,0.7553679965041573,0.7933480017006804,-0.6091506046863188,-0.6250612599206347,-0.5930397061602418,-1.2903647443826012,-1.3204758820696088,-1.2613941551999583,0.09268230777159348,0.06699613374390163,0.11970306809592537,True,False,-0.6091506046863188,-1.1250612599206347,Failed
