model,contrast_persona,principle,point_estimate,ci_lower,ci_upper,n_eff
claude-opus-4.1,bad_persona,HumaneScore,-0.022198705265715657,-0.05866470438925336,0.01872304661737651,784
claude-opus-4.1,bad_persona,be-transparent-and-honest,0.19931271477663226,0.0309278350515464,0.3728951890034363,97
claude-opus-4.1,bad_persona,design-for-equity-and-inclusion,-0.12222222222222223,-0.22037037037037038,-0.03518518518518518,90
claude-opus-4.1,bad_persona,enable-meaningful-choices,-0.14309764309764306,-0.23232323232323232,-0.06565656565656566,99
claude-opus-4.1,bad_persona,enhance-human-capabilities,-0.1349999999999999,-0.21333333333333332,-0.05333333333333333,100
claude-opus-4.1,bad_persona,foster-healthy-relationships,-0.20033670033670015,-0.2963383838383839,-0.1093855218855219,99
claude-opus-4.1,bad_persona,prioritize-long-term-wellbeing,-0.09333333333333349,-0.16,-0.03666666666666667,100
claude-opus-4.1,bad_persona,protect-dignity-and-safety,-0.05833333333333324,-0.12670833333333334,0.005000000000000001,100
claude-opus-4.1,bad_persona,respect-user-attention,0.37542087542087543,0.2070286195286195,0.5539141414141414,99
claude-opus-4.1,good_persona,HumaneScore,0.15950041653649893,0.1312554128050262,0.18679942737078692,784
claude-opus-4.1,good_persona,be-transparent-and-honest,0.4054982817869416,0.2766323024054983,0.5343642611683849,97
claude-opus-4.1,good_persona,design-for-equity-and-inclusion,0.05370370370370381,0.009259259259259262,0.1111111111111111,90
claude-opus-4.1,good_persona,enable-meaningful-choices,0.09764309764309753,0.050505050505050504,0.14814814814814817,99
claude-opus-4.1,good_persona,enhance-human-capabilities,0.03166666666666673,0.006666666666666669,0.05833333333333334,100
claude-opus-4.1,good_persona,foster-healthy-relationships,0.028619528619528767,-0.015151515151515152,0.07407407407407408,99
claude-opus-4.1,good_persona,prioritize-long-term-wellbeing,0.05499999999999994,0.02829166666666666,0.08499999999999998,100
claude-opus-4.1,good_persona,protect-dignity-and-safety,0.050000000000000155,0.005000000000000015,0.10170833333333333,100
claude-opus-4.1,good_persona,respect-user-attention,0.5538720538720538,0.41245791245791247,0.6835016835016834,99
claude-sonnet-4,bad_persona,HumaneScore,-0.191183561808562,-0.23312416791211432,-0.15275427317391604,786
claude-sonnet-4,bad_persona,be-transparent-and-honest,0.047619047619047505,-0.09026360544217686,0.18367346938775506,98
claude-sonnet-4,bad_persona,design-for-equity-and-inclusion,-0.10370370370370374,-0.19074074074074077,-0.01666666666666667,90
claude-sonnet-4,bad_persona,enable-meaningful-choices,-0.37666666666666687,-0.47837499999999994,-0.26995833333333336,100
claude-sonnet-4,bad_persona,enhance-human-capabilities,-0.1767676767676768,-0.24587542087542089,-0.10265151515151517,99
claude-sonnet-4,bad_persona,foster-healthy-relationships,-0.6383333333333332,-0.7650416666666667,-0.5166666666666668,100
claude-sonnet-4,bad_persona,prioritize-long-term-wellbeing,-0.3282828282828284,-0.4124579124579124,-0.24242424242424243,99
claude-sonnet-4,bad_persona,protect-dignity-and-safety,-0.32499999999999996,-0.41999999999999993,-0.236625,100
claude-sonnet-4,bad_persona,respect-user-attention,0.3716666666666667,0.22829166666666662,0.5333333333333333,100
claude-sonnet-4,good_persona,HumaneScore,0.15311791383219941,0.12713070758606476,0.1767108832800797,786
claude-sonnet-4,good_persona,be-transparent-and-honest,0.38605442176870736,0.24319727891156462,0.5238520408163265,98
claude-sonnet-4,good_persona,design-for-equity-and-inclusion,0.06851851851851842,0.018472222222222227,0.12962962962962962,90
claude-sonnet-4,good_persona,enable-meaningful-choices,0.08833333333333326,0.05,0.12333333333333332,100
claude-sonnet-4,good_persona,enhance-human-capabilities,0.0454545454545453,0.015151515151515152,0.08085016835016832,99
claude-sonnet-4,good_persona,foster-healthy-relationships,-0.03499999999999981,-0.07833333333333331,0.006666666666666669,100
claude-sonnet-4,good_persona,prioritize-long-term-wellbeing,-0.008417508417508546,-0.038720538720538725,0.016835016835016835,99
claude-sonnet-4,good_persona,protect-dignity-and-safety,0.02833333333333332,-0.015000000000000008,0.07,100
claude-sonnet-4,good_persona,respect-user-attention,0.6516666666666667,0.53825,0.7617499999999999,100
claude-sonnet-4.5,bad_persona,HumaneScore,0.016344954648526033,-0.012661186696900981,0.044224489795918365,788
claude-sonnet-4.5,bad_persona,be-transparent-and-honest,0.010204081632653073,-0.13269557823129252,0.14970238095238092,98
claude-sonnet-4.5,bad_persona,design-for-equity-and-inclusion,0.005555555555555536,-0.08148148148148147,0.09814814814814814,90
claude-sonnet-4.5,bad_persona,enable-meaningful-choices,-0.11000000000000021,-0.17170833333333335,-0.04666666666666666,100
claude-sonnet-4.5,bad_persona,enhance-human-capabilities,-0.13500000000000023,-0.2,-0.07162500000000002,100
claude-sonnet-4.5,bad_persona,foster-healthy-relationships,-0.08000000000000007,-0.14666666666666667,-0.01833333333333334,100
claude-sonnet-4.5,bad_persona,prioritize-long-term-wellbeing,-0.05833333333333324,-0.09999999999999998,-0.021666666666666664,100
