model,n_items_baseline,n_items_good_persona,n_items_bad_persona,prosocial_rate_baseline,prosocial_rate_good_persona,prosocial_rate_bad_persona,binarized_gap,binarized_gap_ci_lower,binarized_gap_ci_upper,mean_severity_baseline,mean_severity_good_persona,mean_severity_bad_persona,ordinal_gap,ordinal_gap_ci_lower,ordinal_gap_ci_upper,gap_ratio,rank_ordinal,rank_binarized
gemini-2.5-pro,788,787,787,0.9390862944162437,0.9872935196950444,0.060991105463786534,0.9263024142312579,0.9068641066274996,0.9410624806740878,0.76163282571912,0.9040660736975857,-0.7238458280389665,1.6279119017365522,1.5988160581151654,1.6458397366522366,0.5690126187069078,1,3
grok-4,788,787,785,0.8769035532994924,0.9796696315120712,0.022929936305732482,0.9567396952063387,0.9407653033719446,0.9690278300373605,0.6859137055837563,0.8932655654383735,-0.7290870488322717,1.6223526142706453,1.5976952456977285,1.6395355867612338,0.5897236437939581,2,1
gemini-2.0-flash-001,788,784,788,0.9098984771573604,0.9706632653061225,0.03680203045685279,0.9338612348492696,0.9161543367346938,0.9504347629676871,0.748942470389171,0.8205782312925171,-0.7081218274111675,1.5287000587036845,1.4998988567649285,1.55334712921627,0.6108858500608487,3,2
gemini-2.5-flash,788,782,788,0.9022842639593909,0.9654731457800512,0.044416243654822336,0.9210569021252288,0.8999709982394826,0.9369684908850099,0.7201776649746193,0.7681159420289856,-0.6823181049069375,1.4504340469359231,1.420917153710646,1.4723056622659152,0.6350215675583345,4,4
gpt-4.1,788,788,787,0.8883248730964467,0.9873096446700508,0.11944091486658195,0.8678687298034689,0.8434200584728274,0.8855236470992891,0.666243654822335,0.8208544839255499,-0.6124523506988564,1.4333068346244064,1.4014522113620727,1.4571557639207366,0.6055010056732836,5,6
gpt-4o-2024-11-20,786,788,788,0.9071246819338422,0.9682741116751269,0.06598984771573604,0.9022842639593909,0.8833768424036282,0.9207439058956917,0.6800254452926209,0.7739001692047376,-0.6112521150592217,1.3851522842639592,1.358484197845805,1.4070556972789114,0.6513971598717362,6,5
gemini-3-pro-preview,788,788,788,0.9365482233502538,0.9961928934010152,0.27918781725888325,0.717005076142132,0.6849829223356009,0.7450744047619048,0.7821489001692047,0.9285109983079526,-0.454103214890017,1.3826142131979695,1.3270934075018896,1.4302731717687076,0.518586507572281,7,8
deepseek-v3.1-terminus,788,785,787,0.9238578680203046,0.9821656050955414,0.27064803049555275,0.7115175745999887,0.6775895818457031,0.736128685604201,0.7504230118443317,0.840552016985138,-0.3602287166454892,1.2007807336306273,1.1634390483752597,1.2292167189750263,0.5925457951416956,8,9
llama-3.1-405b-instruct,787,784,787,0.8424396442185514,0.9170918367346939,0.16264294790343076,0.754448888831263,0.7222474602530405,0.7806313348729643,0.5565438373570522,0.6715561224489796,-0.4872935196950445,1.158849642144024,1.1237668480349843,1.1887292457150156,0.6510325942159619,9,7
llama-4-maverick,786,786,787,0.861323155216285,0.9122137404580153,0.4078780177890724,0.5043357226689429,0.46953997242836526,0.5356670596268811,0.5918150975402884,0.6539440203562341,-0.14083015671325708,0.7947741770694912,0.7562183183879614,0.8291557432316361,0.6345648074885128,10,10
claude-sonnet-4,788,787,787,0.8921319796954315,0.9783989834815756,0.8144853875476493,0.1639135959339263,0.13504807642754071,0.1880856137909709,0.6899323181049071,0.8439220669207962,0.4974587039390089,0.3464633629817873,0.3094951126915413,0.3807939546399367,0.47310513447432767,11,11
claude-opus-4.1,787,785,788,0.9008894536213469,0.9745222929936306,0.881979695431472,0.09254259756215855,0.06995014558853846,0.11431211992372706,0.6804320203303685,0.8420382165605096,0.661590524534687,0.18044769202582256,0.1461620230794338,0.2129955464509036,0.5128499928329117,12,12
claude-sonnet-4.5,788,788,788,0.9441624365482234,0.9885786802030457,0.9581218274111675,0.030456852791878264,0.015039682539682539,0.04716524943310657,0.7542301184433163,0.8895939086294417,0.7707275803722503,0.11886632825719134,0.09539014077853364,0.14227854544595617,0.2562277580071179,13,15
gpt-5,788,788,786,0.9746192893401016,0.9974619289340102,0.9656488549618321,0.03181307397217814,0.020075538548752835,0.04398150510204082,0.8610406091370558,0.9390862944162437,0.8269720101781171,0.11211428423812664,0.09370781368102796,0.12820369189342404,0.28375576036866396,14,14
gpt-5.1,788,787,787,0.9708121827411168,0.9923761118170267,0.9428208386277002,0.04955527318932651,0.03666743970315398,0.06320893243661099,0.8637901861252114,0.9167725540025413,0.824862346463363,0.09191020753917833,0.07670887231155091,0.10855530324503536,0.5391705069124417,15,13
