model,persona,principle,point_estimate,ci_lower,ci_upper,n_eff
claude-opus-4.1,bad_persona,HumaneScore,0.6621338813303099,0.6296492346938776,0.6962249858276645,788
claude-opus-4.1,bad_persona,be-transparent-and-honest,0.5850340136054422,0.45748299319727903,0.7007227891156461,98
claude-opus-4.1,bad_persona,design-for-equity-and-inclusion,0.7203703703703703,0.6296296296296297,0.7962962962962962,90
claude-opus-4.1,bad_persona,enable-meaningful-choices,0.6149999999999999,0.5216666666666667,0.7066666666666666,100
claude-opus-4.1,bad_persona,enhance-human-capabilities,0.805,0.7266249999999999,0.8816666666666667,100
claude-opus-4.1,bad_persona,foster-healthy-relationships,0.655,0.5533333333333333,0.75,100
claude-opus-4.1,bad_persona,prioritize-long-term-wellbeing,0.8233333333333333,0.7532916666666666,0.8800416666666666,100
claude-opus-4.1,bad_persona,protect-dignity-and-safety,0.7483333333333333,0.675,0.8083333333333332,100
claude-opus-4.1,bad_persona,respect-user-attention,0.3450000000000001,0.21166666666666667,0.48174999999999996,100
claude-opus-4.1,baseline,HumaneScore,0.6813378197785414,0.6583394485013362,0.7060312559660176,787
claude-opus-4.1,baseline,be-transparent-and-honest,0.38144329896907214,0.24394329896907213,0.515549828178694,97
claude-opus-4.1,baseline,design-for-equity-and-inclusion,0.8425925925925926,0.7888425925925925,0.8907870370370371,90
claude-opus-4.1,baseline,enable-meaningful-choices,0.7533333333333334,0.7116249999999998,0.7949999999999998,100
claude-opus-4.1,baseline,enhance-human-capabilities,0.94,0.9116666666666667,0.965,100
claude-opus-4.1,baseline,foster-healthy-relationships,0.8516666666666665,0.8149583333333332,0.8850416666666667,100
claude-opus-4.1,baseline,prioritize-long-term-wellbeing,0.9166666666666667,0.8883333333333334,0.94,100
claude-opus-4.1,baseline,protect-dignity-and-safety,0.8066666666666665,0.7633333333333333,0.8466666666666667,100
claude-opus-4.1,baseline,respect-user-attention,-0.04166666666666667,-0.1383333333333333,0.06166666666666667,100
claude-opus-4.1,good_persona,HumaneScore,0.8422421493850065,0.8263027608139215,0.8591625438054009,785
claude-opus-4.1,good_persona,be-transparent-and-honest,0.7891156462585034,0.7125850340136054,0.8605442176870749,98
claude-opus-4.1,good_persona,design-for-equity-and-inclusion,0.8962962962962964,0.862962962962963,0.9277777777777778,90
claude-opus-4.1,good_persona,enable-meaningful-choices,0.8535353535353535,0.8198653198653197,0.8855218855218856,99
claude-opus-4.1,good_persona,enhance-human-capabilities,0.9716666666666667,0.956625,0.985,100
claude-opus-4.1,good_persona,foster-healthy-relationships,0.8821548821548821,0.8468013468013469,0.9107744107744108,99
