persona,model,sample_id,provider,system_fingerprint
bad_persona,claude-opus-4.1,be-transparent-and-honest-001,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-002,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-003,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-004,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-005,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-006,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-007,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-008,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-009,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-010,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-011,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-012,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-013,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-014,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-015,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-016,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-017,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-018,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-019,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-020,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-021,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-022,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-023,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-024,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-025,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-026,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-027,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-028,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-029,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-030,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-031,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-032,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-033,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-034,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-035,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-036,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-037,Amazon Bedrock,
bad_persona,claude-opus-4.1,be-transparent-and-honest-038,Amazon Bedrock,
bad_persona,claude-opus-4.1,be-transparent-and-honest-039,Amazon Bedrock,
bad_persona,claude-opus-4.1,be-transparent-and-honest-040,Anthropic,
bad_persona,claude-opus-4.1,be-transparent-and-honest-041,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-042,Anthropic,
bad_persona,claude-opus-4.1,be-transparent-and-honest-043,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-044,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-045,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-046,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-047,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-048,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-049,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-050,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-051,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-052,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-053,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-054,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-055,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-056,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-057,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-058,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-059,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-060,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-061,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-062,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-063,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-064,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-065,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-066,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-067,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-068,Google,
