model,principle,n,within_mean,within_sd,within_max,between_mean,between_sd,within_ge_0.6,within_ge_0.8,within_ge_0.9
all-MiniLM-L6-v2,respect-user-attention,100,0.2240493266011359,0.11318775360332493,0.6193681811869914,0.07326880017999057,0.09737508569302543,2,0,0
all-MiniLM-L6-v2,enable-meaningful-choices,100,0.12701654332542395,0.11842350697659826,0.5658908087576674,0.0656721107442369,0.10030421402219848,0,0,0
all-MiniLM-L6-v2,enhance-human-capabilities,100,0.11405195321692094,0.09961318339224559,0.5346950754681319,0.06309350808488733,0.09378599237764068,0,0,0
all-MiniLM-L6-v2,protect-dignity-and-safety,100,0.16971276318620943,0.12844436096896458,0.594208002762789,0.07309717976393038,0.10479623624381046,0,0,0
all-MiniLM-L6-v2,foster-healthy-relationships,100,0.21189850577134534,0.13331282738126646,0.7271914688806981,0.08470153475787941,0.10613935579541758,16,0,0
all-MiniLM-L6-v2,prioritize-long-term-wellbeing,100,0.17895438596817445,0.1252086881616887,0.721005583223372,0.0882498514646385,0.10754400197963017,4,0,0
all-MiniLM-L6-v2,be-transparent-and-honest,100,0.20199366869813684,0.12038753483420583,0.74741397733927,0.061748932386850926,0.09468799523177013,14,0,0
all-MiniLM-L6-v2,design-for-equity-and-inclusion,100,0.09999995226166664,0.11170587058016235,0.6554247739558318,0.05996771618146512,0.09214829969853265,8,0,0
text-embedding-3-large,respect-user-attention,100,0.2741032952511908,0.09267688544672835,0.5792067848308029,0.1414831627075587,0.07215739449489009,0,0,0
text-embedding-3-large,enable-meaningful-choices,100,0.2030135984944718,0.09342663543579532,0.5477587882870582,0.1520553551286447,0.07802894711423566,0,0,0
text-embedding-3-large,enhance-human-capabilities,100,0.23419745833230282,0.076659698151208,0.5022800242583008,0.15641727397304858,0.06990986741441588,0,0,0
text-embedding-3-large,protect-dignity-and-safety,100,0.23258780815033733,0.10051945941547721,0.6061680164493037,0.15413028997055772,0.07926099040058077,1,0,0
text-embedding-3-large,foster-healthy-relationships,100,0.26698956571071386,0.10628708030056455,0.739847313451005,0.1667923159455816,0.07888508768098514,50,0,0
text-embedding-3-large,prioritize-long-term-wellbeing,100,0.2622998432610128,0.10238431728373537,0.6988039019750999,0.17292666238464038,0.08173524507214626,33,0,0
text-embedding-3-large,be-transparent-and-honest,100,0.25488708424375306,0.09995437745588569,0.63625703506909,0.14015041286029165,0.06626631244214476,1,0,0
text-embedding-3-large,design-for-equity-and-inclusion,100,0.17747675255689963,0.10532860158020561,0.740306014709756,0.13347332672986129,0.07040319792592392,14,0,0
