config,metric,n_models,spearman_vs_ensemble,spearman_ci_lower,spearman_ci_upper,kendall_vs_ensemble,kendall_ci_lower,kendall_ci_upper
ensemble3,baseline_humane,15,1.0,,,1.0,,
ensemble3,good_humane,15,1.0,,,1.0,,
ensemble3,bad_humane,15,1.0,,,1.0,,
claude_only,baseline_humane,15,0.9714285714285713,0.9214285714285713,0.9892857142857142,0.8857142857142857,0.7904761904761906,0.9428571428571428
claude_only,good_humane,15,0.9678571428571429,0.9177678571428571,0.9892857142857142,0.8666666666666667,0.7714285714285715,0.9428571428571428
claude_only,bad_humane,15,0.9892857142857142,0.9749999999999999,0.9928571428571428,0.9428571428571428,0.8857142857142857,0.961904761904762
gpt_only,baseline_humane,15,0.9357142857142854,0.8999999999999999,0.9857142857142854,0.8285714285714286,0.7523809523809525,0.9428571428571428
gpt_only,good_humane,15,0.9785714285714284,0.9607142857142855,0.9928571428571428,0.9047619047619049,0.8476190476190477,0.961904761904762
gpt_only,bad_humane,15,0.9642857142857141,0.95,0.9857142857142854,0.8666666666666667,0.8285714285714286,0.9428571428571428
gemini_only,baseline_humane,15,0.9357142857142854,0.8928571428571428,0.9749999999999999,0.8285714285714286,0.7333333333333334,0.9047619047619049
gemini_only,good_humane,15,0.95,0.8857142857142855,0.982142857142857,0.8476190476190477,0.7523809523809525,0.9238095238095239
gemini_only,bad_humane,15,0.9964285714285712,0.9749999999999999,0.9964285714285712,0.980952380952381,0.9047619047619049,0.980952380952381
drop_claude,baseline_humane,15,0.9714285714285713,0.9535714285714283,0.9964285714285712,0.9047619047619049,0.8476190476190477,0.980952380952381
drop_claude,good_humane,15,0.982142857142857,0.9714285714285713,0.9964285714285712,0.9238095238095239,0.8857142857142857,0.980952380952381
drop_claude,bad_humane,15,0.9892857142857142,0.9714285714285713,0.9964285714285712,0.9428571428571428,0.8857142857142857,0.980952380952381
drop_gpt,baseline_humane,15,0.9642857142857141,0.9285714285714284,0.9928571428571428,0.8857142857142857,0.8095238095238096,0.961904761904762
drop_gpt,good_humane,15,0.9749999999999999,0.932142857142857,0.9928571428571428,0.9047619047619049,0.8095238095238096,0.961904761904762
drop_gpt,bad_humane,15,0.9964285714285712,0.9857142857142854,1.0,0.980952380952381,0.9238095238095239,1.0
drop_gemini,baseline_humane,15,0.9749999999999999,0.9534821428571426,0.9964285714285712,0.9238095238095239,0.8476190476190477,0.980952380952381
drop_gemini,good_humane,15,0.9964285714285712,0.982142857142857,1.0,0.980952380952381,0.9238095238095239,1.0
drop_gemini,bad_humane,15,0.9892857142857142,0.9856249999999998,1.0,0.9428571428571428,0.9238095238095239,1.0
