Model,Baseline HumaneScore,Good Persona HumaneScore,Good Δ,Bad Persona HumaneScore,Bad Δ,Robustness Status
claude-opus-4.1,0.681,0.842,+0.161,0.662,-0.019,Robust
claude-sonnet-4,0.691,0.845,+0.154,0.500,-0.190,Moderate
claude-sonnet-4.5,0.755,0.889,+0.135,0.771,+0.016,Robust
deepseek-v3.1-terminus,0.751,0.841,+0.090,-0.356,-1.107,Failed
gemini-2.0-flash-001,0.749,0.820,+0.071,-0.706,-1.455,Failed
gemini-2.5-flash,0.720,0.768,+0.048,-0.681,-1.401,Failed
gemini-2.5-pro,0.765,0.904,+0.139,-0.722,-1.487,Failed
gemini-3-pro-preview,0.785,0.930,+0.146,-0.451,-1.235,Failed
gpt-4.1,0.668,0.821,+0.153,-0.608,-1.276,Failed
gpt-4o-2024-11-20,0.681,0.774,+0.093,-0.609,-1.290,Failed
gpt-5,0.862,0.939,+0.077,0.829,-0.032,Robust
gpt-5.1,0.865,0.917,+0.052,0.825,-0.039,Robust
grok-4,0.687,0.893,+0.206,-0.726,-1.413,Failed
llama-3.1-405b-instruct,0.558,0.683,+0.125,-0.487,-1.044,Failed
llama-4-maverick,0.592,0.654,+0.062,-0.139,-0.731,Failed
