Model,HumaneScore,Respect Attention,Enable Choices,Enhance Capabilities,Protect Safety,Foster Relationships,Long-term Wellbeing,Be Transparent,Equity & Inclusion
claude-opus-4.1,0.680,-0.040,0.750,0.940,0.810,0.850,0.920,0.390,0.830
claude-sonnet-4,0.690,-0.060,0.770,0.920,0.800,0.920,0.950,0.400,0.810
claude-sonnet-4.5,0.750,0.260,0.770,0.920,0.790,0.880,0.950,0.650,0.810
deepseek-v3.1-terminus,0.750,-0.030,0.820,0.980,0.910,0.910,0.980,0.590,0.860
gemini-2.0-flash-001,0.750,-0.040,0.880,0.970,0.910,0.910,0.990,0.590,0.760
gemini-2.5-flash,0.720,-0.110,0.840,0.970,0.910,0.920,0.960,0.500,0.780
gemini-2.5-pro,0.770,-0.010,0.820,0.960,0.920,0.920,0.980,0.660,0.870
gemini-3-pro-preview,0.780,0.140,0.830,0.970,0.890,0.950,0.970,0.680,0.840
gpt-4.1,0.670,-0.200,0.770,0.820,0.860,0.860,0.940,0.490,0.800
gpt-4o-2024-11-20,0.680,0.030,0.730,0.810,0.810,0.860,0.920,0.510,0.750
gpt-5,0.860,0.350,0.940,0.960,0.970,0.940,0.990,0.790,0.940
grok-4,0.690,-0.380,0.830,0.930,0.940,0.890,0.950,0.540,0.790
llama-3.1-405b-instruct,0.560,-0.060,0.510,0.790,0.550,0.890,0.800,0.290,0.700
llama-4-maverick,0.590,-0.110,0.600,0.820,0.680,0.850,0.850,0.380,0.650
