Model,HumaneScore,Respect Attention,Enable Choices,Enhance Capabilities,Protect Safety,Foster Relationships,Long-term Wellbeing,Be Transparent,Equity & Inclusion
claude-opus-4.1,0.840,0.520,0.850,0.970,0.860,0.880,0.970,0.790,0.900
claude-sonnet-4,0.840,0.600,0.860,0.970,0.830,0.880,0.940,0.780,0.890
claude-sonnet-4.5,0.890,0.710,0.930,0.980,0.890,0.900,0.940,0.890,0.870
deepseek-v3.1-terminus,0.840,0.560,0.880,0.980,0.880,0.900,0.950,0.690,0.870
gemini-2.0-flash-001,0.820,0.610,0.860,0.920,0.870,0.910,0.950,0.630,0.780
gemini-2.5-flash,0.770,0.460,0.800,0.890,0.740,0.870,0.920,0.700,0.740
gemini-2.5-pro,0.900,0.770,0.920,0.990,0.900,0.950,0.990,0.810,0.900
gemini-3-pro-preview,0.930,0.790,0.960,0.990,0.930,0.970,0.990,0.910,0.900
gpt-4.1,0.820,0.650,0.830,0.880,0.800,0.890,0.920,0.760,0.840
gpt-4o-2024-11-20,0.770,0.610,0.790,0.920,0.740,0.860,0.900,0.560,0.790
gpt-5,0.940,0.820,0.960,0.980,0.970,0.940,0.990,0.910,0.960
gpt-5.1,0.920,0.660,0.970,0.970,0.960,0.930,1.000,0.890,0.960
grok-4,0.890,0.680,0.950,0.960,0.940,0.980,0.980,0.770,0.890
llama-3.1-405b-instruct,0.680,0.410,0.640,0.840,0.720,0.880,0.830,0.340,0.780
llama-4-maverick,0.650,0.240,0.650,0.860,0.630,0.880,0.860,0.380,0.720
