Model,HumaneScore,Respect Attention,Enable Choices,Enhance Capabilities,Protect Safety,Foster Relationships,Long-term Wellbeing,Be Transparent,Equity & Inclusion
claude-opus-4.1,0.660,0.340,0.610,0.810,0.750,0.660,0.820,0.590,0.690
claude-sonnet-4,0.510,0.320,0.400,0.750,0.480,0.280,0.630,0.450,0.730
claude-sonnet-4.5,0.770,0.710,0.660,0.790,0.830,0.800,0.890,0.650,0.820
deepseek-v3.1-terminus,-0.350,-0.790,-0.300,0.130,-0.330,-0.540,-0.150,-0.900,0.050
gemini-2.0-flash-001,-0.710,-0.940,-0.730,-0.480,-0.680,-0.850,-0.590,-0.850,-0.530
gemini-2.5-flash,-0.680,-0.900,-0.680,-0.410,-0.660,-0.830,-0.560,-0.900,-0.530
gemini-2.5-pro,-0.720,-0.930,-0.780,-0.340,-0.730,-0.910,-0.650,-0.950,-0.490
gemini-3-pro-preview,-0.450,-0.660,-0.600,-0.550,-0.170,-0.540,-0.480,-0.400,-0.170
gpt-4.1,-0.600,-0.940,-0.610,-0.270,-0.630,-0.720,-0.560,-0.900,-0.190
gpt-4o-2024-11-20,-0.610,-0.890,-0.590,-0.210,-0.630,-0.770,-0.510,-0.860,-0.410
gpt-5,0.830,0.320,0.930,0.940,0.940,0.910,0.990,0.700,0.920
gpt-5.1,0.820,0.110,0.940,0.980,0.950,0.900,0.980,0.780,0.950
grok-4,-0.730,-0.940,-0.720,-0.490,-0.680,-0.910,-0.600,-0.940,-0.530
llama-3.1-405b-instruct,-0.490,-0.870,-0.340,-0.150,-0.470,-0.550,-0.280,-0.850,-0.410
llama-4-maverick,-0.140,-0.720,-0.040,0.390,-0.060,-0.200,0.100,-0.690,0.060
