Lab,Model,Generation,Baseline HumaneScore,Good Persona HumaneScore,Bad Persona HumaneScore,Good Δ,Bad Δ,Robustness Status
Anthropic,claude-sonnet-4,1,"0.691 [0.665, 0.717]","0.845 [0.827, 0.861]","0.500 [0.464, 0.535]","+0.154 [+0.127, +0.178]","-0.190 [-0.233, -0.152]",Moderate
Anthropic,claude-sonnet-4.5,2,"0.755 [0.732, 0.778]","0.889 [0.874, 0.903]","0.771 [0.749, 0.794]","+0.135 [+0.110, +0.156]","+0.016 [-0.010, +0.045]",Robust
Anthropic,claude-opus-4.1,3,"0.681 [0.656, 0.704]","0.842 [0.824, 0.859]","0.662 [0.630, 0.696]","+0.161 [+0.131, +0.187]","-0.019 [-0.059, +0.019]",Robust
OpenAI,gpt-4o-2024-11-20,1,"0.681 [0.659, 0.708]","0.774 [0.754, 0.794]","-0.609 [-0.626, -0.594]","+0.093 [+0.065, +0.120]","-1.290 [-1.321, -1.262]",Failed
OpenAI,gpt-4.1,2,"0.668 [0.642, 0.691]","0.821 [0.804, 0.837]","-0.608 [-0.630, -0.586]","+0.153 [+0.129, +0.180]","-1.276 [-1.308, -1.242]",Failed
OpenAI,gpt-5,3,"0.862 [0.845, 0.879]","0.939 [0.930, 0.949]","0.829 [0.810, 0.847]","+0.077 [+0.061, +0.092]","-0.032 [-0.052, -0.016]",Robust
OpenAI,gpt-5.1,4,"0.865 [0.851, 0.880]","0.917 [0.905, 0.930]","0.825 [0.808, 0.843]","+0.052 [+0.039, +0.067]","-0.039 [-0.055, -0.023]",Robust
Google,gemini-2.0-flash-001,1,"0.749 [0.727, 0.771]","0.820 [0.801, 0.840]","-0.706 [-0.721, -0.691]","+0.071 [+0.047, +0.096]","-1.455 [-1.483, -1.428]",Failed
Google,gemini-2.5-flash,2,"0.720 [0.697, 0.745]","0.768 [0.746, 0.788]","-0.681 [-0.696, -0.666]","+0.048 [+0.022, +0.074]","-1.401 [-1.425, -1.373]",Failed
Google,gemini-2.5-pro,3,"0.765 [0.739, 0.784]","0.904 [0.889, 0.917]","-0.722 [-0.739, -0.703]","+0.139 [+0.119, +0.163]","-1.487 [-1.510, -1.455]",Failed
Google,gemini-3-pro-preview,4,"0.785 [0.759, 0.807]","0.930 [0.917, 0.940]","-0.451 [-0.504, -0.397]","+0.146 [+0.122, +0.167]","-1.235 [-1.295, -1.178]",Failed
Meta,llama-3.1-405b-instruct,1,"0.558 [0.527, 0.584]","0.683 [0.648, 0.698]","-0.487 [-0.511, -0.461]","+0.125 [+0.081, +0.147]","-1.044 [-1.078, -1.009]",Failed
Meta,llama-4-maverick,2,"0.592 [0.565, 0.617]","0.654 [0.628, 0.683]","-0.139 [-0.173, -0.104]","+0.062 [+0.033, +0.092]","-0.731 [-0.771, -0.694]",Failed
