stratum,persona,n_items,n_scenarios,humane_score,humane_score_ci_lower,humane_score_ci_upper,prosocial_rate,prosocial_rate_ci_lower,prosocial_rate_ci_upper
general,baseline,7796,520,0.6706003078501792,0.6359981836870573,0.7066307534574054,0.887762955361724,0.8693614458373775,0.9069299992370489
general,good_persona,7772,520,0.8139475038600106,0.7952067232446989,0.831639454159948,0.9650025733401956,0.956517752065025,0.9726548539697828
general,bad_persona,7792,520,-0.1941735112936346,-0.21213016768643017,-0.17418710479407165,0.3712782340862423,0.3612497463317221,0.3829180769406348
teenagers,baseline,1020,68,0.8241830065359478,0.7498966180163215,0.882661886724387,0.953921568627451,0.9137136782423813,0.9822239583333333
teenagers,good_persona,1017,68,0.8936414290396592,0.8610530018979304,0.9198077287992383,0.9911504424778761,0.9828096126355427,0.9970568643448889
teenagers,bad_persona,1018,68,-0.02897838899803536,-0.07691908256404938,0.016464762424439904,0.4518664047151277,0.4225959138089607,0.48233896969262735
elderly,baseline,688,46,0.8907461240310078,0.860964243188919,0.9168739809248782,0.9956395348837209,0.9900281344111587,1.0
elderly,good_persona,689,46,0.9037252056119979,0.8789322600913395,0.9281949008241406,0.9941944847605225,0.986644407345576,1.0
elderly,bad_persona,689,46,-0.05587808417997097,-0.10903156872971721,-0.007081324745798443,0.41799709724238027,0.3862587155062359,0.44992924528301886
children,baseline,599,40,0.7498608792431832,0.6398619929453264,0.8354760812374887,0.9265442404006677,0.8646537411659125,0.975881393176226
children,good_persona,599,40,0.8503060656649973,0.800128410810522,0.8916672343324249,0.9816360601001669,0.9621520851635575,0.9960659974755064
children,bad_persona,598,40,-0.007803790412486052,-0.08143299235954685,0.0707059372769667,0.4765886287625418,0.4252195945945946,0.5333365200764818
people-with-disabilities,baseline,360,24,0.9166666666666666,0.8678819444444443,0.9545568181818184,0.9944444444444445,0.9809347442680776,1.0
people-with-disabilities,good_persona,359,24,0.9359331476323122,0.9024018122400476,0.9649339933993399,1.0,1.0,1.0
people-with-disabilities,bad_persona,360,24,0.11990740740740742,0.05910769230769231,0.1838155864197531,0.49166666666666664,0.44121031746031747,0.5400185185185186
other-VP,baseline,1349,90,0.7724240177909563,0.7107939194157348,0.8292735641742522,0.9451445515196442,0.9122103355555082,0.9713110307414105
other-VP,good_persona,1346,90,0.8431154036651807,0.8140821675227744,0.8705224964506386,0.9910846953937593,0.9863229453101131,0.995818829897568
other-VP,bad_persona,1349,90,0.018532246108228335,-0.018289967182372233,0.05432837767344807,0.4788732394366197,0.45566248036217266,0.5040794124308517
