vulnerable_population,persona,n_items,n_scenarios,humane_score,humane_score_ci_lower,humane_score_ci_upper,prosocial_rate,prosocial_rate_ci_lower,prosocial_rate_ci_upper,low_n
,baseline,7796,520,0.6706003078501792,0.6359981836870573,0.7066307534574054,0.887762955361724,0.8693614458373775,0.9069299992370489,False
,good_persona,7772,520,0.8139475038600106,0.7952067232446989,0.831639454159948,0.9650025733401956,0.956517752065025,0.9726548539697828,False
,bad_persona,7792,520,-0.1941735112936346,-0.21213016768643017,-0.17418710479407165,0.3712782340862423,0.3612497463317221,0.3829180769406348,False
children,baseline,599,40,0.7498608792431832,0.6398619929453264,0.8354760812374887,0.9265442404006677,0.8646537411659125,0.975881393176226,False
children,good_persona,599,40,0.8503060656649973,0.800128410810522,0.8916672343324249,0.9816360601001669,0.9621520851635575,0.9960659974755064,False
children,bad_persona,598,40,-0.007803790412486052,-0.08143299235954685,0.0707059372769667,0.4765886287625418,0.4252195945945946,0.5333365200764818,False
elderly,baseline,688,46,0.8907461240310078,0.860964243188919,0.9168739809248782,0.9956395348837209,0.9900281344111587,1.0,False
elderly,good_persona,689,46,0.9037252056119979,0.8789322600913395,0.9281949008241406,0.9941944847605225,0.986644407345576,1.0,False
elderly,bad_persona,689,46,-0.05587808417997097,-0.10903156872971721,-0.007081324745798443,0.41799709724238027,0.3862587155062359,0.44992924528301886,False
gender-diverse-people,baseline,90,6,0.9018518518518519,0.7914583333333333,0.9792291666666665,1.0,1.0,1.0,False
gender-diverse-people,good_persona,90,6,0.8981481481481481,0.7918253968253969,0.9918749999999998,1.0,1.0,1.0,False
gender-diverse-people,bad_persona,90,6,0.031481481481481485,-0.039138888888888876,0.10000000000000002,0.45555555555555555,0.37777777777777777,0.5333333333333333,False
low-connectivity-users,baseline,75,5,0.5822222222222223,0.4444444444444445,0.7539444444444443,0.92,0.8333333333333334,1.0,False
low-connectivity-users,good_persona,75,5,0.6244444444444444,0.5103472222222222,0.7777777777777779,0.96,0.9061428571428571,1.0,False
low-connectivity-users,bad_persona,75,5,-0.06444444444444443,-0.2222222222222222,0.05946296296296296,0.4,0.26666666666666666,0.5333333333333333,False
low-income-communities,baseline,105,7,0.8285714285714284,0.6681216931216932,0.9555555555555555,1.0,1.0,1.0,False
low-income-communities,good_persona,105,7,0.7968253968253968,0.6165972222222222,0.9133888888888888,1.0,1.0,1.0,False
low-income-communities,bad_persona,104,7,0.07371794871794872,-0.026217228464419474,0.18666666666666668,0.5096153846153846,0.41346153846153844,0.6401016949152541,False
low-literacy-users,baseline,90,6,0.775925925925926,0.6722222222222222,0.8476190476190477,0.9777777777777777,0.9428571428571428,1.0,False
low-literacy-users,good_persona,90,6,0.8370370370370371,0.7259259259259259,0.9333333333333333,0.9888888888888889,0.9666666666666667,1.0,False
low-literacy-users,bad_persona,90,6,0.09444444444444444,0.02766666666666668,0.18688888888888897,0.5222222222222223,0.4533333333333333,0.5783333333333334,False
low-tech-literacy,baseline,210,14,0.653968253968254,0.4425883838383838,0.8507936507936508,0.8523809523809524,0.7435,0.95,False
low-tech-literacy,good_persona,208,14,0.8397435897435896,0.7700668073136429,0.9038872136147794,0.9855769230769231,0.9694850065189049,1.0,False
low-tech-literacy,bad_persona,210,14,-0.17063492063492064,-0.28395833333333337,-0.06110185185185186,0.38095238095238093,0.32727272727272727,0.43333333333333335,False
marginalized-groups,baseline,75,5,0.8644444444444446,0.7611111111111112,0.9944444444444445,0.9733333333333334,0.9333333333333333,1.0,False
marginalized-groups,good_persona,75,5,0.8866666666666667,0.8166666666666667,0.9611111111111111,0.9866666666666667,0.9555555555555556,1.0,False
marginalized-groups,bad_persona,75,5,0.13333333333333336,1.1102230246251566e-17,0.27222222222222225,0.56,0.43333333333333335,0.6820000000000003,False
neurodivergent-people,baseline,105,7,0.9206349206349207,0.8349156746031745,0.9944444444444446,1.0,1.0,1.0,False
neurodivergent-people,good_persona,105,7,0.9412698412698413,0.8791628086419753,0.9944444444444445,1.0,1.0,1.0,False
neurodivergent-people,bad_persona,105,7,0.1984126984126984,0.12222222222222222,0.286125,0.5904761904761905,0.5428571428571428,0.6333333333333333,False
non-native-speakers,baseline,329,22,0.7973657548125634,0.6561016704089271,0.9011268656716419,0.9574468085106383,0.8833137583892617,0.996963374748929,False
non-native-speakers,good_persona,328,22,0.8536585365853658,0.7790188817321875,0.9173092305231162,0.9908536585365854,0.9805542014856081,1.0,False
non-native-speakers,bad_persona,330,22,0.03131313131313132,-0.01643650793650793,0.07777777777777779,0.49393939393939396,0.46086297760210804,0.5273007856341189,False
people-with-disabilities,baseline,360,24,0.9166666666666666,0.8678819444444443,0.9545568181818184,0.9944444444444445,0.9809347442680776,1.0,False
people-with-disabilities,good_persona,359,24,0.9359331476323122,0.9024018122400476,0.9649339933993399,1.0,1.0,1.0,False
people-with-disabilities,bad_persona,360,24,0.11990740740740742,0.05910769230769231,0.1838155864197531,0.49166666666666664,0.44121031746031747,0.5400185185185186,False
refugees,baseline,15,1,0.9222222222222223,,,1.0,,,True
refugees,good_persona,15,1,0.8444444444444444,,,1.0,,,True
refugees,bad_persona,15,1,0.22222222222222224,,,0.6,,,True
religious-minorities,baseline,45,3,0.8851851851851852,,,1.0,,,True
religious-minorities,good_persona,45,3,0.8185185185185185,,,1.0,,,True
religious-minorities,bad_persona,45,3,0.003703703703703713,,,0.4,,,True
shift-workers,baseline,15,1,0.9333333333333333,,,1.0,,,True
shift-workers,good_persona,15,1,0.8,,,0.9333333333333333,,,True
shift-workers,bad_persona,15,1,0.0666666666666667,,,0.5333333333333333,,,True
teenagers,baseline,1020,68,0.8241830065359478,0.7498966180163215,0.882661886724387,0.953921568627451,0.9137136782423813,0.9822239583333333,False
teenagers,good_persona,1017,68,0.8936414290396592,0.8610530018979304,0.9198077287992383,0.9911504424778761,0.9828096126355427,0.9970568643448889,False
teenagers,bad_persona,1018,68,-0.02897838899803536,-0.07691908256404938,0.016464762424439904,0.4518664047151277,0.4225959138089607,0.48233896969262735,False
transgender-people,baseline,30,2,0.8388888888888888,,,1.0,,,True
transgender-people,good_persona,30,2,0.8666666666666667,,,1.0,,,True
transgender-people,bad_persona,30,2,0.01111111111111112,,,0.43333333333333335,,,True
women,baseline,165,11,0.6444444444444445,0.3515384615384616,0.861121794871795,0.8848484848484849,0.7272575757575758,0.9933333333333333,False
women,good_persona,165,11,0.8525252525252527,0.7925793650793652,0.9024768518518519,1.0,1.0,1.0,False
women,bad_persona,165,11,0.004040404040404044,-0.08001388888888888,0.08195138888888888,0.48484848484848486,0.41333333333333333,0.56,False
