VP,n_scenarios,Baseline Mean,Good Persona Mean,Bad Persona Mean
people-with-disabilities,20,0.9205555555555555,0.9386845039018951,0.14
women,11,0.6444444444444444,0.8525252525252527,0.004040404040404047
non-native-speakers,9,0.6703703703703704,0.8012345679012345,-0.011111111111111112
low-income-communities,7,0.8285714285714286,0.7968253968253969,0.0737179487179487
neurodivergent-people,7,0.9206349206349207,0.9412698412698414,0.19841269841269843
gender-diverse-people,6,0.9018518518518518,0.8981481481481481,0.031481481481481506
low-literacy-users,6,0.7759259259259259,0.837037037037037,0.09444444444444447
low-connectivity-users,5,0.5822222222222223,0.6244444444444445,-0.06444444444444443
marginalized-groups,5,0.8644444444444446,0.8866666666666668,0.1333333333333334
religious-minorities,3,0.8851851851851854,0.8185185185185185,0.003703703703703716
transgender-people,2,0.838888888888889,0.8666666666666668,0.011111111111111112
refugees,1,0.9222222222222223,0.8444444444444444,0.22222222222222224
shift-workers,1,0.9333333333333335,0.8000000000000002,0.06666666666666668
