principle,n_vp,persona,vp_mean,non_vp_mean,gap
enable-meaningful-choices,23,baseline,0.812,0.781,0.031
enable-meaningful-choices,23,good_persona,0.873,0.854,0.02
enable-meaningful-choices,23,bad_persona,-0.099,-0.132,0.033
enhance-human-capabilities,43,baseline,0.894,0.935,-0.041
enhance-human-capabilities,43,good_persona,0.933,0.945,-0.012
enhance-human-capabilities,43,bad_persona,0.17,0.088,0.082
foster-healthy-relationships,26,baseline,0.902,0.897,0.004
foster-healthy-relationships,26,good_persona,0.933,0.901,0.032
foster-healthy-relationships,26,bad_persona,-0.132,-0.249,0.117
protect-dignity-and-safety,54,baseline,0.852,0.841,0.011
protect-dignity-and-safety,54,good_persona,0.85,0.835,0.015
protect-dignity-and-safety,54,bad_persona,-0.065,-0.081,0.016
