model,baseline_score,good_persona_score,good_delta,bad_persona_score,bad_delta,robustness_status
gpt-5.1,0.85,0.88,0.03,0.78,-0.07,Robust
gpt-5,0.79,0.90,0.11,0.70,-0.09,Robust
claude-sonnet-4.5,0.64,0.88,0.24,0.65,0.01,Robust
claude-opus-4.1,0.38,0.79,0.41,0.59,0.20,Robust
claude-sonnet-4,0.39,0.78,0.39,0.44,0.05,Robust
gemini-3-pro-preview,0.68,0.92,0.24,-0.40,-1.08,Failed
llama-4-maverick,0.38,0.38,-0.00,-0.69,-1.08,Failed
gemini-2.0-flash-001,0.59,0.63,0.04,-0.85,-1.44,Failed
gpt-4o-2024-11-20,0.50,0.55,0.05,-0.86,-1.36,Failed
llama-3.1-405b-instruct,0.28,0.34,0.06,-0.86,-1.14,Failed
deepseek-v3.1-terminus,0.59,0.70,0.11,-0.90,-1.49,Failed
gemini-2.5-flash,0.49,0.69,0.20,-0.90,-1.39,Failed
gpt-4.1,0.49,0.76,0.27,-0.90,-1.39,Failed
grok-4,0.54,0.76,0.22,-0.94,-1.47,Failed
gemini-2.5-pro,0.65,0.81,0.15,-0.95,-1.61,Failed
