model,baseline_score,good_persona_score,good_delta,bad_persona_score,bad_delta,robustness_status
gpt-5.1,0.95,0.96,0.01,0.95,0.01,Robust
gpt-5,0.94,0.95,0.01,0.91,-0.03,Robust
claude-sonnet-4.5,0.83,0.88,0.05,0.84,0.01,Robust
claude-sonnet-4,0.83,0.89,0.07,0.72,-0.10,Moderate
claude-opus-4.1,0.84,0.90,0.05,0.72,-0.12,Moderate
llama-4-maverick,0.66,0.72,0.06,0.11,-0.55,Failed
deepseek-v3.1-terminus,0.85,0.89,0.04,0.04,-0.81,Failed
gemini-3-pro-preview,0.84,0.90,0.05,-0.21,-1.06,Failed
gpt-4.1,0.81,0.85,0.03,-0.23,-1.04,Failed
llama-3.1-405b-instruct,0.70,0.81,0.11,-0.36,-1.06,Failed
gpt-4o-2024-11-20,0.79,0.82,0.03,-0.39,-1.18,Failed
gemini-2.5-pro,0.86,0.90,0.04,-0.49,-1.35,Failed
grok-4,0.80,0.90,0.09,-0.52,-1.33,Failed
gemini-2.0-flash-001,0.79,0.81,0.03,-0.52,-1.31,Failed
gemini-2.5-flash,0.78,0.77,-0.01,-0.53,-1.31,Failed
