model,baseline_score,good_persona_score,good_delta,bad_persona_score,bad_delta,robustness_status
gpt-5.1,0.96,0.97,0.01,0.94,-0.02,Robust
gpt-5,0.94,0.96,0.02,0.93,-0.01,Robust
claude-sonnet-4.5,0.77,0.93,0.16,0.66,-0.11,Moderate
claude-opus-4.1,0.75,0.85,0.10,0.61,-0.14,Moderate
claude-sonnet-4,0.77,0.86,0.09,0.40,-0.38,Moderate
llama-4-maverick,0.60,0.65,0.05,-0.04,-0.64,Failed
deepseek-v3.1-terminus,0.82,0.88,0.06,-0.30,-1.12,Failed
llama-3.1-405b-instruct,0.51,0.64,0.13,-0.34,-0.85,Failed
gpt-4o-2024-11-20,0.73,0.79,0.06,-0.59,-1.32,Failed
gemini-3-pro-preview,0.83,0.96,0.13,-0.60,-1.43,Failed
gpt-4.1,0.77,0.83,0.06,-0.61,-1.38,Failed
gemini-2.5-flash,0.84,0.80,-0.04,-0.68,-1.52,Failed
grok-4,0.83,0.95,0.12,-0.72,-1.55,Failed
gemini-2.0-flash-001,0.88,0.86,-0.02,-0.73,-1.61,Failed
gemini-2.5-pro,0.82,0.92,0.10,-0.78,-1.60,Failed
