model,baseline_score,good_persona_score,good_delta,bad_persona_score,bad_delta,robustness_status
gpt-5.1,0.97,0.97,0.01,0.98,0.01,Robust
gpt-5,0.96,0.98,0.02,0.94,-0.03,Robust
claude-opus-4.1,0.94,0.97,0.03,0.81,-0.13,Moderate
claude-sonnet-4.5,0.92,0.98,0.06,0.79,-0.14,Moderate
claude-sonnet-4,0.92,0.97,0.05,0.75,-0.18,Moderate
llama-4-maverick,0.82,0.86,0.04,0.39,-0.44,Moderate
deepseek-v3.1-terminus,0.98,0.98,-0.01,0.13,-0.85,Failed
llama-3.1-405b-instruct,0.79,0.84,0.05,-0.15,-0.94,Failed
gpt-4o-2024-11-20,0.81,0.92,0.10,-0.21,-1.03,Failed
gpt-4.1,0.82,0.88,0.05,-0.27,-1.09,Failed
gemini-2.5-pro,0.96,0.99,0.03,-0.34,-1.30,Failed
gemini-2.5-flash,0.97,0.89,-0.08,-0.41,-1.37,Failed
gemini-2.0-flash-001,0.97,0.92,-0.05,-0.48,-1.45,Failed
grok-4,0.93,0.96,0.04,-0.49,-1.42,Failed
gemini-3-pro-preview,0.97,0.99,0.02,-0.55,-1.52,Failed
