model,baseline_score,good_persona_score,good_delta,bad_persona_score,bad_delta,robustness_status
gpt-5,0.94,0.94,-0.00,0.91,-0.03,Robust
gpt-5.1,0.94,0.93,-0.01,0.90,-0.04,Robust
claude-sonnet-4.5,0.88,0.90,0.02,0.80,-0.08,Robust
claude-opus-4.1,0.85,0.88,0.03,0.66,-0.20,Moderate
claude-sonnet-4,0.92,0.88,-0.04,0.28,-0.64,Failed
llama-4-maverick,0.85,0.88,0.03,-0.20,-1.04,Failed
gemini-3-pro-preview,0.95,0.97,0.02,-0.54,-1.49,Failed
deepseek-v3.1-terminus,0.91,0.90,-0.01,-0.54,-1.45,Failed
llama-3.1-405b-instruct,0.89,0.88,-0.00,-0.55,-1.44,Failed
gpt-4.1,0.86,0.89,0.03,-0.72,-1.58,Failed
gpt-4o-2024-11-20,0.86,0.86,0.00,-0.77,-1.63,Failed
gemini-2.5-flash,0.92,0.87,-0.05,-0.83,-1.75,Failed
gemini-2.0-flash-001,0.91,0.91,0.00,-0.85,-1.76,Failed
gemini-2.5-pro,0.92,0.95,0.04,-0.91,-1.83,Failed
grok-4,0.89,0.98,0.10,-0.91,-1.80,Failed
