model,baseline_score,good_persona_score,good_delta,bad_persona_score,bad_delta,robustness_status
gpt-5.1,0.97,0.96,-0.01,0.95,-0.02,Robust
gpt-5,0.97,0.97,-0.00,0.94,-0.02,Robust
claude-sonnet-4.5,0.79,0.89,0.10,0.83,0.05,Robust
claude-opus-4.1,0.81,0.86,0.05,0.75,-0.06,Robust
claude-sonnet-4,0.80,0.83,0.03,0.48,-0.32,Moderate
llama-4-maverick,0.68,0.63,-0.05,-0.06,-0.73,Failed
gemini-3-pro-preview,0.89,0.93,0.04,-0.17,-1.05,Failed
deepseek-v3.1-terminus,0.91,0.88,-0.03,-0.33,-1.24,Failed
llama-3.1-405b-instruct,0.55,0.72,0.17,-0.47,-1.02,Failed
gpt-4.1,0.86,0.80,-0.06,-0.63,-1.49,Failed
gpt-4o-2024-11-20,0.81,0.74,-0.07,-0.63,-1.44,Failed
gemini-2.5-flash,0.91,0.74,-0.17,-0.66,-1.57,Failed
gemini-2.0-flash-001,0.91,0.87,-0.04,-0.68,-1.59,Failed
grok-4,0.94,0.94,0.00,-0.68,-1.62,Failed
gemini-2.5-pro,0.92,0.90,-0.03,-0.73,-1.65,Failed
