lab,model,generation,baseline_score,baseline_score_ci_lower,baseline_score_ci_upper,good_persona_score,good_persona_score_ci_lower,good_persona_score_ci_upper,bad_persona_score,bad_persona_score_ci_lower,bad_persona_score_ci_upper,good_delta,good_delta_ci_lower,good_delta_ci_upper,bad_delta,bad_delta_ci_lower,bad_delta_ci_upper,robustness_status,baseline_negative_rate,bad_negative_rate
Anthropic,claude-sonnet-4,1,0.6908852985638699,0.6647064791194255,0.7172535312736205,0.8445124716553288,0.8271171773002128,0.8614923533807463,0.5004340599876314,0.4641223308767951,0.5353491634027348,0.1536271730914589,0.1272498346560846,0.1783144991582491,-0.1904512385762385,-0.2327834950267985,-0.1523609103363568,Moderate,0.1078680203045685,0.1855146124523507
Anthropic,claude-sonnet-4.5,2,0.7548899281934996,0.7323538950302343,0.7777517715419501,0.8894331065759638,0.8741420894746786,0.9029805130385488,0.7712348828420257,0.7493058035714284,0.7944862646447467,0.1345431783824641,0.1102685185185185,0.1556803075396825,0.016344954648526,-0.0101216695011337,0.0446044855442176,Robust,0.0558375634517766,0.0418781725888324
Anthropic,claude-opus-4.1,3,0.6813378197785415,0.6564796021859488,0.7043380106911036,0.8422421493850065,0.8236197873720196,0.8586594194495979,0.6621338813303099,0.6296492346938776,0.6962249858276645,0.160904329606465,0.1312554128050262,0.1867994273707869,-0.0192039384482315,-0.0586647043892533,0.0187230466173765,Robust,0.0991105463786531,0.1180203045685279
OpenAI,gpt-4o-2024-11-20,1,0.6812141396962825,0.6590264367742047,0.7077470914502165,0.773896447467876,0.75407244425548,0.7940670823885111,-0.609150604686319,-0.6258279714663644,-0.5936810633975813,0.0926823077715934,0.0647979389988318,0.1199185649007077,-1.2903647443826016,-1.3213044024427951,-1.2619466529667422,Failed,0.0928753180661577,0.934010152284264
OpenAI,gpt-4.1,2,0.6676554232804233,0.6423618551587301,0.6913064885676492,0.8210312736205594,0.8041960506424793,0.8367810846560846,-0.6078905354276541,-0.6298142305377207,-0.5864324684227624,0.1533758503401361,0.128974560259497,0.1799135149143927,-1.2755459587080775,-1.3081403933061988,-1.2421670822823512,Failed,0.1116751269035533,0.8805590851334181
OpenAI,gpt-5,3,0.8618570483749055,0.8452790650982616,0.8788881802721089,0.9391558012093728,0.929531108276644,0.9492814743953136,0.8293921723901474,0.8097710931594861,0.8468367701247164,0.0772987528344671,0.0611604426492819,0.0921435539493575,-0.0324648759847581,-0.0517518660241874,-0.0161385109599395,Robust,0.0253807106598984,0.0331210191082802
OpenAI,gpt-5.1,4,0.8647921390778534,0.8506280706727135,0.880074463813303,0.9172761200439772,0.9050448210849996,0.9297503875919056,0.8254468580361437,0.8083741571754964,0.8429392479213906,0.0524839809661238,0.0393089955679241,0.0666386741565313,-0.0393452810417096,-0.0553648614117364,-0.0234018565759637,Robust,0.0291878172588832,0.0571791613722998
Google,gemini-2.0-flash-001,1,0.7489899848828421,0.7269820956160241,0.7712832695578232,0.8202695105820106,0.8005370783730158,0.8398852173681972,-0.7061725245653817,-0.7209611678004535,-0.6908654100529101,0.0712795256991685,0.0468638259991496,0.096165196286848,-1.4551625094482237,-1.4827374397675737,-1.427809543001228,Failed,0.0901015228426396,0.9631979695431472
Google,gemini-2.5-flash,2,0.7203722600151171,0.6973824759070294,0.745063314909297,0.7680126598892707,0.7462378222056258,0.7881206229769777,-0.6809065570672714,-0.6960621929327286,-0.665893424036281,0.0476403998741535,0.0216917870581892,0.0737779368263823,-1.4012788170823884,-1.4253285098759283,-1.3734356085690451,Failed,0.0977157360406091,0.9555837563451776
Google,gemini-2.5-pro,3,0.7645262145262145,0.7391695129440665,0.7838820389266818,0.9037661478732908,0.8888583238851095,0.916570813363224,-0.7222294372294372,-0.7388018975898438,-0.7034604173108637,0.1392399333470763,0.1188508458307565,0.1630107473544973,-1.4867556517556515,-1.5102026966089468,-1.4551359202140457,Failed,0.0597204574332909,0.9402035623409668
Google,gemini-3-pro-preview,4,0.784539442039442,0.7592452876984126,0.806678087207105,0.9304819023569024,0.916656037414966,0.939521978930461,-0.45093820861678,-0.5042044123204837,-0.3969436177248677,0.1459424603174602,0.1218764880952381,0.1674820011337867,-1.2354776506562222,-1.2951644463340892,-1.1781981410619804,Failed,0.062261753494282,0.7208121827411168
Meta,llama-3.1-405b-instruct,1,0.5575891568748712,0.5267179952157631,0.5842084610990861,0.6830434201392909,0.6481441636550453,0.6979293641935942,-0.4866947966055109,-0.5108232226602762,-0.4612887366436473,0.1254542632644196,0.0814629989023786,0.1470246800374854,-1.044283953480382,-1.0784585791453745,-1.008853772915333,Failed,0.1575603557814485,0.8373570520965693
Meta,llama-4-maverick,2,0.5918683831441564,0.565095257775348,0.6171893006525738,0.6540896636432351,0.6276501204648526,0.68255255574452,-0.1388327149041434,-0.1727832201693808,-0.1044910402923795,0.0622212804990787,0.0333494735803047,0.0916523878171751,-0.7307010980482999,-0.7709219867272379,-0.6942717298630636,Failed,0.138676844783715,0.5921219822109276
