model,contrast_persona,principle,point_estimate,ci_lower,ci_upper,n_eff
claude-opus-4.1,bad_persona,HumaneScore,-0.022198705265715657,-0.05866470438925336,0.01872304661737651,784
claude-opus-4.1,bad_persona,be-transparent-and-honest,0.19931271477663226,0.0309278350515464,0.3728951890034363,97
claude-opus-4.1,bad_persona,design-for-equity-and-inclusion,-0.12222222222222223,-0.22037037037037038,-0.03518518518518518,90
claude-opus-4.1,bad_persona,enable-meaningful-choices,-0.14309764309764306,-0.23232323232323232,-0.06565656565656566,99
claude-opus-4.1,bad_persona,enhance-human-capabilities,-0.1349999999999999,-0.21333333333333332,-0.05333333333333333,100
claude-opus-4.1,bad_persona,foster-healthy-relationships,-0.20033670033670015,-0.2963383838383839,-0.1093855218855219,99
claude-opus-4.1,bad_persona,prioritize-long-term-wellbeing,-0.09333333333333349,-0.16,-0.03666666666666667,100
claude-opus-4.1,bad_persona,protect-dignity-and-safety,-0.05833333333333324,-0.12670833333333334,0.005000000000000001,100
claude-opus-4.1,bad_persona,respect-user-attention,0.37542087542087543,0.2070286195286195,0.5539141414141414,99
claude-opus-4.1,good_persona,HumaneScore,0.15950041653649893,0.1312554128050262,0.18679942737078692,784
claude-opus-4.1,good_persona,be-transparent-and-honest,0.4054982817869416,0.2766323024054983,0.5343642611683849,97
claude-opus-4.1,good_persona,design-for-equity-and-inclusion,0.05370370370370381,0.009259259259259262,0.1111111111111111,90
claude-opus-4.1,good_persona,enable-meaningful-choices,0.09764309764309753,0.050505050505050504,0.14814814814814817,99
claude-opus-4.1,good_persona,enhance-human-capabilities,0.03166666666666673,0.006666666666666669,0.05833333333333334,100
claude-opus-4.1,good_persona,foster-healthy-relationships,0.028619528619528767,-0.015151515151515152,0.07407407407407408,99
claude-opus-4.1,good_persona,prioritize-long-term-wellbeing,0.05499999999999994,0.02829166666666666,0.08499999999999998,100
claude-opus-4.1,good_persona,protect-dignity-and-safety,0.050000000000000155,0.005000000000000015,0.10170833333333333,100
claude-opus-4.1,good_persona,respect-user-attention,0.5538720538720538,0.41245791245791247,0.6835016835016834,99
claude-sonnet-4,bad_persona,HumaneScore,-0.191183561808562,-0.23278349502679857,-0.1523609103363568,786
claude-sonnet-4,bad_persona,be-transparent-and-honest,0.047619047619047505,-0.09353741496598639,0.20072278911564623,98
claude-sonnet-4,bad_persona,design-for-equity-and-inclusion,-0.10370370370370374,-0.18888888888888888,-0.02037037037037037,90
claude-sonnet-4,bad_persona,enable-meaningful-choices,-0.37666666666666687,-0.4733333333333333,-0.27666666666666667,100
claude-sonnet-4,bad_persona,enhance-human-capabilities,-0.1767676767676768,-0.25757575757575757,-0.09760101010101013,99
claude-sonnet-4,bad_persona,foster-healthy-relationships,-0.6383333333333332,-0.7616666666666666,-0.5166666666666668,100
claude-sonnet-4,bad_persona,prioritize-long-term-wellbeing,-0.3282828282828284,-0.4158249158249159,-0.2474747474747475,99
claude-sonnet-4,bad_persona,protect-dignity-and-safety,-0.32499999999999996,-0.41837499999999994,-0.22662500000000008,100
claude-sonnet-4,bad_persona,respect-user-attention,0.3716666666666667,0.215,0.5200416666666665,100
claude-sonnet-4,good_persona,HumaneScore,0.15311791383219941,0.12724983465608464,0.17831449915824915,786
claude-sonnet-4,good_persona,be-transparent-and-honest,0.38605442176870736,0.2585034013605442,0.5272959183673469,98
claude-sonnet-4,good_persona,design-for-equity-and-inclusion,0.06851851851851842,0.020324074074074074,0.12407407407407409,90
claude-sonnet-4,good_persona,enable-meaningful-choices,0.08833333333333326,0.05333333333333334,0.12166666666666666,100
claude-sonnet-4,good_persona,enhance-human-capabilities,0.0454545454545453,0.015151515151515148,0.08754208754208756,99
claude-sonnet-4,good_persona,foster-healthy-relationships,-0.03499999999999981,-0.075,0.0050000000000000044,100
claude-sonnet-4,good_persona,prioritize-long-term-wellbeing,-0.008417508417508546,-0.03535353535353535,0.018518518518518514,99
claude-sonnet-4,good_persona,protect-dignity-and-safety,0.02833333333333332,-0.015000000000000003,0.07166666666666666,100
claude-sonnet-4,good_persona,respect-user-attention,0.6516666666666667,0.5383333333333333,0.765,100
claude-sonnet-4.5,bad_persona,HumaneScore,0.016344954648526033,-0.010121669501133784,0.044604485544217684,788
claude-sonnet-4.5,bad_persona,be-transparent-and-honest,0.010204081632653073,-0.12249149659863948,0.1497448979591836,98
claude-sonnet-4.5,bad_persona,design-for-equity-and-inclusion,0.005555555555555536,-0.08148148148148149,0.10185185185185185,90
claude-sonnet-4.5,bad_persona,enable-meaningful-choices,-0.11000000000000021,-0.17166666666666663,-0.046666666666666676,100
claude-sonnet-4.5,bad_persona,enhance-human-capabilities,-0.13500000000000023,-0.19833333333333333,-0.06829166666666671,100
claude-sonnet-4.5,bad_persona,foster-healthy-relationships,-0.08000000000000007,-0.14333333333333334,-0.020000000000000004,100
claude-sonnet-4.5,bad_persona,prioritize-long-term-wellbeing,-0.05833333333333324,-0.09833333333333334,-0.020000000000000004,100
